username,event_name,event_date,event_id,pick_player_name,dg_id,method,matched_to_odds_name,score
ADmun,Sony Open in Hawaii,2026-01-15,6.0,Nicolas Echavarria,,unmatched,"Echavarria, Nico",0.9090909090909091
ADmun,The American Express,2026-01-22,2.0,Sepp Straka,17511.0,direct_ff,Sepp Straka,1.0
AKsREVENGE,Sony Open in Hawaii,2026-01-15,6.0,J.J. Spaun,17536.0,direct_ff,J.J. Spaun,1.0
AKsREVENGE,The American Express,2026-01-22,2.0,Robert MacIntyre,23323.0,direct_ff,Robert MacIntyre,1.0
Bdavis7916,Sony Open in Hawaii,2026-01-15,6.0,Keegan Bradley,13872.0,direct_ff,Keegan Bradley,1.0
Bdavis7916,The American Express,2026-01-22,2.0,Harry Hall,27194.0,direct_ff,Harry Hall,1.0
BigBoKnows,Sony Open in Hawaii,2026-01-15,6.0,Ryan Gerard,29767.0,direct_ff,Ryan Gerard,1.0
BigBoKnows,The American Express,2026-01-22,2.0,Pierceson Coody,28309.0,direct_ff,Pierceson Coody,1.0
BigCat97,Sony Open in Hawaii,2026-01-15,6.0,Russell Henley,14578.0,direct_ff,Russell Henley,1.0
BigCat97,The American Express,2026-01-22,2.0,Pierceson Coody,28309.0,direct_ff,Pierceson Coody,1.0
Cdimming,Sony Open in Hawaii,2026-01-15,6.0,Aaron Rai,18554.0,direct_ff,Aaron Rai,1.0
Cdimming,The American Express,2026-01-22,2.0,Ben Griffin,24968.0,direct_ff,Ben Griffin,1.0
Cjlemoin,Sony Open in Hawaii,2026-01-15,6.0,Nicolas Echavarria,,unmatched,"Echavarria, Nico",0.9090909090909091
Cjlemoin,The American Express,2026-01-22,2.0,Harry Hall,27194.0,direct_ff,Harry Hall,1.0
DKWoods,Sony Open in Hawaii,2026-01-15,6.0,Russell Henley,14578.0,direct_ff,Russell Henley,1.0
DKWoods,The American Express,2026-01-22,2.0,Si Woo Kim,14609.0,direct_ff,Si Woo Kim,1.0
Dreamweaver816,Sony Open in Hawaii,2026-01-15,6.0,Daniel Berger,17606.0,direct_ff,Daniel Berger,1.0
Dreamweaver816,The American Express,2026-01-22,2.0,Ben Griffin,24968.0,direct_ff,Ben Griffin,1.0
Enicola0922,Sony Open in Hawaii,2026-01-15,6.0,Corey Conners,17576.0,direct_ff,Corey Conners,1.0
Enicola0922,The American Express,2026-01-22,2.0,Patrick Cantlay,15466.0,direct_ff,Patrick Cantlay,1.0
FlyingArmbar,Sony Open in Hawaii,2026-01-15,6.0,Mac Meissner,28159.0,direct_ff,Mac Meissner,1.0
FlyingArmbar,The American Express,2026-01-22,2.0,Alex Noren,10419.0,direct_ff,Alex Noren,1.0
GH23,Sony Open in Hawaii,2026-01-15,6.0,Nick Taylor,13126.0,direct_ff,Nick Taylor,1.0
GH23,The American Express,2026-01-22,2.0,Max Greyserman,23465.0,direct_ff,Max Greyserman,1.0
GlizzyAtTheTurn,Sony Open in Hawaii,2026-01-15,6.0,Si Woo Kim,14609.0,direct_ff,Si Woo Kim,1.0
