username,entry_id,event_date,event_name,player_name,season,league_id,event_key,dg_id,raw_winnings,event_id
ADmun,m3h8gxx,2026-01-15,Sony Open in Hawaii,Nicolas Echavarria,2026,2026_small,Sony Open in Hawaii_2026-01-15,,0,6.0
ADmun,m3h8gxx,2026-01-22,The American Express,Sepp Straka,2026,2026_small,The American Express_2026-01-22,17511,0,2.0
AKsREVENGE,oohwwvx,2026-01-15,Sony Open in Hawaii,J.J. Spaun,2026,2026_small,Sony Open in Hawaii_2026-01-15,17536,31522,6.0
AKsREVENGE,oohwwvx,2026-01-22,The American Express,Robert MacIntyre,2026,2026_small,The American Express_2026-01-22,23323,39100,2.0
Bdavis7916,k6hyezx,2026-01-15,Sony Open in Hawaii,Keegan Bradley,2026,2026_small,Sony Open in Hawaii_2026-01-15,13872,0,6.0
Bdavis7916,k6hyezx,2026-01-22,The American Express,Harry Hall,2026,2026_small,The American Express_2026-01-22,27194,81420,2.0
BigBoKnows,53h0gr5,2026-01-15,Sony Open in Hawaii,Ryan Gerard,2026,2026_small,Sony Open in Hawaii_2026-01-15,29767,991900,6.0
BigBoKnows,53h0gr5,2026-01-22,The American Express,Pierceson Coody,2026,2026_small,The American Express_2026-01-22,28309,117607,2.0
BigCat97,8vh9q4n,2026-01-15,Sony Open in Hawaii,Russell Henley,2026,2026_small,Sony Open in Hawaii_2026-01-15,14578,111839,6.0
BigCat97,8vh9q4n,2026-01-22,The American Express,Pierceson Coody,2026,2026_small,The American Express_2026-01-22,28309,117607,2.0
Cdimming,8vh9jk5,2026-01-15,Sony Open in Hawaii,Aaron Rai,2026,2026_small,Sony Open in Hawaii_2026-01-15,18554,22404,6.0
Cdimming,8vh9jk5,2026-01-22,The American Express,Ben Griffin,2026,2026_small,The American Express_2026-01-22,24968,81420,2.0
Cjlemoin,gkh3m67,2026-01-15,Sony Open in Hawaii,Nicolas Echavarria,2026,2026_small,Sony Open in Hawaii_2026-01-15,,0,6.0
Cjlemoin,gkh3m67,2026-01-22,The American Express,Harry Hall,2026,2026_small,The American Express_2026-01-22,27194,81420,2.0
DKWoods,wrhv6kg,2026-01-15,Sony Open in Hawaii,Russell Henley,2026,2026_small,Sony Open in Hawaii_2026-01-15,14578,111839,6.0
DKWoods,wrhv6kg,2026-01-22,The American Express,Si Woo Kim,2026,2026_small,The American Express_2026-01-22,14609,322000,2.0
Dreamweaver816,78hz953,2026-01-15,Sony Open in Hawaii,Daniel Berger,2026,2026_small,Sony Open in Hawaii_2026-01-15,17606,287105,6.0
Dreamweaver816,78hz953,2026-01-22,The American Express,Ben Griffin,2026,2026_small,The American Express_2026-01-22,24968,81420,2.0
Enicola0922,m3h6yyp,2026-01-15,Sony Open in Hawaii,Corey Conners,2026,2026_small,Sony Open in Hawaii_2026-01-15,17576,72475,6.0
Enicola0922,m3h6yyp,2026-01-22,The American Express,Patrick Cantlay,2026,2026_small,The American Express_2026-01-22,15466,169740,2.0
FlyingArmbar,p8hnkv6,2026-01-15,Sony Open in Hawaii,Mac Meissner,2026,2026_small,Sony Open in Hawaii_2026-01-15,28159,31522,6.0
FlyingArmbar,p8hnkv6,2026-01-22,The American Express,Alex Noren,2026,2026_small,The American Express_2026-01-22,10419,0,2.0
GH23,erhw7xv,2026-01-15,Sony Open in Hawaii,Nick Taylor,2026,2026_small,Sony Open in Hawaii_2026-01-15,13126,163042,6.0
GH23,erhw7xv,2026-01-22,The American Express,Max Greyserman,2026,2026_small,The American Express_2026-01-22,23465,20884,2.0
GlizzyAtTheTurn,0dhkr87,2026-01-15,Sony Open in Hawaii,Si Woo Kim,2026,2026_small,Sony Open in Hawaii_2026-01-15,14609,220675,6.0
GlizzyAtTheTurn,0dhkr87,2026-01-22,The American Express,Patrick Cantlay,2026,2026_small,The American Express_2026-01-22,15466,169740,2.0
GopherHockey19,m3h87mr,2026-01-15,Sony Open in Hawaii,J.J. Spaun,2026,2026_small,Sony Open in Hawaii_2026-01-15,17536,31522,6.0
GopherHockey19,m3h87mr,2026-01-22,The American Express,Ben Griffin,2026,2026_small,The American Express_2026-01-22,24968,81420,2.0
JLUDEOBV,43h9376,2026-01-15,Sony Open in Hawaii,Harry Hall,2026,2026_small,Sony Open in Hawaii_2026-01-15,27194,287105,6.0
JLUDEOBV,43h9376,2026-01-22,The American Express,Si Woo Kim,2026,2026_small,The American Express_2026-01-22,14609,322000,2.0
Jackson1441,43h9m9d,2026-01-15,Sony Open in Hawaii,Corey Conners,2026,2026_small,Sony Open in Hawaii_2026-01-15,17576,72475,6.0
Jackson1441,43h9m9d,2026-01-22,The American Express,Sepp Straka,2026,2026_small,The American Express_2026-01-22,17511,0,2.0
Jwhit25,53he4g4,2026-01-15,Sony Open in Hawaii,Denny McCarthy,2026,2026_small,Sony Open in Hawaii_2026-01-15,19870,31522,6.0
Jwhit25,53he4g4,2026-01-22,The American Express,Ben Griffin,2026,2026_small,The American Express_2026-01-22,24968,81420,2.0
Kbhoff,36hmp75,2026-01-15,Sony Open in Hawaii,Russell Henley,2026,2026_small,Sony Open in Hawaii_2026-01-15,14578,111839,6.0
Kbhoff,36hmp75,2026-01-22,The American Express,Si Woo Kim,2026,2026_small,The American Express_2026-01-22,14609,322000,2.0
Kriegs,m3h6nm8,2026-01-15,Sony Open in Hawaii,Nick Taylor,2026,2026_small,Sony Open in Hawaii_2026-01-15,13126,163042,6.0
Kriegs,m3h6nm8,2026-01-22,The American Express,J.T. Poston,2026,2026_small,The American Express_2026-01-22,21554,39100,2.0
MWalker9,53h0vzo,2026-01-15,Sony Open in Hawaii,Hideki Matsuyama,2026,2026_small,Sony Open in Hawaii_2026-01-15,13562,163042,6.0
MWalker9,53h0vzo,2026-01-22,The American Express,Daniel Berger,2026,2026_small,The American Express_2026-01-22,17606,20884,2.0
Mbrowder,nehqwrq,2026-01-15,Sony Open in Hawaii,Chris Kirk,2026,2026_small,Sony Open in Hawaii_2026-01-15,12423,0,6.0
Mbrowder,nehqwrq,2026-01-22,The American Express,Si Woo Kim,2026,2026_small,The American Express_2026-01-22,14609,322000,2.0
Nikopmelis,36hmn6j,2026-01-15,Sony Open in Hawaii,Russell Henley,2026,2026_small,Sony Open in Hawaii_2026-01-15,14578,111839,6.0
Nikopmelis,36hmn6j,2026-01-22,The American Express,Harry Hall,2026,2026_small,The American Express_2026-01-22,27194,81420,2.0
