year,event_id,event_name,dg_id,decimal_odds,ev_current,ev_future_total,ev_current_pct_of_future,finish_num,finish_text,winnings,player_name_x,player_name_y,player_name
2024,6,Sony Open in Hawaii,8825,17.0,488235.0,6481961.0,,18,T18,106102,,,"Harman, Brian"
2024,2,The American Express,21554,31.0,270968.0,7740758.0,,11,T11,212100,,,"Poston, J.T."
2024,4,Farmers Insurance Open,16841,19.0,473684.0,8694908.0,,43,T43,28530,,,"Lee, Min Woo"
2024,5,AT&T Pebble Beach Pro-Am,14636,11.0,1818182.0,14761832.0,,39,T39,70125,,,"Spieth, Jordan"
2024,3,WM Phoenix Open,19483,23.0,382609.0,9274122.0,,3,T3,519200,,,"Burns, Sam"
2024,7,The Genesis Invitational,14139,17.0,1176471.0,19171397.0,,-,CUT,0,,,"Thomas, Justin"
2024,540,Mexico Open at Vidanta,16394,23.0,352174.0,4366782.0,,3,T3,429300,,,"Jaeger, Stephan"
2024,10,Cognizant Classic in The Palm Beaches,14578,26.0,346154.0,7960440.0,,41,T41,32850,,,"Henley, Russell"
2024,9,Arnold Palmer Invitational presented by Mastercard,18417,4.0,5000000.0,47957468.0,,1,1,4000000,,,"Scheffler, Scottie"
2024,11,THE PLAYERS Championship,19895,21.0,1190476.0,19353616.0,,2,T2,1891667,,,"Schauffele, Xander"
2024,475,Valspar Championship,18634,46.0,182609.0,1834581.0,,45,T45,25704,,,"McNealy, Maverick"
2024,20,Texas Children's Houston Open,23014,19.0,478947.0,4449152.0,,28,T28,65065,,,"Theegala, Sahith"
2024,41,Valero Texas Open,14459,36.0,255556.0,4776392.0,,-,CUT,0,,,"An, Byeong Hun"
2024,14,Masters Tournament,13562,19.0,1052632.0,7133323.0,,38,T38,86000,,,"Matsuyama, Hideki"
2024,12,RBC Heritage,23950,13.0,1538462.0,9423295.0,,10,T10,521000,,,"Aberg, Ludvig"
2024,19,THE CJ CUP Byron Nelson,10419,26.0,365385.0,3086057.0,,3,3,655500,,,"Noren, Alex"
2024,480,Wells Fargo Championship,10091,5.0,4000000.0,17405664.0,,1,1,3600000,,,"McIlroy, Rory"
2024,33,PGA Championship,19841,10.0,1850000.0,4370732.0,,2,2,1998000,,,"DeChambeau, Bryson"
2024,21,Charles Schwab Challenge,11276,51.0,178431.0,2639351.0,,24,T24,70866,,,"Horschel, Billy"
2024,32,RBC Canadian Open,12294,17.0,552941.0,5193115.0,,21,T21,106377,,,"Fleetwood, Tommy"
2024,23,the Memorial Tournament presented by Workday,22085,15.0,1333333.0,7096785.0,,2,2,2200000,,,"Morikawa, Collin"
2024,26,U.S. Open,14796,31.0,693548.0,5123379.0,,26,T26,153281,,,"Hatton, Tyrrell"
2024,34,Travelers Championship,15466,12.0,1666667.0,5042191.0,,5,T5,702500,,,"Cantlay, Patrick"
2024,524,Rocket Mortgage Classic,18554,31.0,296774.0,1406629.0,,2,T2,616400,,,"Rai, Aaron"
2024,30,John Deere Classic,27364,23.0,347826.0,1122534.0,,1,1,1440000,,,"Thompson, Davis"
2024,541,Genesis Scottish Open,24766,31.0,290323.0,2416256.0,,15,T15,130800,,,"Kim, Tom"
2024,100,The Open Championship,19195,13.0,1307692.0,8477193.0,,7,T7,451833,,,"Rahm, Jon"
2024,525,3M Open,11676,12.0,675000.0,1594169.0,,12,T12,151296,,,"Finau, Tony"
2024,13,Wyndham Championship,17488,13.0,607692.0,869565.0,,41,T41,31995,,,"Im, Sungjae"
2024,27,FedEx St. Jude Championship,17576,31.0,645161.0,645161.0,,50,T50,47250,,,"Conners, Corey"
2024,28,BMW Championship,6430,51.0,392157.0,,,2,T2,1503333,,,"Scott, Adam"
