event_id,event_name
2,The American Express
3,WM Phoenix Open
4,Farmers Insurance Open
5,AT&T Pebble Beach Pro-Am
6,Sony Open in Hawaii
7,The Genesis Invitational
9,Arnold Palmer Invitational presented by Mastercard
10,Cognizant Classic in The Palm Beaches
11,THE PLAYERS Championship
12,RBC Heritage
13,Wyndham Championship
14,Masters Tournament
16,The Sentry
18,Zurich Classic of New Orleans
19,THE CJ CUP Byron Nelson
20,Texas Children's Houston Open
21,Charles Schwab Challenge
23,the Memorial Tournament presented by Workday
26,U.S. Open
27,FedEx St. Jude Championship
28,BMW Championship
30,John Deere Classic
32,RBC Canadian Open
33,PGA Championship
34,Travelers Championship
41,Valero Texas Open
52,Michigan (Team Final—Stroke Play)
54,Sanderson Farms Championship
60,TOUR Championship
88,PGA TOUR Q-School presented by Korn Ferry
100,The Open Championship
457,World Wide Technology Championship
464,Procore Championship
472,Barracuda Championship
475,Valspar Championship
478,Hero World Challenge
480,Truist Championship
483,Puerto Rico Open
493,The RSM Classic
518,ISCO Championship
522,Corales Puntacana Championship
524,Rocket Classic
525,3M Open
527,Baycurrent Classic
528,Butterfield Bermuda Championship
540,Mexico Open at VidantaWorld
541,Genesis Scottish Open
553,ONEflight Myrtle Beach Classic
554,Bank of Utah Championship
1005,Chicago
1012,Adelaide
1013,Singapore
1020,Hong Kong
1021,Miami
1024,Andalucia
1025,United Kingdom
1027,Riyadh
1028,Mexico City
1029,Korea
1030,Virginia
1031,Dallas
1032,Indianapolis
10775,CHAU-SHI Series Chang Wah Open
10831,Sun Flower & TPGA Championship
10881,CHAU-SHI Series Mizuno Open
10916,CHAU-SHI Series - Nan Pao Open
10928,CHAU-SHI Series Da Jia Charity Open
10944,CHAU-SHI Series  Din Yue Open
10952,Trustgolf Asian Mixed
10961,CHAU-SHI Series Chasing Dream Open
10971,CHAU-SHI Series Qing Lian HDF Open
10988,Trustgolf Asian Mixed 2
11004,Trustgolf Asian Mixed 3
11038,CHAU-SHI Series - GIANT Open
11075,CHAU-SHI Series Wealthy Family Open
11109,SL LINK Elite Invitational
2025100,BMW Australian PGA Championship
2025101,ISPS Handa Australian Open
2025102,Nedbank Golf Challenge
2025103,Alfred Dunhill Championship
2025104,AfrAsia Bank Mauritius Open
2025106,Hero Dubai Desert Classic
2025107,Ras Al Khaimah Championship
2025108,Bapco Energies Bahrain Championship
2025109,Magical Kenya Open
2025110,Investec South African Open Championship
2025111,Joburg Open
2025112,Porsche Singapore Classic
2025113,Hero Indian Open
2025115,Volvo China Open
2025117,Soudal Open
2025118,KLM Open
2025119,Italian Open
2025120,BMW International Open
2025125,Nexo Championship
2025126,Danish Golf Championship
2025127,Betfred British Masters hosted by Sir Nick Faldo
2025128,Omega European Masters
2025129,Amgen Irish Open
2025130,BMW PGA Championship
2025131,FedEx Open de France
2025133,Alfred Dunhill Links Championship
2025134,Open de España presented by Madrid
2025135,Genesis Championship
2025136,Abu Dhabi HSBC Championship
2025137,DP World Tour Championship
2025139,Hainan Classic
2025140,Turkish Airlines Open
2025141,DP World India Championship
2025142,Commercial Bank Qatar Masters
2025143,Austrian Alpine Open presented by SalzburgerLand
2025715,DP World Tour Qualifying (Final Stage)
