tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse,finish_num,round_date,to_par,cum_to_par,round_position,round_position_text
PGA,2026,2026,2026-01-25,The American Express,2,"Hoffman, Charley",5768,CUT,1,Pete Dye Stadium Course,704,72.0,1.0,10:20am,72.0,-4.02,3.155,-1.061,0.618,2.712,-1.308,289.5,0.643,0.667,0.571,55.135,29.676,1.0,6.0,1.0,1.0,13.0,3.0,0.0,CUT,2026-01-22,0.0,0.0,131,T131
PGA,2026,2026,2026-01-25,The American Express,2,"Hoffman, Charley",5768,CUT,2,La Quinta Country Club,202,72.0,10.0,9:47am,74.0,,,,,,-6.039,,,,,,,,,0.0,4.0,8.0,6.0,0.0,CUT,2026-01-23,2.0,2.0,147,T147
PGA,2026,2026,2026-01-25,The American Express,2,"Hoffman, Charley",5768,CUT,3,Nicklaus Tournament Course,233,72.0,1.0,9:14am,70.0,,,,,,-1.2,,,,,,,,,0.0,3.0,14.0,1.0,0.0,CUT,2026-01-24,-2.0,0.0,143,T143
PGA,2026,2026,2026-01-25,The American Express,2,"Rose, Justin",6093,CUT,1,La Quinta Country Club,202,72.0,1.0,9:14am,72.0,,,,,,-4.577,,,,,,,,,0.0,3.0,13.0,1.0,1.0,CUT,2026-01-22,0.0,0.0,131,T131
PGA,2026,2026,2026-01-25,The American Express,2,"Rose, Justin",6093,CUT,2,Nicklaus Tournament Course,233,72.0,10.0,8:41am,63.0,,,,,,4.451,,,,,,,,,0.0,9.0,9.0,0.0,0.0,CUT,2026-01-23,-9.0,-9.0,48,T48
PGA,2026,2026,2026-01-25,The American Express,2,"Rose, Justin",6093,CUT,3,Pete Dye Stadium Course,704,72.0,1.0,10:31am,73.0,-0.685,-1.116,-0.318,0.519,-0.915,-1.6,293.4,0.571,0.722,0.571,28.378,32.812,2.0,4.0,0.0,3.0,12.0,2.0,1.0,CUT,2026-01-24,1.0,-8.0,98,T98
PGA,2026,2026,2026-01-25,The American Express,2,"Kuchar, Matt",6169,T44,1,La Quinta Country Club,202,72.0,1.0,10:09am,66.0,,,,,,1.423,,,,,,,,,0.0,6.0,12.0,0.0,0.0,44,2026-01-22,-6.0,-6.0,30,T30
PGA,2026,2026,2026-01-25,The American Express,2,"Kuchar, Matt",6169,T44,2,Nicklaus Tournament Course,233,72.0,10.0,9:36am,68.0,,,,,,-0.549,,,,,,,,,0.0,6.0,10.0,2.0,0.0,44,2026-01-23,-4.0,-10.0,35,T35
PGA,2026,2026,2026-01-25,The American Express,2,"Kuchar, Matt",6169,T44,3,Pete Dye Stadium Course,704,72.0,1.0,9:03am,71.0,0.445,0.48,-0.957,0.432,-0.045,0.4,283.4,0.714,0.778,0.857,49.973,38.25,1.0,2.0,0.0,3.0,13.0,2.0,0.0,44,2026-01-24,-1.0,-11.0,61,T61
PGA,2026,2026,2026-01-25,The American Express,2,"Kuchar, Matt",6169,T44,4,Pete Dye Stadium Course,704,72.0,10.0,9:40am,68.0,3.019,0.279,-2.228,0.3,-1.649,1.37,278.6,0.714,0.667,0.857,65.001,29.593,4.0,2.0,0.0,8.0,7.0,2.0,1.0,44,2026-01-25,-4.0,-15.0,44,T44
PGA,2026,2026,2026-01-25,The American Express,2,"Scott, Adam",6430,T24,1,Nicklaus Tournament Course,233,72.0,10.0,10:09am,65.0,,,,,,1.75,,,,,,,,,0.0,8.0,9.0,1.0,0.0,24,2026-01-22,-7.0,-7.0,20,T20
