username,entryId,eventName,eventDate,selection,winnings
9thGreenAtNine,jjhzg65,Sony Open in Hawaii,2024-01-11,Si Woo Kim,25913.00
AKsREVENGE,64h9j7o,Sony Open in Hawaii,2024-01-11,Chris Kirk,106102.00
anpyanks,43hrmz5,Sony Open in Hawaii,2024-01-11,Corey Conners,18592.00
balvari,dnhqm0e,Sony Open in Hawaii,2024-01-11,Ludvig Aberg,44751.00
BigCat97,qzhkx78,Sony Open in Hawaii,2024-01-11,Russell Henley,373500.00
Bjrobins123,78hp55w,Sony Open in Hawaii,2024-01-11,Chris Kirk,106102.00
CashMonet,oohqvv9,Sony Open in Hawaii,2024-01-11,Corey Conners,18592.00
chrismurf21,64h9g9w,Sony Open in Hawaii,2024-01-11,J.T. Poston,300875.00
docpalm,neh7mge,Sony Open in Hawaii,2024-01-11,Adam Svensson,44751.00
Donkosaurus,wrhd5vm,Sony Open in Hawaii,2024-01-11,Corey Conners,18592.00
Dreamweaver816,ykhw95j,Sony Open in Hawaii,2024-01-11,Tyrrell Hatton,153135.00
Enicola0922,k6hx6gd,Sony Open in Hawaii,2024-01-11,Corey Conners,18592.00
epab2350,8vh0gp4,Sony Open in Hawaii,2024-01-11,Corey Conners,18592.00
GlizzyAtTheTurn,36h6jv5,Sony Open in Hawaii,2024-01-11,Corey Conners,18592.00
golfprotriplets,wrhd3n7,Sony Open in Hawaii,2024-01-11,Corey Conners,18592.00
halliam1114,ykhwrxr,Sony Open in Hawaii,2024-01-11,Ludvig Aberg,44751.00
HLAXERS,m3hgm7j,Sony Open in Hawaii,2024-01-11,Brian Harman,106102.00
itsabucslife1,wrhdgg8,Sony Open in Hawaii,2024-01-11,Russell Henley,373500.00
JermRussLFG,oohq00q,Sony Open in Hawaii,2024-01-11,Corey Conners,18592.00
JLUDEOBV,vnhv54n,Sony Open in Hawaii,2024-01-11,Chris Kirk,106102.00
joempike,oohq04p,Sony Open in Hawaii,2024-01-11,Chris Kirk,106102.00
jonescurtisw,dnhqx8j,Sony Open in Hawaii,2024-01-11,Chris Kirk,106102.00
josen1,qzhk84y,Sony Open in Hawaii,2024-01-11,Chris Kirk,106102.00
jtsalvetti,0dh95e7,Sony Open in Hawaii,2024-01-11,Russell Henley,373500.00
JustDan,36hx0j9,Sony Open in Hawaii,2024-01-11,Russell Henley,373500.00
Kbhoff,gkhdr46,Sony Open in Hawaii,2024-01-11,Brian Harman,106102.00
linkcalhoun,78hp4ro,Sony Open in Hawaii,2024-01-11,Eric Cole,153135.00
logandempsey20,m3h790r,Sony Open in Hawaii,2024-01-11,J.T. Poston,300875.00
Mohmo,64he6nw,Sony Open in Hawaii,2024-01-11,Si Woo Kim,25913.00
nausetsurf,gkhd55z,Sony Open in Hawaii,2024-01-11,Brian Harman,106102.00
one007,53hpydy,Sony Open in Hawaii,2024-01-11,Russell Henley,373500.00
pangomango,jjhzgoz,Sony Open in Hawaii,2024-01-11,Russell Henley,373500.00
pbyrne11,64hep78,Sony Open in Hawaii,2024-01-11,Tyrrell Hatton,153135.00
picksixer360,erhp3gm,Sony Open in Hawaii,2024-01-11,Matt Kuchar,0.00
Pitch12,53hpqnr,Sony Open in Hawaii,2024-01-11,Lucas Glover,0.00
Rjsut727,k6hd763,Sony Open in Hawaii,2024-01-11,Russell Henley,373500.00
SamDanes26,ykhy67v,Sony Open in Hawaii,2024-01-11,Ludvig Aberg,44751.00
Sandell,53hpkgw,Sony Open in Hawaii,2024-01-11,Chris Kirk,106102.00
Skibasher,qzh6rzp,Sony Open in Hawaii,2024-01-11,Brian Harman,106102.00
strokes3410,k6hx9nj,Sony Open in Hawaii,2024-01-11,Corey Conners,18592.00
tboland1324,dnhq46j,Sony Open in Hawaii,2024-01-11,Russell Henley,373500.00
theWhistlesGoWo,r8h9kov,Sony Open in Hawaii,2024-01-11,Corey Conners,18592.00
thorrr,64h9jd8,Sony Open in Hawaii,2024-01-11,Russell Henley,373500.00
tice0101,qzh6p30,Sony Open in Hawaii,2024-01-11,Adam Svensson,44751.00
Tiger4040,wrhdqy3,Sony Open in Hawaii,2024-01-11,Keegan Bradley,738700.00
vegatime99,wrhdz40,Sony Open in Hawaii,2024-01-11,Corey Conners,18592.00
Walshy0104,neh7k0d,Sony Open in Hawaii,2024-01-11,Chris Kirk,106102.00
Wickednick,nehvyvz,Sony Open in Hawaii,2024-01-11,Eric Cole,153135.00
zjb23,43hrm4d,Sony Open in Hawaii,2024-01-11,Chris Kirk,106102.00
9thGreenAtNine,jjhzg65,The American Express,2024-01-18,Sam Burns,310800.00
AKsREVENGE,64h9j7o,The American Express,2024-01-18,Taylor Montgomery,18900.00
anpyanks,43hrmz5,The American Express,2024-01-18,Taylor Montgomery,18900.00
balvari,dnhqm0e,The American Express,2024-01-18,Justin Thomas,635600.00
BigCat97,qzhkx78,The American Express,2024-01-18,J.T. Poston,212100.00
Bjrobins123,78hp55w,The American Express,2024-01-18,J.T. Poston,212100.00
CashMonet,oohqvv9,The American Express,2024-01-18,Tom Kim,0.00
chrismurf21,64h9g9w,The American Express,2024-01-18,Min Woo Lee,99120.00
docpalm,neh7mge,The American Express,2024-01-18,J.T. Poston,212100.00
Donkosaurus,wrhd5vm,The American Express,2024-01-18,Alex Smalley,99120.00
Dreamweaver816,ykhw95j,The American Express,2024-01-18,Chris Kirk,23705.00
Enicola0922,k6hx6gd,The American Express,2024-01-18,Eric Cole,99120.00
epab2350,8vh0gp4,The American Express,2024-01-18,J.T. Poston,212100.00
GlizzyAtTheTurn,36h6jv5,The American Express,2024-01-18,Adam Hadwin,310800.00
golfprotriplets,wrhd3n7,The American Express,2024-01-18,Sam Burns,310800.00
halliam1114,ykhwrxr,The American Express,2024-01-18,Sungjae Im,63980.00
HLAXERS,m3hgm7j,The American Express,2024-01-18,Eric Cole,99120.00
itsabucslife1,wrhdgg8,The American Express,2024-01-18,Eric Cole,99120.00
JermRussLFG,oohq00q,The American Express,2024-01-18,J.T. Poston,212100.00
JLUDEOBV,vnhv54n,The American Express,2024-01-18,J.T. Poston,212100.00
joempike,oohq04p,The American Express,2024-01-18,Cameron Davis,0.00
jonescurtisw,dnhqx8j,The American Express,2024-01-18,Tom Kim,0.00
josen1,qzhk84y,The American Express,2024-01-18,Jason Day,45780.00
jtsalvetti,0dh95e7,The American Express,2024-01-18,Sungjae Im,63980.00
JustDan,36hx0j9,The American Express,2024-01-18,Sam Burns,310800.00
Kbhoff,gkhdr46,The American Express,2024-01-18,Tony Finau,63980.00
linkcalhoun,78hp4ro,The American Express,2024-01-18,J.T. Poston,212100.00
logandempsey20,m3h790r,The American Express,2024-01-18,Adam Hadwin,310800.00
Mohmo,64he6nw,The American Express,2024-01-18,Sungjae Im,63980.00
nausetsurf,gkhd55z,The American Express,2024-01-18,Eric Cole,99120.00
one007,53hpydy,The American Express,2024-01-18,Sungjae Im,63980.00
