season,username,entryId,event_name,eventDate,selection,winnings
2026,ADmun,m3h8gxx,Sony Open in Hawaii,2026-01-15,Nicolas Echavarria,0
2026,AKsREVENGE,oohwwvx,Sony Open in Hawaii,2026-01-15,J.J. Spaun,31522
2026,andylicious,78ho83z,Sony Open in Hawaii,2026-01-15,Robert MacIntyre,409500
2026,balvari,0dh4357,Sony Open in Hawaii,2026-01-15,Corey Conners,72475
2026,Bdavis7916,k6hyezx,Sony Open in Hawaii,2026-01-15,Keegan Bradley,0
2026,BigBoKnows,53h0gr5,Sony Open in Hawaii,2026-01-15,Ryan Gerard,991900
2026,BigCat97,8vh9q4n,Sony Open in Hawaii,2026-01-15,Russell Henley,111839
2026,bpark88,36hm5ov,Sony Open in Hawaii,2026-01-15,Ben Griffin,111839
2026,Cdimming,8vh9jk5,Sony Open in Hawaii,2026-01-15,Aaron Rai,22404
2026,Cjlemoin,gkh3m67,Sony Open in Hawaii,2026-01-15,Nicolas Echavarria,0
2026,DKWoods,wrhv6kg,Sony Open in Hawaii,2026-01-15,Russell Henley,111839
2026,Dreamweaver816,78hz953,Sony Open in Hawaii,2026-01-15,Daniel Berger,287105
2026,Enicola0922,m3h6yyp,Sony Open in Hawaii,2026-01-15,Corey Conners,72475
2026,FlyingArmbar,p8hnkv6,Sony Open in Hawaii,2026-01-15,Mac Meissner,31522
2026,GH23,erhw7xv,Sony Open in Hawaii,2026-01-15,Nick Taylor,163042
2026,GlizzyAtTheTurn,0dhkr87,Sony Open in Hawaii,2026-01-15,Si Woo Kim,220675
2026,GopherHockey19,m3h87mr,Sony Open in Hawaii,2026-01-15,J.J. Spaun,31522
2026,halliam1114,p8hdz40,Sony Open in Hawaii,2026-01-15,Si Woo Kim,220675
2026,Jackson1441,43h9m9d,Sony Open in Hawaii,2026-01-15,Corey Conners,72475
2026,JLUDEOBV,43h9376,Sony Open in Hawaii,2026-01-15,Harry Hall,287105
2026,jonescurtisw,dnhzxey,Sony Open in Hawaii,2026-01-15,Hideki Matsuyama,163042
2026,jtsalvetti,vnh36vq,Sony Open in Hawaii,2026-01-15,Russell Henley,111839
2026,Jwhit25,53he4g4,Sony Open in Hawaii,2026-01-15,Denny McCarthy,31522
2026,Kbhoff,36hmp75,Sony Open in Hawaii,2026-01-15,Russell Henley,111839
2026,kotsko,36hmm9z,Sony Open in Hawaii,2026-01-15,Keegan Bradley,0
2026,Kriegs,m3h6nm8,Sony Open in Hawaii,2026-01-15,Nick Taylor,163042
2026,linkcalhoun,p8hd469,Sony Open in Hawaii,2026-01-15,Russell Henley,111839
2026,Mbrowder,nehqwrq,Sony Open in Hawaii,2026-01-15,Chris Kirk,0
2026,MWalker9,53h0vzo,Sony Open in Hawaii,2026-01-15,Hideki Matsuyama,163042
2026,newcastle21,8vh9ek9,Sony Open in Hawaii,2026-01-15,Chris Kirk,0
2026,Nikopmelis,36hmn6j,Sony Open in Hawaii,2026-01-15,Russell Henley,111839
2026,one007,x0h7nzj,Sony Open in Hawaii,2026-01-15,Jake Knapp,220675
2026,Ottomatic,r8h6myq,Sony Open in Hawaii,2026-01-15,Ben Griffin,111839
2026,pbyrne11,wrhmp93,Sony Open in Hawaii,2026-01-15,Aaron Rai,22404
2026,picksixer360,m3h8mey,Sony Open in Hawaii,2026-01-15,J.J. Spaun,31522
2026,Pjh5165,36hm6vj,Sony Open in Hawaii,2026-01-15,Si Woo Kim,220675
2026,Ponta01,x0h7wo6,Sony Open in Hawaii,2026-01-15,Si Woo Kim,220675
2026,Rjsut727,erh7z6m,Sony Open in Hawaii,2026-01-15,Hideki Matsuyama,163042
2026,Rye1987,36hm5jq,Sony Open in Hawaii,2026-01-15,Chris Kirk,0
2026,SJUPRIDE10,64hmvvv,Sony Open in Hawaii,2026-01-15,Russell Henley,111839
2026,Skibasher,m3h6p00,Sony Open in Hawaii,2026-01-15,Russell Henley,111839
2026,Sullivanchris01,53hepg6,Sony Open in Hawaii,2026-01-15,Jake Knapp,220675
2026,talktob,vnh4gw5,Sony Open in Hawaii,2026-01-15,Maverick McNealy,72475
2026,Tbargie,dnhzpdq,Sony Open in Hawaii,2026-01-15,Collin Morikawa,0
2026,ThePME,36hogo7,Sony Open in Hawaii,2026-01-15,Ben Griffin,111839
2026,tice0101,x0h73j9,Sony Open in Hawaii,2026-01-15,J.J. Spaun,31522
2026,Tiger4040,wrhm9kd,Sony Open in Hawaii,2026-01-15,Brian Harman,19929
2026,Walshy0104,m3h80k9,Sony Open in Hawaii,2026-01-15,Russell Henley,111839
2026,Zsather,nehqkoz,Sony Open in Hawaii,2026-01-15,Russell Henley,111839
2026,ADmun,m3h8gxx,The American Express,2026-01-22,Sepp Straka,0
2026,AKsREVENGE,oohwwvx,The American Express,2026-01-22,Robert MacIntyre,39100
2026,andylicious,78ho83z,The American Express,2026-01-22,Daniel Berger,20884
2026,balvari,0dh4357,The American Express,2026-01-22,Si Woo Kim,322000
2026,Bdavis7916,k6hyezx,The American Express,2026-01-22,Harry Hall,81420
2026,BigBoKnows,53h0gr5,The American Express,2026-01-22,Pierceson Coody,117607
2026,BigCat97,8vh9q4n,The American Express,2026-01-22,Pierceson Coody,117607
2026,bpark88,36hm5ov,The American Express,2026-01-22,Harry Hall,81420
2026,Cdimming,8vh9jk5,The American Express,2026-01-22,Ben Griffin,81420
2026,Cjlemoin,gkh3m67,The American Express,2026-01-22,Harry Hall,81420
2026,DKWoods,wrhv6kg,The American Express,2026-01-22,Si Woo Kim,322000
2026,Dreamweaver816,78hz953,The American Express,2026-01-22,Ben Griffin,81420
2026,Enicola0922,m3h6yyp,The American Express,2026-01-22,Patrick Cantlay,169740
2026,FlyingArmbar,p8hnkv6,The American Express,2026-01-22,Alex Noren,0
2026,GH23,erhw7xv,The American Express,2026-01-22,Max Greyserman,20884
2026,GlizzyAtTheTurn,0dhkr87,The American Express,2026-01-22,Patrick Cantlay,169740
2026,GopherHockey19,m3h87mr,The American Express,2026-01-22,Ben Griffin,81420
2026,halliam1114,p8hdz40,The American Express,2026-01-22,Kurt Kitayama,0
2026,Jackson1441,43h9m9d,The American Express,2026-01-22,Sepp Straka,0
2026,JLUDEOBV,43h9376,The American Express,2026-01-22,Si Woo Kim,322000
2026,jonescurtisw,dnhzxey,The American Express,2026-01-22,Patrick Cantlay,169740
2026,jtsalvetti,vnh36vq,The American Express,2026-01-22,Patrick Cantlay,169740
2026,Jwhit25,53he4g4,The American Express,2026-01-22,Ben Griffin,81420
2026,Kbhoff,36hmp75,The American Express,2026-01-22,Si Woo Kim,322000
2026,kotsko,36hmm9z,The American Express,2026-01-22,Russell Henley,250700
2026,Kriegs,m3h6nm8,The American Express,2026-01-22,J.T. Poston,39100
2026,linkcalhoun,p8hd469,The American Express,2026-01-22,Ben Griffin,81420
2026,Mbrowder,nehqwrq,The American Express,2026-01-22,Si Woo Kim,322000
2026,MWalker9,53h0vzo,The American Express,2026-01-22,Daniel Berger,20884
2026,newcastle21,8vh9ek9,The American Express,2026-01-22,Si Woo Kim,322000
