week_num,event_id,event_tier,phase,n_users,n_picks,top1_acc,top3_hit,avg_top1_prob,avg_top3_prob
3,4,regular,early,48.0,48.0,0.16666666666666666,0.3333333333333333,0.056025148197412444,0.15517826785673583
4,5,signature,early,49.0,49.0,0.04081632653061224,0.12244897959183673,0.0891219297567456,0.21551906245593042
5,3,regular,early,49.0,49.0,0.10204081632653061,0.32653061224489793,0.08001070186202675,0.17832342455005137
6,7,signature,early,49.0,49.0,0.08163265306122448,0.16326530612244897,0.08270258038799105,0.2273281607134773
8,10,regular,early,49.0,49.0,0.0,0.02040816326530612,0.06002721906645552,0.17081545093503706
9,9,signature,early,49.0,49.0,0.10204081632653061,0.30612244897959184,0.10442466022062141,0.25694108140200983
10,11,signature,early,49.0,49.0,0.08163265306122448,0.22448979591836735,0.06077839602808049,0.13702788679804734
11,475,regular,early,46.0,46.0,0.08695652173913043,0.15217391304347827,0.07088492765874187,0.18908166488210912
12,20,regular,early,49.0,49.0,0.10204081632653061,0.2857142857142857,0.0720711795378196,0.19713614862278442
13,41,regular,early,49.0,49.0,0.14285714285714285,0.30612244897959184,0.07392101583516615,0.20745846440584295
14,14,major,early,48.0,48.0,0.08333333333333333,0.22916666666666666,0.11516579500691053,0.2826637762164225
15,12,signature,early,48.0,48.0,0.125,0.2708333333333333,0.11812171722917826,0.3003402853956764
16,19,regular,early,49.0,49.0,0.16326530612244897,0.40816326530612246,0.08459252044117194,0.206100345937742
17,480,signature,late,49.0,96.0,0.08333333333333333,0.17708333333333334,0.11369864227953995,0.30212890108438617
17,480,regular,late,49.0,96.0,0.08333333333333333,0.15625,0.12113865964444614,0.3225676316182744
18,33,major,late,49.0,49.0,0.1836734693877551,0.40816326530612246,0.06478790988350704,0.14203500025454674
19,21,regular,late,49.0,49.0,0.08163265306122448,0.42857142857142855,0.07106186238786594,0.17499214149241818
21,32,regular,late,46.0,46.0,0.1956521739130435,0.45652173913043476,0.06317515176076735,0.15073608929849575
22,26,major,late,49.0,97.0,0.1134020618556701,0.21649484536082475,0.07062536118401855,0.13021820516322555
22,26,regular,late,49.0,97.0,0.09278350515463918,0.1958762886597938,0.06519603642363692,0.12124157494032252
23,34,regular,late,48.0,48.0,0.16666666666666666,0.3541666666666667,0.1522492702267598,0.30763966452707875
23,34,signature,late,48.0,48.0,0.10416666666666667,0.3333333333333333,0.1116151397919395,0.24927540349663144
24,524,regular,late,48.0,48.0,0.020833333333333332,0.22916666666666666,0.05961483023275851,0.1606839796639954
25,30,regular,late,47.0,47.0,0.0851063829787234,0.2765957446808511,0.054859663725724046,0.1586450759138286
26,541,regular,late,48.0,48.0,0.2708333333333333,0.3333333333333333,0.0716534620720977,0.12885920368434128
27,100,major,late,49.0,49.0,0.061224489795918366,0.1836734693877551,0.0574334148119392,0.12449066432704972
28,525,regular,late,44.0,44.0,0.09090909090909091,0.3181818181818182,0.06446724897922305,0.17147538174330976
29,13,regular,late,44.0,44.0,0.18181818181818182,0.3409090909090909,0.0731973786106351,0.16396692458229226
30,27,signature,late,45.0,45.0,0.2222222222222222,0.4888888888888889,0.13664194738386487,0.31537059148638447
31,28,signature,late,45.0,45.0,0.2222222222222222,0.4,0.19737970000666524,0.44564382289040305
