username,n_picks,ARI,PRI,elite_rate,normie_rate,longshot_rate,sig_longshot_rate,risk_composite,user_type
Jwhit25,2,50.0,50.0,0.5,0.0,0.5,0.0,50.0,chaos
Ottomatic,2,50.0,50.0,0.5,0.0,0.5,0.0,50.0,chaos
SJUPRIDE10,2,50.0,50.0,0.5,0.0,0.5,0.0,50.0,chaos
Zsather,2,50.0,50.0,0.5,0.0,0.5,0.0,50.0,chaos
DKWoods,2,62.5,25.0,0.5,0.5,0.0,0.0,47.5,chalk_burner
GopherHockey19,2,62.5,25.0,0.5,0.5,0.0,0.0,47.5,chalk_burner
Tbargie,2,62.5,25.0,0.5,0.5,0.0,0.0,47.5,chalk_burner
ThePME,2,62.5,25.0,0.5,0.5,0.0,0.0,47.5,chalk_burner
bpark88,2,62.5,25.0,0.5,0.5,0.0,0.0,47.5,chalk_burner
ADmun,2,12.5,75.0,0.0,0.5,0.5,0.0,37.5,gambler
Cjlemoin,2,12.5,75.0,0.0,0.5,0.5,0.0,37.5,gambler
FlyingArmbar,2,12.5,75.0,0.0,0.5,0.5,0.0,37.5,gambler
GH23,2,12.5,75.0,0.0,0.5,0.5,0.0,37.5,gambler
Kriegs,2,12.5,75.0,0.0,0.5,0.5,0.0,37.5,gambler
Rye1987,2,12.5,75.0,0.0,0.5,0.5,0.0,37.5,gambler
andylicious,2,12.5,75.0,0.0,0.5,0.5,0.0,37.5,gambler
Bdavis7916,2,25.0,50.0,0.0,1.0,0.0,0.0,35.0,mixed
Jackson1441,2,25.0,50.0,0.0,1.0,0.0,0.0,35.0,mixed
Mbrowder,2,25.0,50.0,0.0,1.0,0.0,0.0,35.0,mixed
Ponta01,2,25.0,50.0,0.0,1.0,0.0,0.0,35.0,mixed
talktob,2,25.0,50.0,0.0,1.0,0.0,0.0,35.0,mixed
nausetsurf,31,26.61290322580645,37.096774193548384,0.41935483870967744,0.4838709677419355,0.0967741935483871,0.06451612903225806,30.806451612903224,gambler
one007,64,12.109375,58.59375,0.21875,0.46875,0.3125,0.078125,30.703125,gambler
mp925,31,14.516129032258066,54.83870967741935,0.25806451612903225,0.4838709677419355,0.25806451612903225,0.0967741935483871,30.645161290322584,gambler
vegatime99,61,16.39344262295082,51.63934426229508,0.3442622950819672,0.3442622950819672,0.3114754098360656,0.06557377049180328,30.491803278688526,gambler
SamDanes26,31,15.32258064516129,53.2258064516129,0.25806451612903225,0.45161290322580644,0.2903225806451613,0.03225806451612903,30.483870967741936,gambler
kbreardonPGA,31,12.903225806451612,56.451612903225815,0.1935483870967742,0.5806451612903226,0.22580645161290322,0.0967741935483871,30.322580645161295,gambler
logandempsey20,18,26.38888888888889,36.11111111111111,0.5,0.2777777777777778,0.2222222222222222,0.0,30.277777777777775,gambler
NinnaNation,28,11.607142857142858,57.14285714285714,0.21428571428571427,0.5,0.2857142857142857,0.07142857142857142,29.821428571428573,gambler
MWalker9,33,16.666666666666664,48.484848484848484,0.3333333333333333,0.42424242424242425,0.24242424242424243,0.06060606060606061,29.39393939393939,gambler
theWhistlesGoWo,31,24.193548387096776,37.096774193548384,0.41935483870967744,0.45161290322580644,0.12903225806451613,0.03225806451612903,29.354838709677416,mixed
Skibasher,53,19.81132075471698,43.39622641509434,0.33962264150943394,0.4716981132075472,0.18867924528301888,0.018867924528301886,29.245283018867923,mixed
Kuzoben,30,15.0,50.0,0.3333333333333333,0.4,0.26666666666666666,0.06666666666666667,29.0,gambler
halliam1114,62,8.46774193548387,58.06451612903226,0.16129032258064516,0.5483870967741935,0.2903225806451613,0.03225806451612903,28.30645161290323,gambler
BigCat97,62,16.532258064516128,45.16129032258064,0.3064516129032258,0.532258064516129,0.16129032258064516,0.04838709677419355,27.983870967741932,strategic_leverage
JustDan,29,25.862068965517242,31.03448275862069,0.41379310344827586,0.5517241379310345,0.034482758620689655,0.0,27.931034482758623,mixed
Sandell,61,16.80327868852459,44.26229508196721,0.3114754098360656,0.5409836065573771,0.14754098360655737,0.04918032786885246,27.786885245901637,mixed
Koronin,30,8.333333333333332,56.666666666666664,0.16666666666666666,0.6,0.23333333333333334,0.06666666666666667,27.666666666666668,gambler
Kbhoff,63,20.634920634920633,38.095238095238095,0.3492063492063492,0.5873015873015873,0.06349206349206349,0.047619047619047616,27.61904761904762,mixed
Sullivanchris01,33,8.333333333333332,56.060606060606055,0.18181818181818182,0.5757575757575758,0.24242424242424243,0.06060606060606061,27.424242424242422,gambler
linkcalhoun,64,10.15625,53.125,0.265625,0.4375,0.296875,0.03125,27.34375,gambler
pbyrne11,64,11.71875,50.78125,0.25,0.546875,0.203125,0.0625,27.34375,gambler
