course_num,n_samples,form_col,course_hist_col,corr_form,corr_course,course_type
500,990,sg_total_L12_mean,course_avg_sg_total,0.20101091174339783,0.15736985921890648,form_only
9,987,sg_total_L12_mean,course_avg_sg_total,0.2006855601980865,0.15401365353818208,form_only
12,1094,sg_total_L12_mean,course_avg_sg_total,0.1818725788630811,0.14107151939415571,form_only
977,626,sg_total_L12_mean,course_avg_sg_total,0.17739046325010846,0.13464007447555407,form_only
503,1231,sg_total_L12_mean,course_avg_sg_total,0.21899184291765747,0.1342400294699236,form_only
885,312,sg_total_L12_mean,course_avg_sg_total,0.1750227210606295,0.1327574387685002,form_only
872,689,sg_total_L12_mean,course_avg_sg_total,0.214620015546944,0.12405832146137445,form_only
876,1091,sg_total_L12_mean,course_avg_sg_total,0.190558241107624,0.11227938926025613,form_only
23,991,sg_total_L12_mean,course_avg_sg_total,0.19686711229383907,0.1116492334749465,form_only
883,1088,sg_total_L12_mean,course_avg_sg_total,0.19544463197468004,0.10694714349787808,form_only
665,1180,sg_total_L12_mean,course_avg_sg_total,0.17022285439869866,0.10654889584574455,form_only
704,1403,sg_total_L12_mean,course_avg_sg_total,0.13199437029458988,0.10205168213205627,form_only
928,288,sg_total_L12_mean,course_avg_sg_total,0.19950812391062087,0.08956330390115402,form_only
21,1138,sg_total_L12_mean,course_avg_sg_total,0.17336050246741339,0.07865579879736333,form_only
11,1302,sg_total_L12_mean,course_avg_sg_total,0.15883092570171686,0.0767458385699435,form_only
237,155,sg_total_L12_mean,course_avg_sg_total,0.14610553062375375,0.06921870795992358,form_only
734,1003,sg_total_L12_mean,course_avg_sg_total,0.1700116192996247,0.0683239646513837,form_only
669,1243,sg_total_L12_mean,course_avg_sg_total,0.20309702506317603,0.06511075930645652,form_only
513,329,sg_total_L12_mean,course_avg_sg_total,0.2108979962315983,0.05980788720221366,form_only
770,1184,sg_total_L12_mean,course_avg_sg_total,0.1461240666638708,0.04942349743798425,form_only
5,1249,sg_total_L12_mean,course_avg_sg_total,0.21318804069957725,0.027715478621872187,form_only
921,468,sg_total_L12_mean,course_avg_sg_total,0.11401631140353435,-0.002664773051308944,form_only
729,431,sg_total_L12_mean,course_avg_sg_total,0.15496458791586668,-0.024542799855303873,form_only
241,312,sg_total_L12_mean,course_avg_sg_total,0.16179776335223126,-0.12059882799240626,form_only
886,243,sg_total_L12_mean,course_avg_sg_total,0.16505503312249026,0.22181422609659626,history_sensitive
978,552,sg_total_L12_mean,course_avg_sg_total,0.151304148763469,0.21473246454036432,history_sensitive
894,312,sg_total_L12_mean,course_avg_sg_total,0.23145852732698427,0.24717278841997573,mixed
510,1188,sg_total_L12_mean,course_avg_sg_total,0.22519864109518867,0.21586617593444185,mixed
14,719,sg_total_L12_mean,course_avg_sg_total,0.2546569501981129,0.21198559437862904,mixed
4,1402,sg_total_L12_mean,course_avg_sg_total,0.18127593327358743,0.20123190479779562,mixed
6,1295,sg_total_L12_mean,course_avg_sg_total,0.15996477166399517,0.14460895230327864,mixed
243,311,sg_total_L12_mean,course_avg_sg_total,0.14804342911992235,0.14458915593412885,mixed
32,310,sg_total_L12_mean,course_avg_sg_total,0.13897458725542486,0.1438107716263437,mixed
897,693,sg_total_L12_mean,course_avg_sg_total,0.13388803587967987,0.13989927670276173,mixed
752,1403,sg_total_L12_mean,course_avg_sg_total,0.14999956689444913,0.1291281580173862,mixed
