event_name,event_id,year
3M Open,525,2019
A Military Tribute at The Greenbrier,490,2018
ACCIONA Open de España,2021136,2021
AFRASIA BANK Mauritius Open,2020002,2019
AT&T Byron Nelson,19,2018
AT&T Pebble Beach Pro-Am,5,2018
AVIV Dubai Championship,2021157,2021
Aberdeen Standard Investments Scottish Open,2018058,2018
Aberdeen Standard Investments Scottish Open,2019060,2019
Aberdeen Standard Investments Scottish Open,2020060,2020
Abu Dhabi HSBC Championship,2021101,2021
Abu Dhabi HSBC Championship,2022103,2022
Abu Dhabi HSBC Championship,2023107,2023
Abu Dhabi HSBC Championship,2024141,2024
Abu Dhabi HSBC Championship,2025136,2025
Abu Dhabi HSBC Championship presented by EGA,2018008,2018
Abu Dhabi HSBC Championship presented by EGA,2019010,2019
Abu Dhabi HSBC Championship presented by EGA,2020008,2020
Adelaide,1012,2023
AfrAsia Bank Mauritius Open,2023105,2022
AfrAsia Bank Mauritius Open,2024105,2023
AfrAsia Bank Mauritius Open,2025104,2024
Afrasia Bank Mauritius Open at Anahita,2019003,2018
Alfred Dunhill Championship,2019006,2018
Alfred Dunhill Championship,2023104,2022
Alfred Dunhill Championship,2024104,2023
Alfred Dunhill Championship,2025103,2024
Alfred Dunhill Championship #1,2020001,2019
Alfred Dunhill Championship #2,2020104,2020
Alfred Dunhill Links Championship,2018080,2018
Alfred Dunhill Links Championship,2019082,2019
Alfred Dunhill Links Championship,2021135,2021
Alfred Dunhill Links Championship,2022137,2022
Alfred Dunhill Links Championship,2023142,2023
Alfred Dunhill Links Championship,2024137,2024
Alfred Dunhill Links Championship,2025133,2025
Amgen Irish Open,2024134,2024
Amgen Irish Open,2025129,2025
Amundi Open de France,2019088,2019
Andalucia,1024,2024
Andalucia Valderrama Masters hosted by the Sergio Garcia Foundation,2018084,2018
Aphrodite Hills Cyprus Showdown,2020101,2020
Arnold Palmer Invitational presented by Mastercard,9,2018
Australian PGA Championship,2019002,2018
Australian PGA Championship,2020003,2019
Austrian Alpine Open presented by SalzburgerLand,2025143,2025
Austrian Golf Open,2021152,2021
Austrian Open,2020731,2020
BMW Australian PGA Championship,2025100,2024
BMW Australian PGA Championship,2026100,2025
BMW Championship,28,2018
BMW International Open,2018052,2018
BMW International Open,2019054,2019
BMW International Open,2021119,2021
BMW International Open,2022121,2022
BMW International Open,2023128,2023
BMW International Open,2024126,2024
BMW International Open,2025120,2025
BMW PGA CHAMPIONSHIP,2021132,2021
BMW PGA Championship,2018044,2018
BMW PGA Championship,2019080,2019
BMW PGA Championship,2020078,2020
BMW PGA Championship,2022134,2022
BMW PGA Championship,2023139,2023
BMW PGA Championship,2024135,2024
BMW PGA Championship,2025130,2025
BMW SA Open hosted by the City of Ekurhuleni,2018004,2018
Bahrain Championship presented by Bapco Energies,2024109,2024
Bangkok,1006,2022
Bank of Utah Championship,554,2025
Bapco Energies Bahrain Championship,2025108,2025
Bapco Energies Bahrain Championship,2026107,2026
Barbasol Championship,518,2018
Barracuda Championship,472,2019
Baycurrent Classic,527,2025
Bedminster,1003,2022
Belgian Knockout,2018042,2018
Belgian Knockout,2019048,2019
Bermuda Championship,528,2019
Betfred British Masters,2019042,2019
Betfred British Masters,2023129,2023
Betfred British Masters hosted by Danny Willett,2021113,2021
Betfred British Masters hosted by Danny Willett,2022114,2022
Betfred British Masters hosted by Lee Westwood,2020066,2020
Betfred British Masters hosted by Sir Nick Faldo,2024132,2024
Betfred British Masters hosted by Sir Nick Faldo,2025127,2025
Black Desert Championship,554,2024
Boston,1004,2022
Butterfield Bermuda Championship,528,2021
Butterfield Bermuda Championship #2,548,2023
CHAU-SHI Series  Din Yue Open,10944,2025
CHAU-SHI Series - GIANT Open,11038,2025
CHAU-SHI Series - Nan Pao Open,10916,2025
CHAU-SHI Series Chang Wah Open,10775,2025
CHAU-SHI Series Chasing Dream Open,10961,2025
CHAU-SHI Series Da Jia Charity Open,10928,2025
CHAU-SHI Series Mizuno Open,10881,2025
CHAU-SHI Series Qing Lian HDF Open,10971,2025
CHAU-SHI Series Wealthy Family Open,11075,2025
CIMB Classic,494,2018
Cadence Bank Houston Open,20,2022
Canary Islands Championship,2021153,2021
CareerBuilder Challenge,2,2018
Catalunya Championship,2022151,2022
Cazoo Classic,2021128,2021
Cazoo Classic,2022127,2022
Cazoo Open de France,2022136,2022
Cazoo Open de France,2023140,2023
Cazoo Open supported by Gareth Bale,2021123,2021
Cazoo Open supported by Gareth Bale,2022129,2022
Celtic Classic,2020007,2020
Charles Schwab Challenge,21,2019
