tour,event_name,course_name,event_id,date_start,date_end,last_updated,current_round,dg_id,player_num,player_name,am,pre_tourn_pageviews,country,dg_rank,owgr_rank,tour_rank,r1_course_code,r1_course_name,r1_course_num,r1_round_num,r1_start_hole,r1_teetime,r1_wave,r2_course_code,r2_course_name,r2_course_num,r2_round_num,r2_start_hole,r2_teetime,r2_wave,r3_course_code,r3_course_name,r3_course_num,r3_round_num,r3_start_hole,r3_teetime,r3_wave,r4_course_code,r4_course_name,r4_course_num,r4_round_num,r4_start_hole,r4_teetime,r4_wave
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,23950,52955,"Aberg, Ludvig",0,184,SWE,32,21,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,17606,40026,"Berger, Daniel",0,46,USA,73,60,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,26096,56630,"Bhatia, Akshay",0,138,USA,39,37,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,13872,33141,"Bradley, Keegan",0,72,USA,27,19,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,29433,60004,"Bridgeman, Jacob",0,86,USA,46,52,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,19483,47504,"Burns, Sam",0,187,USA,14,27,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,18628,46443,"Campbell, Brian",0,26,USA,346,85,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,15466,35450,"Cantlay, Patrick",0,320,USA,13,28,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,14502,34021,"Cauley, Bud",0,29,USA,104,79,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,23604,51766,"Clark, Wyndham",0,86,USA,84,62,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,The Genesis Invitational,The Riviera Country Club,7,2026-02-19,2026-02-22,2026-02-16 14:31:20 UTC,1,17576,39997,"Conners, Corey",0,62,CAN,51,35,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
