Rank,Username,Player,Position,Score,Earnings,Tournament,dg_id
T258,paulbearers(1),Shane Lowry,T51,+3,"-$50,000",Arnold Palmer Invitational presented by Mastercard,13900.0
T258,etohacks(1),Shane Lowry,T51,+3,"-$50,000",Arnold Palmer Invitational presented by Mastercard,13900.0
T258,shl1996(1),Shane Lowry,T51,+3,"-$50,000",Arnold Palmer Invitational presented by Mastercard,13900.0
T258,zimmbroom(1),Sam Burns,T59,+4,"-$50,000",Arnold Palmer Invitational presented by Mastercard,19483.0
T258,DalmatianNation(1),Shane Lowry,T51,+3,"-$50,000",Arnold Palmer Invitational presented by Mastercard,13900.0
T258,ScreechingPenguin(1),Shane Lowry,T51,+3,"-$50,000",Arnold Palmer Invitational presented by Mastercard,13900.0
T258,Bear711(1),Justin Rose,T66,+6,"-$50,000",Arnold Palmer Invitational presented by Mastercard,6093.0
T258,SUND(1),Shane Lowry,T51,+3,"-$50,000",Arnold Palmer Invitational presented by Mastercard,13900.0
T258,westonstanley(1),Shane Lowry,T51,+3,"-$50,000",Arnold Palmer Invitational presented by Mastercard,13900.0
T258,vinnyp15(1),Patrick Cantlay,T59,+4,"-$50,000",Arnold Palmer Invitational presented by Mastercard,15466.0
T258,ojlimpsin(3),Shane Lowry,T51,+3,"-$50,000",Arnold Palmer Invitational presented by Mastercard,13900.0
T258,ojlimpsin(4),Ryan Gerard,T51,+3,"-$50,000",Arnold Palmer Invitational presented by Mastercard,29767.0
T258,Seanpins(4),Shane Lowry,T51,+3,"-$50,000",Arnold Palmer Invitational presented by Mastercard,13900.0
T258,Seanpins(5),Patrick Cantlay,T59,+4,"-$50,000",Arnold Palmer Invitational presented by Mastercard,15466.0
T1,redsdandyal(1),Ludvig Aberg,T3,-12,"$1,200,000",Arnold Palmer Invitational presented by Mastercard,23950.0
T1,Squart(1),Ludvig Aberg,T3,-12,"$1,200,000",Arnold Palmer Invitational presented by Mastercard,23950.0
T1,himile(1),Cameron Young,T3,-12,"$1,200,000",Arnold Palmer Invitational presented by Mastercard,26651.0
T1,westover(1),Cameron Young,T3,-12,"$1,200,000",Arnold Palmer Invitational presented by Mastercard,26651.0
T1,evanharris11(1),Ludvig Aberg,T3,-12,"$1,200,000",Arnold Palmer Invitational presented by Mastercard,23950.0
T1,reddy4primetime(1),Cameron Young,T3,-12,"$1,200,000",Arnold Palmer Invitational presented by Mastercard,26651.0
T1,cristalblanco(2),Cameron Young,T3,-12,"$1,200,000",Arnold Palmer Invitational presented by Mastercard,26651.0
T1,meowmeow14(1),Ludvig Aberg,T3,-12,"$1,200,000",Arnold Palmer Invitational presented by Mastercard,23950.0
T1,Whale20c19b39(1),Ludvig Aberg,T3,-12,"$1,200,000",Arnold Palmer Invitational presented by Mastercard,23950.0
T11,TeamHammerck(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,treshermanas(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,norips(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,bogeybros101(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,doublemax(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,sp10k(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,C-Alt24(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,bonesesh(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,4dudes1club(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,justinmacmahan(3),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,bignasty500(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,horton-conrey(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,hatchattack(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,oleboyroy14(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,kapantal(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,teamlumpy(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,kojack22(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,cbhoskins(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,scott_c_434(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,rickrungood(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,dk38(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,lucky_darts2(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,paintshow(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,warchild-dbkk(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,presswhenyourpissed(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,jmac903(2),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,dalefm12(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,soonertrojan(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,BHART4(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,briangpark(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,twssquad(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,moh888(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,DKDKDKDK(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,tzentner(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,btfd(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,swingingbevos(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,thehun73(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,sportsrgood55(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,JoBuNeedsARefill1(2),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,ryansutter(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,wsmithuva(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,briancjo(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,slickcowboy(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T11,krutches(1),Collin Morikawa,5,-11,"$840,000",Arnold Palmer Invitational presented by Mastercard,22085.0
T55,lundynuts(1),Russell Henley,T6,-10,"$702,000",Arnold Palmer Invitational presented by Mastercard,14578.0
T55,Seanpins(1),Russell Henley,T6,-10,"$702,000",Arnold Palmer Invitational presented by Mastercard,14578.0
T55,jaeg(1),Min Woo Lee,T6,-10,"$702,000",Arnold Palmer Invitational presented by Mastercard,16841.0
