Rank,Username,Player,Position,Score,Earnings,Tournament,dg_id
T250,Hookemtt(1),Viktor Hovland,T58,-6,"$39,750",AT&T Pebble Beach Pro-Am,18841.0
T250,alexellis9(1),Viktor Hovland,T58,-6,"$39,750",AT&T Pebble Beach Pro-Am,18841.0
T250,DKDKDKDK(1),Viktor Hovland,T58,-6,"$39,750",AT&T Pebble Beach Pro-Am,18841.0
T250,chuckspicks(2),Viktor Hovland,T58,-6,"$39,750",AT&T Pebble Beach Pro-Am,18841.0
T250,DB730(1),Viktor Hovland,T58,-6,"$39,750",AT&T Pebble Beach Pro-Am,18841.0
T250,jjwooly(1),Viktor Hovland,T58,-6,"$39,750",AT&T Pebble Beach Pro-Am,18841.0
T250,ojlimpsin(2),Viktor Hovland,T58,-6,"$39,750",AT&T Pebble Beach Pro-Am,18841.0
273,mmmm(1),Sahith Theegala,T60,-5,"$38,250",AT&T Pebble Beach Pro-Am,23014.0
T274,RextheWonderdog(1),Daniel Berger,T75,+2,"$33,125",AT&T Pebble Beach Pro-Am,17606.0
T274,reddy4primetime(1),Daniel Berger,T75,+2,"$33,125",AT&T Pebble Beach Pro-Am,17606.0
T276,mhgilber(1),Michael Thorbjornsen,T78,+9,"$32,250",AT&T Pebble Beach Pro-Am,26649.0
T276,shl1996(1),Michael Thorbjornsen,T78,+9,"$32,250",AT&T Pebble Beach Pro-Am,26649.0
T276,bmorebri(1),Michael Thorbjornsen,T78,+9,"$32,250",AT&T Pebble Beach Pro-Am,26649.0
279,tmt-hPz7(1),,--,--,$0,AT&T Pebble Beach Pro-Am,
T1,Bear711(1),Sepp Straka,T2,-21,"$1,760,000",AT&T Pebble Beach Pro-Am,17511.0
T1,SUND(1),Sepp Straka,T2,-21,"$1,760,000",AT&T Pebble Beach Pro-Am,17511.0
T1,swingingbevos(1),Sepp Straka,T2,-21,"$1,760,000",AT&T Pebble Beach Pro-Am,17511.0
T5,mnehme(1),Tommy Fleetwood,T4,-20,"$877,500",AT&T Pebble Beach Pro-Am,12294.0
T5,dixie(1),Scottie Scheffler,T4,-20,"$877,500",AT&T Pebble Beach Pro-Am,18417.0
T5,horton-conrey(1),Scottie Scheffler,T4,-20,"$877,500",AT&T Pebble Beach Pro-Am,18417.0
T5,warchild-dbkk(1),Tommy Fleetwood,T4,-20,"$877,500",AT&T Pebble Beach Pro-Am,12294.0
T5,CLUBSWANGERS(1),Scottie Scheffler,T4,-20,"$877,500",AT&T Pebble Beach Pro-Am,18417.0
T5,westover(1),Tommy Fleetwood,T4,-20,"$877,500",AT&T Pebble Beach Pro-Am,12294.0
T5,SRUSSO11(1),Scottie Scheffler,T4,-20,"$877,500",AT&T Pebble Beach Pro-Am,18417.0
T5,kmilnerjr(1),Tommy Fleetwood,T4,-20,"$877,500",AT&T Pebble Beach Pro-Am,12294.0
T5,syndicuttx(1),Tommy Fleetwood,T4,-20,"$877,500",AT&T Pebble Beach Pro-Am,12294.0
T5,amarouni(1),Tommy Fleetwood,T4,-20,"$877,500",AT&T Pebble Beach Pro-Am,12294.0
T5,ryanhojo22(2),Scottie Scheffler,T4,-20,"$877,500",AT&T Pebble Beach Pro-Am,18417.0
T5,meowmeow14(1),Scottie Scheffler,T4,-20,"$877,500",AT&T Pebble Beach Pro-Am,18417.0
T5,vinnyp15(1),Tommy Fleetwood,T4,-20,"$877,500",AT&T Pebble Beach Pro-Am,12294.0
T5,ryanhojo22(3),Scottie Scheffler,T4,-20,"$877,500",AT&T Pebble Beach Pro-Am,18417.0
T19,Seanpins(1),Hideki Matsuyama,T8,-18,"$515,000",AT&T Pebble Beach Pro-Am,13562.0
T19,saturdaysfortheboys(1),Jake Knapp,T8,-18,"$515,000",AT&T Pebble Beach Pro-Am,19396.0
T19,nshall11(1),Shane Lowry,T8,-18,"$515,000",AT&T Pebble Beach Pro-Am,13900.0
T19,justinmacmahan(3),Jake Knapp,T8,-18,"$515,000",AT&T Pebble Beach Pro-Am,19396.0
T19,ryanhojo22(1),Hideki Matsuyama,T8,-18,"$515,000",AT&T Pebble Beach Pro-Am,13562.0
T19,ricktavius(1),Shane Lowry,T8,-18,"$515,000",AT&T Pebble Beach Pro-Am,13900.0
T19,parplaya(1),Jake Knapp,T8,-18,"$515,000",AT&T Pebble Beach Pro-Am,19396.0
T19,seekers3.0(1),Jake Knapp,T8,-18,"$515,000",AT&T Pebble Beach Pro-Am,19396.0
T19,Npouj23(1),Hideki Matsuyama,T8,-18,"$515,000",AT&T Pebble Beach Pro-Am,13562.0
T19,kingspence(1),Jake Knapp,T8,-18,"$515,000",AT&T Pebble Beach Pro-Am,19396.0
T19,PottsLozier(1),Shane Lowry,T8,-18,"$515,000",AT&T Pebble Beach Pro-Am,13900.0
T19,arkadymosports(1),Hideki Matsuyama,T8,-18,"$515,000",AT&T Pebble Beach Pro-Am,13562.0
T19,ojlimpsin(5),Jake Knapp,T8,-18,"$515,000",AT&T Pebble Beach Pro-Am,19396.0
T19,Seanpins(3),Hideki Matsuyama,T8,-18,"$515,000",AT&T Pebble Beach Pro-Am,13562.0
T33,adblanke(1),Matt Fitzpatrick,T14,-17,"$342,750",AT&T Pebble Beach Pro-Am,17646.0
T33,bonesesh(1),Rory McIlroy,T14,-17,"$342,750",AT&T Pebble Beach Pro-Am,10091.0
T33,justinmacmahan(2),Matt Fitzpatrick,T14,-17,"$342,750",AT&T Pebble Beach Pro-Am,17646.0
T33,justinmacmahan(4),Patrick Cantlay,T14,-17,"$342,750",AT&T Pebble Beach Pro-Am,15466.0
T33,Squart(1),Matt Fitzpatrick,T14,-17,"$342,750",AT&T Pebble Beach Pro-Am,17646.0
T33,bakecityutah(1),Matt Fitzpatrick,T14,-17,"$342,750",AT&T Pebble Beach Pro-Am,17646.0
T33,rochman77(1),Patrick Cantlay,T14,-17,"$342,750",AT&T Pebble Beach Pro-Am,15466.0
T33,jakep0114(1),Matt Fitzpatrick,T14,-17,"$342,750",AT&T Pebble Beach Pro-Am,17646.0
T33,soonertrojan(1),Patrick Cantlay,T14,-17,"$342,750",AT&T Pebble Beach Pro-Am,15466.0
T33,DDFs(1),Rory McIlroy,T14,-17,"$342,750",AT&T Pebble Beach Pro-Am,10091.0
T33,DalmatianNation(1),Patrick Cantlay,T14,-17,"$342,750",AT&T Pebble Beach Pro-Am,15466.0
T33,mdlyons91(1),Rory McIlroy,T14,-17,"$342,750",AT&T Pebble Beach Pro-Am,10091.0
T33,Whale20c19b39(1),Rory McIlroy,T14,-17,"$342,750",AT&T Pebble Beach Pro-Am,10091.0
T33,JoBuNeedsARefill1(1),Matt Fitzpatrick,T14,-17,"$342,750",AT&T Pebble Beach Pro-Am,17646.0
T33,JoBuNeedsARefill1(4),Patrick Cantlay,T14,-17,"$342,750",AT&T Pebble Beach Pro-Am,15466.0
T33,ryansutter(1),Matt Fitzpatrick,T14,-17,"$342,750",AT&T Pebble Beach Pro-Am,17646.0
T33,halliam1114(1),Patrick Cantlay,T14,-17,"$342,750",AT&T Pebble Beach Pro-Am,15466.0
T33,ojlimpsin(1),Matt Fitzpatrick,T14,-17,"$342,750",AT&T Pebble Beach Pro-Am,17646.0
T33,SRUSSO11(2),Rory McIlroy,T14,-17,"$342,750",AT&T Pebble Beach Pro-Am,10091.0
T52,dak1616(1),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
T52,broosth(1),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
T52,inone(1),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
T52,aceinthehole59(1),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
T52,TeamHammerck(1),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
T52,treshermanas(1),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
T52,bogeybros101(1),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
T52,doublemax(1),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
T52,teamneverrory(1),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
T52,C-Alt24(1),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
T52,dechambros(1),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
T52,engemania(1),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
T52,ogsandbaggers(1),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
T52,givemeadouble(1),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
T52,wcolyer(1),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
T52,justinmacmahan(1),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
T52,mmercer19(1),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
T52,redsdandyal(1),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
T52,bignasty500(1),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
T52,oleboyroy14(3),Russell Henley,T19,-15,"$235,000",AT&T Pebble Beach Pro-Am,14578.0
