Rank,Username,Player,Position,Score,Earnings,Tournament,dg_id
T243,pstephens2315(1),John Keefer,T94,+3,"-$50,000",Cognizant Classic,32457.0
T243,captainfch(1),Michael Thorbjornsen,T68,+1,"-$50,000",Cognizant Classic,26649.0
T243,Huevos_Gigantes(1),Michael Thorbjornsen,T68,+1,"-$50,000",Cognizant Classic,26649.0
T243,PrettySickChubbs(1),Michael Thorbjornsen,T68,+1,"-$50,000",Cognizant Classic,26649.0
T243,faustino8466(1),Andrew Putnam,T94,+3,"-$50,000",Cognizant Classic,14704.0
T243,gafftop(1),Mac Meissner,T68,+1,"-$50,000",Cognizant Classic,28159.0
T243,ogwieny(1),Sami Valimaki,T117,+9,"-$50,000",Cognizant Classic,23816.0
T243,chuckspicks(2),Michael Thorbjornsen,T68,+1,"-$50,000",Cognizant Classic,26649.0
T243,cristalblanco(5),Danny Willett,T94,+3,"-$50,000",Cognizant Classic,12920.0
T243,BirdieKillers-231(1),Michael Thorbjornsen,T68,+1,"-$50,000",Cognizant Classic,26649.0
T243,jjwooly(1),Michael Thorbjornsen,T68,+1,"-$50,000",Cognizant Classic,26649.0
T243,JoBuNeedsARefill1(1),Michael Thorbjornsen,T68,+1,"-$50,000",Cognizant Classic,26649.0
T243,txyb(1),Michael Thorbjornsen,T68,+1,"-$50,000",Cognizant Classic,26649.0
T243,ojlimpsin(4),Mac Meissner,T68,+1,"-$50,000",Cognizant Classic,28159.0
T1,dixie(1),Nicolas Echavarria,1,-17,"$1,728,000",Cognizant Classic,22833.0
T3,broosth(1),Shane Lowry,T2,-15,"$726,400",Cognizant Classic,13900.0
T3,elliottperry(1),Shane Lowry,T2,-15,"$726,400",Cognizant Classic,13900.0
T3,inone(1),Shane Lowry,T2,-15,"$726,400",Cognizant Classic,13900.0
T3,lundynuts(1),Shane Lowry,T2,-15,"$726,400",Cognizant Classic,13900.0
T3,birdie2double(1),Shane Lowry,T2,-15,"$726,400",Cognizant Classic,13900.0
T3,chbj(1),Shane Lowry,T2,-15,"$726,400",Cognizant Classic,13900.0
T3,Seanpins(1),Shane Lowry,T2,-15,"$726,400",Cognizant Classic,13900.0
T3,4dudes1club(1),Shane Lowry,T2,-15,"$726,400",Cognizant Classic,13900.0
T3,elhomanator(1),Shane Lowry,T2,-15,"$726,400",Cognizant Classic,13900.0
T3,mmmm(1),Shane Lowry,T2,-15,"$726,400",Cognizant Classic,13900.0
T3,bozotits(1),Shane Lowry,T2,-15,"$726,400",Cognizant Classic,13900.0
