Rank,Username,Player,Position,Score,Earnings,Tournament,dg_id
T260,spitterw(1),Jake Knapp,--,E,$0,Miami Championship,0
T260,coryselzer(1),Jake Knapp,--,E,$0,Miami Championship,0
T260,jmac903(2),Patrick Cantlay,--,E,$0,Miami Championship,0
T260,EDELL21(1),,--,--,$0,Miami Championship,0
T260,zimmbroom(1),,--,--,$0,Miami Championship,0
T260,ScreechingPenguin(1),Jake Knapp,--,E,$0,Miami Championship,0
T260,ding-Rx7V(1),Jake Knapp,--,E,$0,Miami Championship,0
T260,kmilnerjr(1),Jake Knapp,--,E,$0,Miami Championship,0
T260,Bear711(1),,--,--,$0,Miami Championship,0
T260,MJWinter(1),Jake Knapp,--,E,$0,Miami Championship,0
T260,cristalblanco(2),Jake Knapp,--,E,$0,Miami Championship,0
T260,810ofclubs(1),Jake Knapp,--,E,$0,Miami Championship,0
T260,ojlimpsin(2),Jake Knapp,--,E,$0,Miami Championship,0
T260,tmt-hPz7(1),,--,--,$0,Miami Championship,0
T1,inone(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,TeamHammerck(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,adblanke(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,birdie2double(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,sp10k(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,coleman8689(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,mbschroeder1422(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,nelsonmonteith(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,chbj(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,burntpurple2024(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,ogsandbaggers(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,elhomanator(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,justinmacmahan(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,shadystrokes(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,bozotits(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,bignasty500(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,horton-conrey(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,boykinr(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,oleboyroy14(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,bakecityutah(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,ryanhojo22(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,thumbsup(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,tevez(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,rochman77(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,kojack22(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,cookiemonsterz(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,cypresspoint(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,jjmcd(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,twincreeks(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,southtxam(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,standardclub2025(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,kabusa80(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,teamneverrory(2),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,warchild-dbkk(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,CrazyPicks(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,leschaef(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,dalefm12(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,trevoro5(2),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,soonertrojan(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,jeffkevinma(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,philsbookie(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,miloscf(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,fluffy-bunny-feet(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,CamChamps(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,pstephens2315(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,FowlerPicks1(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,PottsLozier(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,captainfch(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,Huevos_Gigantes(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,alexellis9(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,mdlyons91(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,hammers_2(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,westonstanley(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,coolhandsun(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,agrumney(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,swingingbevos(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,fishbeinb(4),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,cristalblanco(4),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,thehun73(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,sportsrgood55(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,JoBuNeedsARefill1(4),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,jmac214(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,jmac214(2),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,SPANKGAWD(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,briancjo(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,slickcowboy(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T1,krutches(1),Cameron Young,1,-19,"$3,600,000",Miami Championship,0
T69,cibogiii(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,69handicap(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,teamneverrory(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,dacdegens(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,4dudes1club(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,apriest25(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,justinmacmahan(5),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,mnehme(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,cknost7(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,sofakinglong(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,smokedogjr(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,cjlemoin(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,lucky_darts2(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,paintshow(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,jakep0114(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,etohacks(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,shl1996(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,vinomar1(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,gilmorehappy2(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,evanharris11(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,pbcbdb(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,amarouni(1),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
T69,Seanpins(4),Scottie Scheffler,2,-13,"$2,160,000",Miami Championship,0
92,fishbeinb(3),Ben Griffin,3,-12,"$1,360,000",Miami Championship,0
T93,dechambros(1),Si Woo Kim,T4,-11,"$826,667",Miami Championship,0
T93,nshall11(1),Adam Scott,T4,-11,"$826,667",Miami Championship,0
T93,mmmm(1),Adam Scott,T4,-11,"$826,667",Miami Championship,0
T93,teamlumpy(2),Adam Scott,T4,-11,"$826,667",Miami Championship,0
