Rank,Username,Player,Position,Score,Earnings,Tournament,dg_id
T1,nathanzucker(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,cheekbusters(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,elhomanator(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,nshall11(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,justinmacmahan(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,oleboyroy14(2),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,oleboyroy14(3),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,ryanhojo22(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,rochman77(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,ConOs(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,ShootersTour47(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,nsolo(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,paintshow(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,tsmiller3(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,celijah(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,soonertrojan(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,OnePelican(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,Bezos(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,ding-Rx7V(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,chuckspicks(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,McKenzie Scotts Tots(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,evanharris11(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,mdlyons91(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,samjmcki96(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,shope24(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,btfd(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,fishbeinb(5),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,saturdaysfortheboys(2),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,briancjo(1),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,ojlimpsin(4),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T1,Seanpins(4),Jon Rahm,T2,-6,"$2,444,444",PGA Championship,19195.0
T33,sp10k(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,southwestswindlers(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,reeseyow(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,rocklawson(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,creecraig(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,wcolyer(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,bozotits(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,sofakinglong(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,driveroffthedeck(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,puttnuts(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,lucky_darts2(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,miloscf(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,slimedf(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,FowlerPicks1(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,gafftop(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,syndicuttx(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,tzentner(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,fishbeinb(2),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,cristalblanco(2),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,rogerg09(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,ryanhojo22(2),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,sportsrgood55(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,ojlimpsin(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,ojlimpsin(2),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,ojlimpsin(3),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,Seanpins(3),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T33,krutches(1),Ludvig Aberg,T4,-5,"$1,143,451",PGA Championship,23950.0
T60,broosth(1),Xander Schauffele,T7,-4,"$863,211",PGA Championship,19895.0
T60,TeamHammerck(1),Rory McIlroy,T7,-4,"$863,211",PGA Championship,10091.0
T60,coleman8689(1),Xander Schauffele,T7,-4,"$863,211",PGA Championship,19895.0
T60,bonesesh(1),Xander Schauffele,T7,-4,"$863,211",PGA Championship,19895.0
T60,nelsonmonteith(1),Rory McIlroy,T7,-4,"$863,211",PGA Championship,10091.0
T60,burntpurple2024(1),Rory McIlroy,T7,-4,"$863,211",PGA Championship,10091.0
T60,ogsandbaggers(1),Rory McIlroy,T7,-4,"$863,211",PGA Championship,10091.0
T60,mnehme(1),Xander Schauffele,T7,-4,"$863,211",PGA Championship,19895.0
T60,kapantal(1),Rory McIlroy,T7,-4,"$863,211",PGA Championship,10091.0
T60,mhgilber(1),Rory McIlroy,T7,-4,"$863,211",PGA Championship,10091.0
T60,cookiemonsterz(1),Xander Schauffele,T7,-4,"$863,211",PGA Championship,19895.0
T60,southtxam(1),Rory McIlroy,T7,-4,"$863,211",PGA Championship,10091.0
T60,presswhenyourpissed(1),Rory McIlroy,T7,-4,"$863,211",PGA Championship,10091.0
T60,CrazyPicks(1),Xander Schauffele,T7,-4,"$863,211",PGA Championship,19895.0
T60,leschaef(1),Xander Schauffele,T7,-4,"$863,211",PGA Championship,19895.0
T60,jmac903(2),Rory McIlroy,T7,-4,"$863,211",PGA Championship,10091.0
T60,trevoro5(1),Rory McIlroy,T7,-4,"$863,211",PGA Championship,10091.0
T60,jeffkevinma(1),Xander Schauffele,T7,-4,"$863,211",PGA Championship,19895.0
T60,vinomar1(1),Rory McIlroy,T7,-4,"$863,211",PGA Championship,10091.0
T60,rgsawyer(1),Rory McIlroy,T7,-4,"$863,211",PGA Championship,10091.0
T60,captainfch(1),Rory McIlroy,T7,-4,"$863,211",PGA Championship,10091.0
T60,MJWinter(1),Rory McIlroy,T7,-4,"$863,211",PGA Championship,10091.0
T60,SUND(1),Xander Schauffele,T7,-4,"$863,211",PGA Championship,19895.0
T60,vjgalati(1),Xander Schauffele,T7,-4,"$863,211",PGA Championship,19895.0
T60,fishbeinb(4),Rory McIlroy,T7,-4,"$863,211",PGA Championship,10091.0
T60,Whale20c19b39(1),Xander Schauffele,T7,-4,"$863,211",PGA Championship,19895.0
T60,JoBuNeedsARefill1(4),Rory McIlroy,T7,-4,"$863,211",PGA Championship,10091.0
T60,vinnyp15(1),Xander Schauffele,T7,-4,"$863,211",PGA Championship,19895.0
T60,jmac214(1),Xander Schauffele,T7,-4,"$863,211",PGA Championship,19895.0
T60,arkadymosports(1),Rory McIlroy,T7,-4,"$863,211",PGA Championship,10091.0
T90,alcohballics(1),Patrick Reed,T10,-3,"$673,046",PGA Championship,14838.0
T90,licencedtoill(1),Justin Rose,T10,-3,"$673,046",PGA Championship,6093.0
T90,justinmacmahan(2),Patrick Reed,T10,-3,"$673,046",PGA Championship,14838.0
T90,justinmacmahan(3),Kurt Kitayama,T10,-3,"$673,046",PGA Championship,21891.0
T90,Squart(1),Justin Rose,T10,-3,"$673,046",PGA Championship,6093.0
T90,teamlumpy(1),Patrick Reed,T10,-3,"$673,046",PGA Championship,14838.0
T90,misterbanks(1),Chris Gotterup,T10,-3,"$673,046",PGA Championship,27774.0
T90,CamChamps(1),Chris Gotterup,T10,-3,"$673,046",PGA Championship,27774.0
T90,amarouni(1),Chris Gotterup,T10,-3,"$673,046",PGA Championship,27774.0
T90,reddy4primetime(1),Justin Rose,T10,-3,"$673,046",PGA Championship,6093.0
T90,spiresh(1),Justin Rose,T10,-3,"$673,046",PGA Championship,6093.0
T90,JoBuNeedsARefill1(1),Kurt Kitayama,T10,-3,"$673,046",PGA Championship,21891.0
T102,inone(1),Scottie Scheffler,T14,-2,"$494,259",PGA Championship,18417.0
T102,norips(1),Scottie Scheffler,T14,-2,"$494,259",PGA Championship,18417.0
T102,bogeybros101(1),Scottie Scheffler,T14,-2,"$494,259",PGA Championship,18417.0
T102,partyoffore(1),Scottie Scheffler,T14,-2,"$494,259",PGA Championship,18417.0
T102,mbschroeder1422(1),Scottie Scheffler,T14,-2,"$494,259",PGA Championship,18417.0
T102,chbj(1),Scottie Scheffler,T14,-2,"$494,259",PGA Championship,18417.0
T102,chippewa(1),Scottie Scheffler,T14,-2,"$494,259",PGA Championship,18417.0
T102,shut-spar-4914(1),Scottie Scheffler,T14,-2,"$494,259",PGA Championship,18417.0
T102,mmercer19(1),Scottie Scheffler,T14,-2,"$494,259",PGA Championship,18417.0
T102,HIGH-HOLY-DAYS(1),Matt Fitzpatrick,T14,-2,"$494,259",PGA Championship,17646.0
T102,boykinr(1),Matt Fitzpatrick,T14,-2,"$494,259",PGA Championship,17646.0
T102,hatchattack(1),Scottie Scheffler,T14,-2,"$494,259",PGA Championship,18417.0
T102,oleboyroy14(1),Scottie Scheffler,T14,-2,"$494,259",PGA Championship,18417.0
T102,bakecityutah(1),Scottie Scheffler,T14,-2,"$494,259",PGA Championship,18417.0
T102,jaeg(1),Scottie Scheffler,T14,-2,"$494,259",PGA Championship,18417.0
