Rank,Username,Player,Position,Score,Earnings,Tournament,dg_id
T263,paintshow(1),Jake Knapp,T74,+2,"$31,750",RBC Heritage,19396.0
T263,jeffkevinma(1),Jake Knapp,T74,+2,"$31,750",RBC Heritage,19396.0
T268,ScreechingPenguin(1),Justin Thomas,T77,+3,"$31,000",RBC Heritage,14139.0
T268,JoBuNeedsARefill1(3),Justin Thomas,T77,+3,"$31,000",RBC Heritage,14139.0
T268,slickcowboy(1),Justin Thomas,T77,+3,"$31,000",RBC Heritage,14139.0
T271,dmcconn2001(1),,--,--,$0,RBC Heritage,
T271,shut-spar-4914(1),,--,--,$0,RBC Heritage,
T271,mnehme(1),,--,--,$0,RBC Heritage,
T271,philsbookie(1),,--,--,$0,RBC Heritage,
T271,Bezos(1),,--,--,$0,RBC Heritage,
T271,jordanwdavis(1),,--,--,$0,RBC Heritage,
T271,kmilnerjr(1),,--,--,$0,RBC Heritage,
T271,Bear711(1),,--,--,$0,RBC Heritage,
T271,tmt-hPz7(1),,--,--,$0,RBC Heritage,
T1,lundynuts(1),Matt Fitzpatrick,1,-18,"$3,600,000",RBC Heritage,17646.0
T1,justinmacmahan(5),Matt Fitzpatrick,1,-18,"$3,600,000",RBC Heritage,17646.0
T1,oleboyroy14(1),Matt Fitzpatrick,1,-18,"$3,600,000",RBC Heritage,17646.0
T1,jaeg(1),Matt Fitzpatrick,1,-18,"$3,600,000",RBC Heritage,17646.0
T1,mhgilber(1),Matt Fitzpatrick,1,-18,"$3,600,000",RBC Heritage,17646.0
T1,teamlumpy(1),Matt Fitzpatrick,1,-18,"$3,600,000",RBC Heritage,17646.0
T1,princetonians(1),Matt Fitzpatrick,1,-18,"$3,600,000",RBC Heritage,17646.0
T1,jjmcd(1),Matt Fitzpatrick,1,-18,"$3,600,000",RBC Heritage,17646.0
T1,lucky_darts2(1),Matt Fitzpatrick,1,-18,"$3,600,000",RBC Heritage,17646.0
T1,warchild-dbkk(1),Matt Fitzpatrick,1,-18,"$3,600,000",RBC Heritage,17646.0
T1,soonertrojan(1),Matt Fitzpatrick,1,-18,"$3,600,000",RBC Heritage,17646.0
T1,BHART4(1),Matt Fitzpatrick,1,-18,"$3,600,000",RBC Heritage,17646.0
T1,shl1996(1),Matt Fitzpatrick,1,-18,"$3,600,000",RBC Heritage,17646.0
T1,fluffy-bunny-feet(1),Matt Fitzpatrick,1,-18,"$3,600,000",RBC Heritage,17646.0
T1,pstephens2315(1),Matt Fitzpatrick,1,-18,"$3,600,000",RBC Heritage,17646.0
T1,FowlerPicks1(1),Matt Fitzpatrick,1,-18,"$3,600,000",RBC Heritage,17646.0
