Rank,Username,Player,Position,Score,Earnings,Tournament,dg_id
T214,cristalblanco(5),Aaron Wise,T98,+1,"-$50,000",Texas Children's Houston Open,22051.0
T214,Seanpins(2),Ryan Gerard,T89,E,"-$50,000",Texas Children's Houston Open,29767.0
T214,zgreen157(1),Brooks Koepka,T116,+4,"-$50,000",Texas Children's Houston Open,16243.0
T214,jjwooly(1),Wyndham Clark,T104,+2,"-$50,000",Texas Children's Houston Open,23604.0
T214,Whale20c19b39(1),Wyndham Clark,T104,+2,"-$50,000",Texas Children's Houston Open,23604.0
T214,JoBuNeedsARefill1(3),Ryan Fox,T112,+3,"-$50,000",Texas Children's Houston Open,11889.0
T214,JoBuNeedsARefill1(5),Ryan Gerard,T89,E,"-$50,000",Texas Children's Houston Open,29767.0
T214,vinnyp15(1),Marco Penge,T76,-1,"-$50,000",Texas Children's Houston Open,22465.0
T214,ryansutter(1),Rickie Fowler,T89,E,"-$50,000",Texas Children's Houston Open,12965.0
T214,ojlimpsin(1),Ryan Gerard,T89,E,"-$50,000",Texas Children's Houston Open,29767.0
T214,ojlimpsin(3),Rickie Fowler,T89,E,"-$50,000",Texas Children's Houston Open,12965.0
T214,SRUSSO11(2),Ryan Gerard,T89,E,"-$50,000",Texas Children's Houston Open,29767.0
T214,ryanhojo22(3),Brooks Koepka,T116,+4,"-$50,000",Texas Children's Houston Open,16243.0
T214,Seanpins(3),Rickie Fowler,T89,E,"-$50,000",Texas Children's Houston Open,12965.0
T1,justinmacmahan(3),Nicolai Hojgaard,2,-16,"$1,079,100",Texas Children's Houston Open,23602.0
T1,teamlumpy(2),Nicolai Hojgaard,2,-16,"$1,079,100",Texas Children's Houston Open,23602.0
T1,driveroffthedeck(1),Nicolai Hojgaard,2,-16,"$1,079,100",Texas Children's Houston Open,23602.0
T1,trevoro5(1),Nicolai Hojgaard,2,-16,"$1,079,100",Texas Children's Houston Open,23602.0
T1,ParFiveCollective(1),Nicolai Hojgaard,2,-16,"$1,079,100",Texas Children's Houston Open,23602.0
T1,vinomar1(1),Nicolai Hojgaard,2,-16,"$1,079,100",Texas Children's Houston Open,23602.0
T1,reddy4primetime(1),Nicolai Hojgaard,2,-16,"$1,079,100",Texas Children's Houston Open,23602.0
T1,ericcronin(1),Nicolai Hojgaard,2,-16,"$1,079,100",Texas Children's Houston Open,23602.0
T1,evensteven(1),Nicolai Hojgaard,2,-16,"$1,079,100",Texas Children's Houston Open,23602.0
T11,norips(1),Min Woo Lee,T3,-15,"$584,100",Texas Children's Houston Open,16841.0
T11,sp10k(1),Min Woo Lee,T3,-15,"$584,100",Texas Children's Houston Open,16841.0
T11,rocklawson(1),Min Woo Lee,T3,-15,"$584,100",Texas Children's Houston Open,16841.0
T11,saturdaysfortheboys(1),Min Woo Lee,T3,-15,"$584,100",Texas Children's Houston Open,16841.0
T11,hatchattack(1),Min Woo Lee,T3,-15,"$584,100",Texas Children's Houston Open,16841.0
T11,oleboyroy14(3),Min Woo Lee,T3,-15,"$584,100",Texas Children's Houston Open,16841.0
T11,bakecityutah(1),Min Woo Lee,T3,-15,"$584,100",Texas Children's Houston Open,16841.0
