Rank,Username,Player,Position,Score,Earnings,Tournament,dg_id
T113,JoBuNeedsARefill1(3),Pierceson Coody,--,E,$0,The CJ Cup Byron Nelson,28309
T113,JoBuNeedsARefill1(5),Ryo Hisatsune,--,E,$0,The CJ Cup Byron Nelson,22760
T113,vinnyp15(1),Pierceson Coody,--,E,$0,The CJ Cup Byron Nelson,28309
T113,ryansutter(1),Jordan Spieth,--,E,$0,The CJ Cup Byron Nelson,14636
T113,jmac214(1),Jordan Spieth,--,E,$0,The CJ Cup Byron Nelson,14636
T113,jmac214(2),Jordan Spieth,--,E,$0,The CJ Cup Byron Nelson,14636
T113,evensteven(1),,--,--,$0,The CJ Cup Byron Nelson,0
T113,wsmithuva(1),Jordan Spieth,--,E,$0,The CJ Cup Byron Nelson,14636
T113,SPANKGAWD(1),Ryo Hisatsune,--,E,$0,The CJ Cup Byron Nelson,22760
T113,briancjo(1),Jordan Spieth,--,E,$0,The CJ Cup Byron Nelson,14636
T113,txyb(1),Pierceson Coody,--,E,$0,The CJ Cup Byron Nelson,28309
T113,Hamill-995(1),Davis Thompson,--,E,$0,The CJ Cup Byron Nelson,27364
T113,ojlimpsin(1),Hao-Tong Li,--,E,$0,The CJ Cup Byron Nelson,15310
T113,ojlimpsin(2),Jordan Spieth,--,E,$0,The CJ Cup Byron Nelson,14636
T113,ojlimpsin(4),Taylor Pendrith,--,E,$0,The CJ Cup Byron Nelson,17780
T113,ryanhojo22(3),Jordan Spieth,--,E,$0,The CJ Cup Byron Nelson,14636
T113,slickcowboy(1),Davis Thompson,--,E,$0,The CJ Cup Byron Nelson,27364
T113,Seanpins(4),Davis Thompson,--,E,$0,The CJ Cup Byron Nelson,27364
T113,krutches(1),Sungjae Im,--,E,$0,The CJ Cup Byron Nelson,17488
T113,tmt-hPz7(1),,--,--,$0,The CJ Cup Byron Nelson,0
T1,C-Alt24(1),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
T1,reeseyow(1),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
T1,rocklawson(1),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
T1,alcohballics(1),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
T1,nshall11(1),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
T1,justinmacmahan(4),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
T1,bozotits(1),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
T1,hatchattack(1),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
T1,oleboyroy14(2),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
T1,bakecityutah(1),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
T1,sofakinglong(1),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
T1,teamlumpy(1),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
T1,princetonians(1),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
T1,jjmcd(2),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
T1,nsolo(1),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
T1,teamneverrory(2),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
T1,etohacks(1),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
T1,slimedf(1),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
T1,OnePelican(1),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
T1,CamChamps(1),Brooks Koepka,2,-3,$0,The CJ Cup Byron Nelson,16243
