Rank,Username,Player,Position,Score,Earnings,Tournament,dg_id
T262,alcohballics(1),Maverick McNealy,T52,+1,"-$50,000",The Genesis Invitational,18634.0
T262,elhomanator(1),Jason Day,71,+5,"-$50,000",The Genesis Invitational,9771.0
T262,nshall11(1),Chris Gotterup,T63,+3,"-$50,000",The Genesis Invitational,27774.0
T262,justinmacmahan(2),Maverick McNealy,T52,+1,"-$50,000",The Genesis Invitational,18634.0
T262,teamlumpy(1),Sam Burns,T52,+1,"-$50,000",The Genesis Invitational,19483.0
T262,ShootersTour47(1),Chris Gotterup,T63,+3,"-$50,000",The Genesis Invitational,27774.0
T262,jakep0114(1),Russell Henley,T56,+2,"-$50,000",The Genesis Invitational,14578.0
T262,captainfch(1),Sam Burns,T52,+1,"-$50,000",The Genesis Invitational,19483.0
T262,Seanpins(2),Russell Henley,T56,+2,"-$50,000",The Genesis Invitational,14578.0
T262,BirdieKillers-231(1),Chris Gotterup,T63,+3,"-$50,000",The Genesis Invitational,27774.0
T262,meowmeow14(1),Chris Gotterup,T63,+3,"-$50,000",The Genesis Invitational,27774.0
T262,halliam1114(1),Russell Henley,T56,+2,"-$50,000",The Genesis Invitational,14578.0
T262,ojlimpsin(4),Chris Gotterup,T63,+3,"-$50,000",The Genesis Invitational,27774.0
T262,Seanpins(3),Sam Burns,T52,+1,"-$50,000",The Genesis Invitational,19483.0
T1,justinmacmahan(1),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,mnehme(1),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,bignasty500(1),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,cknost7(1),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,cypresspoint(1),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,scott_c_434(1),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,celijah(1),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,soonertrojan(1),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,ClemBen10(1),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,SRUSSO11(1),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,faustino8466(1),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,coolhandsun(1),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,tzentner(1),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,themeats1(1),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,fishbeinb(1),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,fishbeinb(2),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,cristalblanco(3),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,sportsrgood55(1),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,JoBuNeedsARefill1(1),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,vinnyp15(1),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,ojlimpsin(2),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T1,slickcowboy(1),Rory McIlroy,T2,-17,"$1,800,000",The Genesis Invitational,10091.0
T24,southwestswindlers(1),Adam Scott,4,-16,"$1,000,000",The Genesis Invitational,6430.0
T24,maggi(1),Adam Scott,4,-16,"$1,000,000",The Genesis Invitational,6430.0
T26,Seanpins(1),Jake Knapp,6,-13,"$760,000",The Genesis Invitational,19396.0
T26,mmercer19(1),Jake Knapp,6,-13,"$760,000",The Genesis Invitational,19396.0
T26,shadystrokes(1),Jake Knapp,6,-13,"$760,000",The Genesis Invitational,19396.0
T26,sofakinglong(1),Jake Knapp,6,-13,"$760,000",The Genesis Invitational,19396.0
T26,ghinitals(1),Jake Knapp,6,-13,"$760,000",The Genesis Invitational,19396.0
T26,BHART4(1),Jake Knapp,6,-13,"$760,000",The Genesis Invitational,19396.0
T26,gilmorehappy2(1),Jake Knapp,6,-13,"$760,000",The Genesis Invitational,19396.0
T26,gafftop(1),Jake Knapp,6,-13,"$760,000",The Genesis Invitational,19396.0
T34,royemunson(1),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,dak1616(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,TeamHammerck(1),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,norips(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,doublemax(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,teamneverrory(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,bonesesh(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,nelsonmonteith(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,burntpurple2024(1),Collin Morikawa,T7,-12,"$603,200",The Genesis Invitational,22085.0
T34,chippewa(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,saturdaysfortheboys(1),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,bozotits(1),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,dixie(1),Collin Morikawa,T7,-12,"$603,200",The Genesis Invitational,22085.0
T34,horton-conrey(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,boykinr(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,oleboyroy14(3),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,Squart(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,twoladsandanape(1),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,driveroffthedeck(1),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,kojack22(1),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,smokedogjr(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,cjlemoin(1),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,seekers3.0(1),Cameron Young,T7,-12,"$603,200",The Genesis Invitational,26651.0
T34,standardclub2025(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,jjmcd(2),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,kabusa80(1),Collin Morikawa,T7,-12,"$603,200",The Genesis Invitational,22085.0
T34,nsolo(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,paintshow(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,etohacks(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,jmac903(1),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,tsmiller3(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,dmicro(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,ParFiveCollective(1),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,jeffkevinma(1),Collin Morikawa,T7,-12,"$603,200",The Genesis Invitational,22085.0
T34,JCGATX(1),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,pgagolfcoach(1),Cameron Young,T7,-12,"$603,200",The Genesis Invitational,26651.0
T34,fluffy-bunny-feet(1),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,pmac22(1),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,OnePelican(1),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,Bezos(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,vinomar1(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,PottsLozier(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,McKenzie Scotts Tots(1),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,PrettySickChubbs(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,jordanwdavis(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,aaronlabrie15(1),Cameron Young,T7,-12,"$603,200",The Genesis Invitational,26651.0
T34,DKDKDKDK(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,vjgalati(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,Disgusting_Brothers(1),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,fishbeinb(5),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,KDEREGT(1),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,cristalblanco(2),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,zgreen157(1),Tommy Fleetwood,T7,-12,"$603,200",The Genesis Invitational,12294.0
T34,JoBuNeedsARefill1(4),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,arkadymosports(1),Xander Schauffele,T7,-12,"$603,200",The Genesis Invitational,19895.0
T34,ojlimpsin(1),Cameron Young,T7,-12,"$603,200",The Genesis Invitational,26651.0
