Rank,Username,Player,Position,Score,Earnings,Tournament,dg_id
T260,kabusa80(1),Jake Knapp,T74,+3,"-$55,556",The Players Championship,19396.0
T260,paulbearers(1),Jake Knapp,T74,+3,"-$55,556",The Players Championship,19396.0
T260,ranchdrawexpress(1),Jake Knapp,T74,+3,"-$55,556",The Players Championship,19396.0
T260,westover(1),Jake Knapp,T74,+3,"-$55,556",The Players Championship,19396.0
T260,FowlerPicks1(1),Jake Knapp,T74,+3,"-$55,556",The Players Championship,19396.0
T260,pbcbdb(1),Jake Knapp,T74,+3,"-$55,556",The Players Championship,19396.0
T260,KDEREGT(1),Shane Lowry,T92,+5,"-$55,556",The Players Championship,13900.0
T260,reddy4primetime(1),Shane Lowry,T92,+5,"-$55,556",The Players Championship,13900.0
T260,Seanpins(2),Shane Lowry,T92,+5,"-$55,556",The Players Championship,13900.0
T260,ericcronin(1),Jake Knapp,T74,+3,"-$55,556",The Players Championship,19396.0
T260,evensteven(1),Ben Griffin,T84,+4,"-$55,556",The Players Championship,24968.0
T260,Seanpins(3),Jake Knapp,T74,+3,"-$55,556",The Players Championship,19396.0
T260,krutches(1),Jake Knapp,T74,+3,"-$55,556",The Players Championship,19396.0
T260,Seanpins(5),Jake Knapp,T74,+3,"-$55,556",The Players Championship,19396.0
T1,justinmacmahan(5),Cameron Young,1,-13,"$5,000,000",The Players Championship,26651.0
T1,hatchattack(1),Cameron Young,1,-13,"$5,000,000",The Players Championship,26651.0
T1,kapantal(1),Cameron Young,1,-13,"$5,000,000",The Players Championship,26651.0
T1,cbhoskins(1),Cameron Young,1,-13,"$5,000,000",The Players Championship,26651.0
T1,tsmiller3(1),Cameron Young,1,-13,"$5,000,000",The Players Championship,26651.0
T1,gafftop(1),Cameron Young,1,-13,"$5,000,000",The Players Championship,26651.0
T1,DB730(1),Cameron Young,1,-13,"$5,000,000",The Players Championship,26651.0
T1,wsmithuva(1),Cameron Young,1,-13,"$5,000,000",The Players Championship,26651.0
10,ojlimpsin(5),Matt Fitzpatrick,2,-12,"$3,027,778",The Players Championship,17646.0
T11,birdie2double(1),Xander Schauffele,3,-11,"$1,916,667",The Players Championship,19895.0
T11,southtxam(1),Xander Schauffele,3,-11,"$1,916,667",The Players Championship,19895.0
T11,briangpark(1),Xander Schauffele,3,-11,"$1,916,667",The Players Championship,19895.0
T11,twssquad(1),Xander Schauffele,3,-11,"$1,916,667",The Players Championship,19895.0
T11,Huevos_Gigantes(1),Xander Schauffele,3,-11,"$1,916,667",The Players Championship,19895.0
T16,Seanpins(1),Robert MacIntyre,4,-10,"$1,361,111",The Players Championship,23323.0
T16,Seanpins(4),Robert MacIntyre,4,-10,"$1,361,111",The Players Championship,23323.0
T18,inone(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,cibogiii(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,69handicap(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,TeamHammerck(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,partyoffore(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,C-Alt24(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,wedgegame(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,mbschroeder1422(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,burntpurple2024(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,apriest25(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,justinmacmahan(4),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,dixie(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,ryanhojo22(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,jaeg(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,twoladsandanape(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,ricktavius(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,misterbanks(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,twincreeks(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,rickrungood(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,spitterw(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,warchild-dbkk(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,CLUBSWANGERS(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,CrazyPicks(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,etohacks(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,jmac903(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,kingspence(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,jeffkevinma(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,JCGATX(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,vinomar1(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,ding-Rx7V(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,kmilnerjr(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,moh888(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,DKDKDKDK(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,MJWinter(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,Disgusting_Brothers(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,cristalblanco(3),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,spiresh(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,JoBuNeedsARefill1(5),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,vinnyp15(1),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T18,SRUSSO11(2),Ludvig Aberg,T5,-9,"$1,027,778",The Players Championship,23950.0
T58,lundynuts(1),Tommy Fleetwood,T8,-8,"$812,500",The Players Championship,12294.0
