Rank,Username,Player,Position,Score,Earnings,Tournament,dg_id
T251,Bezos(1),Sepp Straka,T63,+3,"$41,250",Truist Championship,17511.0
T251,ding-Rx7V(1),Ben Griffin,T63,+3,"$41,250",Truist Championship,24968.0
T262,harrzard09(1),Si Woo Kim,T65,+4,"$40,250",Truist Championship,14609.0
T262,TeamHammerck(1),Si Woo Kim,T65,+4,"$40,250",Truist Championship,14609.0
T262,justinmacmahan(4),Si Woo Kim,T65,+4,"$40,250",Truist Championship,14609.0
T262,kapantal(1),Si Woo Kim,T65,+4,"$40,250",Truist Championship,14609.0
T262,ricktavius(1),Si Woo Kim,T65,+4,"$40,250",Truist Championship,14609.0
T262,CLUBSWANGERS(1),Si Woo Kim,T65,+4,"$40,250",Truist Championship,14609.0
T262,DalmatianNation(1),Si Woo Kim,T65,+4,"$40,250",Truist Championship,14609.0
T262,vinomar1(1),Si Woo Kim,T65,+4,"$40,250",Truist Championship,14609.0
T262,ClemBen10(1),Si Woo Kim,T65,+4,"$40,250",Truist Championship,14609.0
T262,coolhandsun(1),Si Woo Kim,T65,+4,"$40,250",Truist Championship,14609.0
T262,swingingbevos(1),Si Woo Kim,T65,+4,"$40,250",Truist Championship,14609.0
T262,fishbeinb(5),Si Woo Kim,T65,+4,"$40,250",Truist Championship,14609.0
T262,spiresh(1),Si Woo Kim,T65,+4,"$40,250",Truist Championship,14609.0
T262,JoBuNeedsARefill1(2),Si Woo Kim,T65,+4,"$40,250",Truist Championship,14609.0
T262,Hamill-995(1),Si Woo Kim,T65,+4,"$40,250",Truist Championship,14609.0
277,sportsrgood55(1),Hideki Matsuyama,71,+11,"$37,000",Truist Championship,13562.0
T278,Bear711(1),,--,--,$0,Truist Championship,
T278,tmt-hPz7(1),,--,--,$0,Truist Championship,
T1,oleboyroy14(2),Rickie Fowler,T2,-13,"$1,760,000",Truist Championship,12965.0
T1,RextheWonderdog(1),Rickie Fowler,T2,-13,"$1,760,000",Truist Championship,12965.0
T1,jjmcd(2),Rickie Fowler,T2,-13,"$1,760,000",Truist Championship,12965.0
T1,jdb3(1),Rickie Fowler,T2,-13,"$1,760,000",Truist Championship,12965.0
T6,treshermanas(1),J.J. Spaun,T5,-11,"$730,000",Truist Championship,17536.0
T6,mmmm(1),Tommy Fleetwood,T5,-11,"$730,000",Truist Championship,12294.0
T6,redsdandyal(1),Tommy Fleetwood,T5,-11,"$730,000",Truist Championship,12294.0
T6,hatchattack(1),Tommy Fleetwood,T5,-11,"$730,000",Truist Championship,12294.0
T6,jmac903(1),Tommy Fleetwood,T5,-11,"$730,000",Truist Championship,12294.0
T6,jeffkevinma(1),Tommy Fleetwood,T5,-11,"$730,000",Truist Championship,12294.0
T6,twssquad(1),Tommy Fleetwood,T5,-11,"$730,000",Truist Championship,12294.0
T6,MJWinter(1),Tommy Fleetwood,T5,-11,"$730,000",Truist Championship,12294.0
T6,themeats1(1),J.J. Spaun,T5,-11,"$730,000",Truist Championship,17536.0
T6,Disgusting_Brothers(1),Tommy Fleetwood,T5,-11,"$730,000",Truist Championship,12294.0
T6,fishbeinb(4),Tommy Fleetwood,T5,-11,"$730,000",Truist Championship,12294.0
T6,ojlimpsin(2),Tommy Fleetwood,T5,-11,"$730,000",Truist Championship,12294.0
T6,ojlimpsin(5),Tommy Fleetwood,T5,-11,"$730,000",Truist Championship,12294.0
T19,punchoutgamestrong(1),Ludvig Aberg,T8,-10,"$600,000",Truist Championship,23950.0
T19,bogeybros101(1),Ludvig Aberg,T8,-10,"$600,000",Truist Championship,23950.0
T19,ogsandbaggers(1),Ludvig Aberg,T8,-10,"$600,000",Truist Championship,23950.0
T19,nshall11(1),Ludvig Aberg,T8,-10,"$600,000",Truist Championship,23950.0
