Username,Rank,Player,Position,Score,Earnings,Tournament,dg_id
jjwooly(1),T165,Jordan L. Smith,T87,E,"-$50,000",Valero Texas Open,
thehun73(1),T165,Sepp Straka,T87,E,"-$50,000",Valero Texas Open,17511.0
meowmeow14(1),T165,Sepp Straka,T87,E,"-$50,000",Valero Texas Open,17511.0
JoBuNeedsARefill1(1),T165,Keith Mitchell,T71,-1,"-$50,000",Valero Texas Open,17365.0
JoBuNeedsARefill1(2),T165,Sepp Straka,T87,E,"-$50,000",Valero Texas Open,17511.0
JoBuNeedsARefill1(3),T165,Denny McCarthy,T71,-1,"-$50,000",Valero Texas Open,19870.0
jmac214(1),T165,Keith Mitchell,T71,-1,"-$50,000",Valero Texas Open,17365.0
evensteven(1),T165,Sepp Straka,T87,E,"-$50,000",Valero Texas Open,17511.0
wsmithuva(1),T165,Sepp Straka,T87,E,"-$50,000",Valero Texas Open,17511.0
bmorebri(1),T165,Max McGreevy,T71,-1,"-$50,000",Valero Texas Open,23505.0
ojlimpsin(1),T165,Rickie Fowler,T104,+1,"-$50,000",Valero Texas Open,12965.0
ojlimpsin(2),T165,Sepp Straka,T87,E,"-$50,000",Valero Texas Open,17511.0
SRUSSO11(2),T165,Sepp Straka,T87,E,"-$50,000",Valero Texas Open,17511.0
Seanpins(3),T165,Russell Henley,T71,-1,"-$50,000",Valero Texas Open,14578.0
justinmacmahan(4),T1,J.J. Spaun,1,-17,"$1,764,000",Valero Texas Open,17536.0
fishbeinb(4),T1,J.J. Spaun,1,-17,"$1,764,000",Valero Texas Open,17536.0
ojlimpsin(4),T1,J.J. Spaun,1,-17,"$1,764,000",Valero Texas Open,17536.0
aceinthehole59(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
norips(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
C-Alt24(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
rocklawson(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
nelsonmonteith(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
burntpurple2024(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
4dudes1club(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
alcohballics(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
pdtgolf(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
jjmcd(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
RextheWonderdog(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
CLUBSWANGERS(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
tsmiller3(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
dalefm12(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
ranchdrawexpress(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
twssquad(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
McKenzie Scotts Tots(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
aaronlabrie15(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
hammers_2(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
syndicuttx(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
shope24(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
themeats1(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
Disgusting_Brothers(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
rogerg09(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
Whale20c19b39(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
JoBuNeedsARefill1(4),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
ryansutter(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
briancjo(1),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
ryanhojo22(3),T5,Robert MacIntyre,T2,-16,"$741,533",Valero Texas Open,23323.0
royemunson(1),T34,Ludvig Aberg,T5,-15,"$378,525",Valero Texas Open,23950.0
elliottperry(1),T34,Ludvig Aberg,T5,-15,"$378,525",Valero Texas Open,23950.0
chippewa(1),T34,Ludvig Aberg,T5,-15,"$378,525",Valero Texas Open,23950.0
ojlimpsin(5),T34,Ludvig Aberg,T5,-15,"$378,525",Valero Texas Open,23950.0
southwestswindlers(1),T38,Ryo Hisatsune,T8,-13,"$296,450",Valero Texas Open,22760.0
justinmacmahan(1),T38,Ryo Hisatsune,T8,-13,"$296,450",Valero Texas Open,22760.0
redsdandyal(1),T38,Ryo Hisatsune,T8,-13,"$296,450",Valero Texas Open,22760.0
dixie(1),T38,Ryo Hisatsune,T8,-13,"$296,450",Valero Texas Open,22760.0
princetonians(1),T38,Ryo Hisatsune,T8,-13,"$296,450",Valero Texas Open,22760.0
seekers3.0(1),T38,Ryo Hisatsune,T8,-13,"$296,450",Valero Texas Open,22760.0
ghinitals(1),T38,Ryo Hisatsune,T8,-13,"$296,450",Valero Texas Open,22760.0
teamneverrory(2),T38,Ryo Hisatsune,T8,-13,"$296,450",Valero Texas Open,22760.0
