Rank,Username,Player,Position,Score,Earnings,Tournament,dg_id
T220,Seanpins(2),Nick Taylor,T94,+4,"-$50,000",Valspar Championship,13126.0
T220,Lugers-Bacon(1),Sahith Theegala,T115,+7,"-$50,000",Valspar Championship,23014.0
T220,spiresh(1),Viktor Hovland,T85,+3,"-$50,000",Valspar Championship,18841.0
T220,zgreen157(1),Viktor Hovland,T85,+3,"-$50,000",Valspar Championship,18841.0
T220,jjwooly(1),Sahith Theegala,T115,+7,"-$50,000",Valspar Championship,23014.0
T220,thehun73(1),Viktor Hovland,T85,+3,"-$50,000",Valspar Championship,18841.0
T220,ryanhojo22(2),Max Homa,T130,+10,"-$50,000",Valspar Championship,17538.0
T220,meowmeow14(1),J.J. Spaun,T107,+6,"-$50,000",Valspar Championship,17536.0
T220,JoBuNeedsARefill1(2),Viktor Hovland,T85,+3,"-$50,000",Valspar Championship,18841.0
T220,JoBuNeedsARefill1(5),Sahith Theegala,T115,+7,"-$50,000",Valspar Championship,23014.0
T220,halliam1114(1),Sahith Theegala,T115,+7,"-$50,000",Valspar Championship,23014.0
T220,arkadymosports(1),Viktor Hovland,T85,+3,"-$50,000",Valspar Championship,18841.0
T220,ojlimpsin(5),Viktor Hovland,T85,+3,"-$50,000",Valspar Championship,18841.0
T220,Seanpins(5),Sahith Theegala,T115,+7,"-$50,000",Valspar Championship,23014.0
T1,bonesesh(1),Matt Fitzpatrick,1,-11,"$1,638,000",Valspar Championship,17646.0
T1,Seanpins(1),Matt Fitzpatrick,1,-11,"$1,638,000",Valspar Championship,17646.0
T1,rochman77(1),Matt Fitzpatrick,1,-11,"$1,638,000",Valspar Championship,17646.0
T1,twincreeks(1),Matt Fitzpatrick,1,-11,"$1,638,000",Valspar Championship,17646.0
T1,Npouj23(1),Matt Fitzpatrick,1,-11,"$1,638,000",Valspar Championship,17646.0
T1,paintshow(1),Matt Fitzpatrick,1,-11,"$1,638,000",Valspar Championship,17646.0
T1,jeffkevinma(1),Matt Fitzpatrick,1,-11,"$1,638,000",Valspar Championship,17646.0
T1,hammers_2(1),Matt Fitzpatrick,1,-11,"$1,638,000",Valspar Championship,17646.0
T1,Party-like-a-Cocksta(1),Matt Fitzpatrick,1,-11,"$1,638,000",Valspar Championship,17646.0
T1,agrumney(1),Matt Fitzpatrick,1,-11,"$1,638,000",Valspar Championship,17646.0
T1,ericcronin(1),Matt Fitzpatrick,1,-11,"$1,638,000",Valspar Championship,17646.0
T13,alcohballics(1),Xander Schauffele,T4,-8,"$382,958",Valspar Championship,19895.0
T13,bignasty500(1),Xander Schauffele,T4,-8,"$382,958",Valspar Championship,19895.0
T13,AcheeChee(1),Xander Schauffele,T4,-8,"$382,958",Valspar Championship,19895.0
T13,pgagolfcoach(1),Xander Schauffele,T4,-8,"$382,958",Valspar Championship,19895.0
T13,gilmorehappy2(1),Xander Schauffele,T4,-8,"$382,958",Valspar Championship,19895.0
T13,coolhandsun(1),Xander Schauffele,T4,-8,"$382,958",Valspar Championship,19895.0
T13,ojlimpsin(2),Xander Schauffele,T4,-8,"$382,958",Valspar Championship,19895.0
T20,justinmacmahan(5),Patrick Cantlay,T7,-7,"$276,413",Valspar Championship,15466.0
T20,mhgilber(1),Patrick Cantlay,T7,-7,"$276,413",Valspar Championship,15466.0
T20,ConOs(1),Patrick Cantlay,T7,-7,"$276,413",Valspar Championship,15466.0
T20,EDELL21(1),Patrick Cantlay,T7,-7,"$276,413",Valspar Championship,15466.0
T20,JoBuNeedsARefill1(1),Patrick Cantlay,T7,-7,"$276,413",Valspar Championship,15466.0
T25,mmmm(1),Jordan Spieth,T11,-6,"$211,575",Valspar Championship,14636.0
T25,Alexwoody(1),Jordan Spieth,T11,-6,"$211,575",Valspar Championship,14636.0
T25,teamlumpy(1),Jordan Spieth,T11,-6,"$211,575",Valspar Championship,14636.0
T25,princetonians(1),Jordan Spieth,T11,-6,"$211,575",Valspar Championship,14636.0
T25,smokedogjr(1),Jordan Spieth,T11,-6,"$211,575",Valspar Championship,14636.0
T25,himile(1),Jordan Spieth,T11,-6,"$211,575",Valspar Championship,14636.0
T25,leschaef(1),Jordan Spieth,T11,-6,"$211,575",Valspar Championship,14636.0
T25,skipperjenkins(1),Jordan Spieth,T11,-6,"$211,575",Valspar Championship,14636.0
T25,ranchdrawexpress(1),Jordan Spieth,T11,-6,"$211,575",Valspar Championship,14636.0
