Rank,Username,Player,Position,Score,Earnings,Tournament,dg_id
T255,maggi(1),Jordan Spieth,T95,+3,"-$50,000",WM Phoenix Open,14636.0
T255,Tanks4Nuttin(1),Matthew McCarty,T86,+2,"-$50,000",WM Phoenix Open,28635.0
T255,gafftop(1),Hao-Tong Li,T95,+3,"-$50,000",WM Phoenix Open,15310.0
T255,SUND(1),Jordan Spieth,T95,+3,"-$50,000",WM Phoenix Open,14636.0
T255,btfd(1),Jordan Spieth,T95,+3,"-$50,000",WM Phoenix Open,14636.0
T255,amarouni(1),Sam Burns,T110,+5,"-$50,000",WM Phoenix Open,19483.0
T255,chuckspicks(2),Matthew McCarty,T86,+2,"-$50,000",WM Phoenix Open,28635.0
T255,reddy4primetime(1),Jordan Spieth,T95,+3,"-$50,000",WM Phoenix Open,14636.0
T255,cristalblanco(5),Brooks Koepka,T86,+2,"-$50,000",WM Phoenix Open,16243.0
T255,ericcronin(1),Corey Conners,T86,+2,"-$50,000",WM Phoenix Open,17576.0
T255,meowmeow14(1),Sam Burns,T110,+5,"-$50,000",WM Phoenix Open,19483.0
T255,halliam1114(1),Brooks Koepka,T86,+2,"-$50,000",WM Phoenix Open,16243.0
T255,bmorebri(1),Jordan Spieth,T95,+3,"-$50,000",WM Phoenix Open,14636.0
T255,ojlimpsin(5),Jordan Spieth,T95,+3,"-$50,000",WM Phoenix Open,14636.0
T1,engemania(1),Chris Gotterup,1,-16,"$1,728,000",WM Phoenix Open,27774.0
T1,justinmacmahan(1),Chris Gotterup,1,-16,"$1,728,000",WM Phoenix Open,27774.0
T1,dixie(1),Chris Gotterup,1,-16,"$1,728,000",WM Phoenix Open,27774.0
T1,cookiemonsterz(1),Chris Gotterup,1,-16,"$1,728,000",WM Phoenix Open,27774.0
T1,teamneverrory(2),Chris Gotterup,1,-16,"$1,728,000",WM Phoenix Open,27774.0
T1,CrazyPicks(1),Chris Gotterup,1,-16,"$1,728,000",WM Phoenix Open,27774.0
T1,jmac903(2),Chris Gotterup,1,-16,"$1,728,000",WM Phoenix Open,27774.0
T1,ParFiveCollective(1),Chris Gotterup,1,-16,"$1,728,000",WM Phoenix Open,27774.0
T1,westover(1),Chris Gotterup,1,-16,"$1,728,000",WM Phoenix Open,27774.0
T1,DKDKDKDK(1),Chris Gotterup,1,-16,"$1,728,000",WM Phoenix Open,27774.0
T1,fishbeinb(4),Chris Gotterup,1,-16,"$1,728,000",WM Phoenix Open,27774.0
T1,fishbeinb(5),Chris Gotterup,1,-16,"$1,728,000",WM Phoenix Open,27774.0
T1,cristalblanco(3),Chris Gotterup,1,-16,"$1,728,000",WM Phoenix Open,27774.0
T1,JoBuNeedsARefill1(2),Chris Gotterup,1,-16,"$1,728,000",WM Phoenix Open,27774.0
T1,ojlimpsin(3),Chris Gotterup,1,-16,"$1,728,000",WM Phoenix Open,27774.0
T1,krutches(1),Chris Gotterup,1,-16,"$1,728,000",WM Phoenix Open,27774.0
T18,punchoutgamestrong(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,lundynuts(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,sp10k(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,southwestswindlers(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,nelsonmonteith(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,shut-spar-4914(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,4dudes1club(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,bignasty500(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,oleboyroy14(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,cknost7(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,kapantal(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,thumbsup(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,smokedogjr(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,jjmcd(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,ghinitals(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,nsolo(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,presswhenyourpissed(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,soonertrojan(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,BHART4(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,zimmbroom(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,twssquad(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,alexellis9(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,jdb3(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,pbcbdb(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,vjgalati(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,themeats1(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,810ofclubs(1),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,Seanpins(2),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,ryanhojo22(3),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T18,Seanpins(4),Hideki Matsuyama,2,-16,"$1,046,400",WM Phoenix Open,13562.0
T48,dak1616(1),Si Woo Kim,T3,-15,"$439,680",WM Phoenix Open,14609.0
T48,inone(1),Si Woo Kim,T3,-15,"$439,680",WM Phoenix Open,14609.0
T48,pickles(1),Si Woo Kim,T3,-15,"$439,680",WM Phoenix Open,14609.0
T48,bogeybros101(1),Si Woo Kim,T3,-15,"$439,680",WM Phoenix Open,14609.0
T48,partyoffore(1),Si Woo Kim,T3,-15,"$439,680",WM Phoenix Open,14609.0
T48,C-Alt24(1),Si Woo Kim,T3,-15,"$439,680",WM Phoenix Open,14609.0
T48,bonesesh(1),Si Woo Kim,T3,-15,"$439,680",WM Phoenix Open,14609.0
T48,dawgsattheturn(1),Si Woo Kim,T3,-15,"$439,680",WM Phoenix Open,14609.0
T48,chbj(1),Si Woo Kim,T3,-15,"$439,680",WM Phoenix Open,14609.0
T48,Seanpins(1),Si Woo Kim,T3,-15,"$439,680",WM Phoenix Open,14609.0
T48,burntpurple2024(1),Si Woo Kim,T3,-15,"$439,680",WM Phoenix Open,14609.0
T48,chippewa(1),Si Woo Kim,T3,-15,"$439,680",WM Phoenix Open,14609.0
T48,givemeadouble(1),Si Woo Kim,T3,-15,"$439,680",WM Phoenix Open,14609.0
T48,justinmacmahan(5),Si Woo Kim,T3,-15,"$439,680",WM Phoenix Open,14609.0
T48,mmercer19(1),Si Woo Kim,T3,-15,"$439,680",WM Phoenix Open,14609.0
