PLAYER,Place,EARNINGS,PLACE,_username
briancjo(1),3,18679535,1,briancjo
krutches(1),2,17422537,2,krutches
soonertrojan(1),8,15997908,3,soonertrojan
fishbeinb(5),0,15203022,4,fishbeinb
thehun73(1),5,14668401,5,thehun73
rochman77(1),20,13480751,6,rochman77
tsmiller3(1),6,13236681,7,tsmiller3
JoBuNeedsARefill1(4),18,12390240,8,jobuneedsarefill1
ryanhojo22(1),42,12376352,9,ryanhojo22
kapantal(1),4,12345614,10,kapantal
justinmacmahan(5),7,12279680,11,justinmacmahan
TeamHammerck(1),17,11902977,12,teamhammerck
warchild-dbkk(1),26,11486658,13,warchild-dbkk
justinmacmahan(1),61,11449857,14,justinmacmahan
oleboyroy14(1),21,11410137,15,oleboyroy14
Huevos_Gigantes(1),37,11075910,16,huevos_gigantes
nelsonmonteith(1),40,10738574,17,nelsonmonteith
fishbeinb(4),64,10438886,18,fishbeinb
cookiemonsterz(1),54,10310644,19,cookiemonsterz
fluffy-bunny-feet(1),55,10249964,20,fluffy-bunny-feet
FowlerPicks1(1),65,10019114,21,fowlerpicks1
mdlyons91(1),111,9981888,22,mdlyons91
bignasty500(1),39,9961527,23,bignasty500
sportsrgood55(1),68,9933955,24,sportsrgood55
jjmcd(1),38,9905827,25,jjmcd
pstephens2315(1),67,9864747,26,pstephens2315
tzentner(1),10,9780583,27,tzentner
twssquad(1),9,9577967,28,twssquad
captainfch(1),88,9486304,29,captainfch
kojack22(1),76,9464478,30,kojack22
southtxam(1),74,9419151,31,southtxam
jeffkevinma(1),105,9278019,32,jeffkevinma
rogerg09(1),13,9200746,33,rogerg09
lucky_darts2(1),52,9005895,34,lucky_darts2
paintshow(1),107,8903858,35,paintshow
teamneverrory(2),102,8782542,36,teamneverrory
bogeybros101(1),16,8780142,37,bogeybros101
BHART4(1),23,8688198,38,bhart4
cristalblanco(4),71,8680770,39,cristalblanco
lundynuts(1),11,8572205,40,lundynuts
gafftop(1),24,8529143,41,gafftop
shadystrokes(1),83,8506258,42,shadystrokes
McKenzie Scotts Tots(1),60,8474357,43,mckenzie scotts tots
wsmithuva(1),15,8470635,44,wsmithuva
sp10k(1),136,8457304,45,sp10k
hatchattack(1),25,8449724,46,hatchattack
kabusa80(1),103,8423163,47,kabusa80
cbhoskins(1),19,8390272,48,cbhoskins
CrazyPicks(1),114,8346695,49,crazypicks
princetonians(1),12,8261037,50,princetonians
burntpurple2024(1),122,8202584,51,burntpurple2024
elhomanator(1),235,8193030,52,elhomanator
Seanpins(4),133,8167106,53,seanpins
ogsandbaggers(1),155,8150705,54,ogsandbaggers
nshall11(1),93,8144987,55,nshall11
coolhandsun(1),85,8070103,56,coolhandsun
DKDKDKDK(1),22,8067100,57,dkdkdkdk
adblanke(1),87,8013906,58,adblanke
DB730(1),43,7999304,59,db730
jaeg(1),30,7968141,60,jaeg
SRUSSO11(1),27,7944613,61,srusso11
Seanpins(1),14,7904974,62,seanpins
slickcowboy(1),94,7833127,63,slickcowboy
evanharris11(1),170,7825729,64,evanharris11
horton-conrey(1),109,7818467,65,horton-conrey
chuckspicks(1),69,7796244,66,chuckspicks
CamChamps(1),137,7785861,67,camchamps
swingingbevos(1),98,7768747,68,swingingbevos
SUND(1),36,7724594,69,sund
tevez(1),115,7707050,70,tevez
dalefm12(1),134,7639680,71,dalefm12
bonesesh(1),33,7536861,72,bonesesh
celijah(1),106,7466954,73,celijah
twincreeks(1),126,7364680,74,twincreeks
westover(1),28,7336835,75,westover
cknost7(1),89,7333385,76,cknost7
shl1996(1),79,7275927,77,shl1996
mnehme(1),104,7265348,78,mnehme
faustino8466(1),31,7252954,79,faustino8466
inone(1),151,7250691,80,inone
driveroffthedeck(1),46,7244499,81,driveroffthedeck
cypresspoint(1),154,7228670,82,cypresspoint
bozotits(1),192,7225369,83,bozotits
OnePelican(1),117,7199234,84,onepelican
C-Alt24(1),34,7182727,85,c-alt24
presswhenyourpissed(1),41,7173178,86,presswhenyourpissed
dixie(1),29,7130494,87,dixie
nsolo(1),128,7097732,88,nsolo
ojlimpsin(3),51,7092783,89,ojlimpsin
ryanhojo22(2),47,7088356,90,ryanhojo22
hammers_2(1),147,7063472,91,hammers_2
ojlimpsin(4),121,7024490,92,ojlimpsin
leschaef(1),232,7012938,93,leschaef
mhgilber(1),44,6999244,94,mhgilber
nathanzucker(1),96,6943667,95,nathanzucker
trevoro5(2),173,6908520,96,trevoro5
birdie2double(1),148,6892298,97,birdie2double
69handicap(1),101,6879011,98,69handicap
4dudes1club(1),92,6862918,99,4dudes1club
miloscf(1),231,6860171,100,miloscf
Whale20c19b39(1),56,6814986,101,whale20c19b39
fishbeinb(1),57,6813912,102,fishbeinb
teamlumpy(1),45,6778398,103,teamlumpy
jmac214(2),197,6741615,104,jmac214
themeats1(1),48,6688586,105,themeats1
vinomar1(1),127,6664043,106,vinomar1
boykinr(1),204,6618822,107,boykinr
bakecityutah(1),234,6614395,108,bakecityutah
cristalblanco(3),32,6582158,109,cristalblanco
thumbsup(1),190,6581386,110,thumbsup
redsdandyal(1),50,6578622,111,redsdandyal
jmac903(1),49,6562112,112,jmac903
ericcronin(1),35,6466943,113,ericcronin
standardclub2025(1),244,6440147,114,standardclub2025
chbj(1),221,6403108,115,chbj
ojlimpsin(5),58,6369616,116,ojlimpsin
MJWinter(1),78,6355363,117,mjwinter
agrumney(1),167,6310486,118,agrumney
mbschroeder1422(1),224,6163704,119,mbschroeder1422
BirdieKillers-231(1),63,6154165,120,birdiekillers-231
btfd(1),141,6145986,121,btfd
ojlimpsin(2),95,6118460,122,ojlimpsin
Squart(1),70,6098087,123,squart
jmac903(2),80,6079675,124,jmac903
oleboyroy14(2),241,6064897,125,oleboyroy14
fishbeinb(2),82,6040405,126,fishbeinb
PottsLozier(1),236,6023180,127,pottslozier
smokedogjr(1),132,6015416,128,smokedogjr
vinnyp15(1),112,5990669,129,vinnyp15
coleman8689(1),251,5961819,130,coleman8689
SPANKGAWD(1),242,5950177,131,spankgawd
jmac214(1),261,5907758,132,jmac214
RextheWonderdog(1),162,5907004,133,rexthewonderdog
scott_c_434(1),66,5899258,134,scott_c_434
alexellis9(1),205,5852033,135,alexellis9
twoladsandanape(1),53,5820958,136,twoladsandanape
ParFiveCollective(1),59,5781298,137,parfivecollective
etohacks(1),145,5753802,138,etohacks
reddy4primetime(1),73,5716489,139,reddy4primetime
shope24(1),187,5568934,140,shope24
sofakinglong(1),225,5565198,141,sofakinglong
JoBuNeedsARefill1(2),62,5542797,142,jobuneedsarefill1
oleboyroy14(3),185,5457468,143,oleboyroy14
saturdaysfortheboys(2),174,5407161,144,saturdaysfortheboys
teamneverrory(1),164,5381898,145,teamneverrory
cjlemoin(1),186,5363128,146,cjlemoin
briangpark(1),99,5361141,147,briangpark
amarouni(1),193,5312229,148,amarouni
HIGH-HOLY-DAYS(1),100,5305720,149,high-holy-days
samjmcki96(1),215,5231639,150,samjmcki96
jdb3(1),171,5227166,151,jdb3
jrdzik(1),72,5173565,152,jrdzik
norips(1),81,5151520,153,norips
pbcbdb(1),177,5135585,154,pbcbdb
puttnuts(1),120,5105932,155,puttnuts
maggi(1),91,5104866,156,maggi
ryanhojo22(3),84,5012109,157,ryanhojo22
rickrungood(1),77,5010437,158,rickrungood
ding-Rx7V(1),182,4988876,159,ding-rx7v
gilmorehappy2(1),183,4948631,160,gilmorehappy2
justinmacmahan(4),75,4899039,161,justinmacmahan
ConOs(1),206,4801065,162,conos
vjgalati(1),129,4740594,163,vjgalati
moh888(1),123,4723417,164,moh888
jjmcd(2),199,4714334,165,jjmcd
Npouj23(1),86,4657452,166,npouj23
cristalblanco(2),142,4638031,167,cristalblanco
doublemax(1),90,4613337,168,doublemax
JoBuNeedsARefill1(1),118,4582150,169,jobuneedsarefill1
westonstanley(1),271,4557249,170,westonstanley
cibogiii(1),212,4522363,171,cibogiii
Party-like-a-Cocksta(1),138,4493005,172,party-like-a-cocksta
steviejanowski(1),110,4466370,173,steviejanowski
AcheeChee(1),97,4459794,174,acheechee
apriest25(1),240,4399782,175,apriest25
jakep0114(1),214,4386640,176,jakep0114
PrettySickChubbs(1),116,4382058,177,prettysickchubbs
southwestswindlers(1),157,4362124,178,southwestswindlers
mmmm(1),176,4356533,179,mmmm
philsbookie(1),274,4318115,180,philsbookie
kmilnerjr(1),113,4268410,181,kmilnerjr
pdtgolf(1),135,4261005,182,pdtgolf
slimedf(1),209,4242132,183,slimedf
kingspence(1),108,4205449,184,kingspence
DDFs(1),153,4178449,185,ddfs
justinmacmahan(3),156,4175169,186,justinmacmahan
bmorebri(1),150,4070035,187,bmorebri
arkadymosports(1),159,4055040,188,arkadymosports
SRUSSO11(2),140,4050097,189,srusso11
spitterw(1),119,4042995,190,spitterw
rgsawyer(1),210,3951386,191,rgsawyer
Disgusting_Brothers(1),146,3905096,192,disgusting_brothers
JCGATX(1),139,3893017,193,jcgatx
Bezos(1),257,3850817,194,bezos
syndicuttx(1),196,3836088,195,syndicuttx
punchoutgamestrong(1),158,3822025,196,punchoutgamestrong
wedgegame(1),125,3802822,197,wedgegame
treshermanas(1),168,3797325,198,treshermanas
dechambros(1),169,3763690,199,dechambros
dacdegens(1),260,3742906,200,dacdegens
ClemBen10(1),124,3711073,201,clemben10
teamlumpy(2),201,3710934,202,teamlumpy
meowmeow14(1),144,3702499,203,meowmeow14
himile(1),131,3642006,204,himile
CLUBSWANGERS(1),130,3601310,205,clubswangers
ryansutter(1),143,3561008,206,ryansutter
cheekbusters(1),270,3530788,207,cheekbusters
trevoro5(1),179,3523150,208,trevoro5
aaronlabrie15(1),165,3515597,209,aaronlabrie15
chippewa(1),161,3463746,210,chippewa
rocklawson(1),203,3426431,211,rocklawson
jordanwdavis(1),180,3412325,212,jordanwdavis
broosth(1),211,3408313,213,broosth
ranchdrawexpress(1),163,3399236,214,ranchdrawexpress
ShootersTour47(1),275,3374283,215,shooterstour47
ricktavius(1),149,3305875,216,ricktavius
reeseyow(1),229,3286739,217,reeseyow
alcohballics(1),191,3268513,218,alcohballics
dk38(1),188,3232134,219,dk38
ojlimpsin(1),230,3218317,220,ojlimpsin
dmicro(1),178,3212654,221,dmicro
aceinthehole59(1),152,3170778,222,aceinthehole59
Alexwoody(1),181,3133603,223,alexwoody
licencedtoill(1),202,3128965,224,licencedtoill
saturdaysfortheboys(1),184,3060422,225,saturdaysfortheboys
mmercer19(1),189,3056171,226,mmercer19
ghinitals(1),160,3010761,227,ghinitals
halliam1114(1),239,3004460,228,halliam1114
pgagolfcoach(1),200,3001111,229,pgagolfcoach
misterbanks(1),220,2969683,230,misterbanks
zimmbroom(1),166,2963196,231,zimmbroom
dak1616(1),172,2903636,232,dak1616
spiresh(1),228,2874241,233,spiresh
partyoffore(1),222,2832224,234,partyoffore
Hookemtt(1),252,2822558,235,hookemtt
paulbearers(1),258,2817400,236,paulbearers
Seanpins(5),243,2795478,237,seanpins
KDEREGT(1),247,2795304,238,kderegt
jjwooly(1),238,2781309,239,jjwooly
JoBuNeedsARefill1(5),198,2751414,240,jobuneedsarefill1
elliottperry(1),175,2733250,241,elliottperry
fishbeinb(3),272,2720436,242,fishbeinb
