. so just Place,Player,Earnings
"179","trevoro5(1)","$2,571,439"
"180","jordanwdavis(1)","$2,570,058"
"181","Alexwoody(1)","$2,555,344"
"182","ding-Rx7V(1)","$2,503,182"
"183","gilmorehappy2(1)","$2,500,209"
"184","saturdaysfortheboys(1)","$2,481,094"
"185","oleboyroy14(3)","$2,467,024"
"186","cjlemoin(1)","$2,466,769"
"187","shope24(1)","$2,452,308"
"188","dk38(1)","$2,449,775"
"189","mmercer19(1)","$2,447,230"
"190","thumbsup(1)","$2,444,627"
"191","alcohballics(1)","$2,438,824"
"192","bozotits(1)","$2,436,730"
"193","amarouni(1)","$2,436,683"
"194","whereismygapwedge(1)","$2,426,757"
"195","810ofclubs(1)","$2,423,259"
"196","syndicuttx(1)","$2,409,037"
"197","jmac214(2)","$2,405,256"
"198","JoBuNeedsARefill1(5)","$2,388,037"
"199","jjmcd(2)","$2,387,893"
"200","pgagolfcoach(1)","$2,352,482"
"201","teamlumpy(2)","$2,347,508"
"202","licencedtoill(1)","$2,301,549"
"203","rocklawson(1)","$2,282,980"
"2","krutches(1)","$12,636,586"
"3","briancjo(1)","$12,592,591"
"4","kapantal(1)","$11,369,971"
"5","thehun73(1)","$11,093,652"
"6","tsmiller3(1)","$10,677,555"
"7","justinmacmahan(5)","$9,945,331"
"8","soonertrojan(1)","$9,353,464"
"9","twssquad(1)","$8,605,700"
"10","tzentner(1)","$8,522,450"
"11","lundynuts(1)","$8,087,838"
"12","princetonians(1)","$7,976,270"
"13","rogerg09(1)","$7,743,013"
"14","Seanpins(1)","$7,714,191"
"15","wsmithuva(1)","$7,662,094"
"16","bogeybros101(1)","$7,613,701"
"17","TeamHammerck(1)","$7,399,516"
"18","JoBuNeedsARefill1(4)","$7,327,029"
"19","cbhoskins(1)","$7,296,013"
"20","rochman77(1)","$7,279,664"
"21","oleboyroy14(1)","$7,273,378"
"22","DKDKDKDK(1)","$7,269,741"
"23","BHART4(1)","$7,193,939"
"24","gafftop(1)","$7,156,867"
"25","hatchattack(1)","$7,153,283"
"26","warchild-dbkk(1)","$7,150,299"
"27","SRUSSO11(1)","$7,070,687"
"28","westover(1)","$6,948,869"
"29","dixie(1)","$6,911,645"
"30","jaeg(1)","$6,901,700"
"31","faustino8466(1)","$6,802,550"
"32","cristalblanco(3)","$6,565,909"
"33","bonesesh(1)","$6,517,007"
"34","C-Alt24(1)","$6,508,378"
"35","ericcronin(1)","$6,450,694"
"36","SUND(1)","$6,429,201"
"37","Huevos_Gigantes(1)","$6,381,651"
"38","jjmcd(1)","$6,331,078"
"39","bignasty500(1)","$6,272,635"
"40","nelsonmonteith(1)","$6,232,863"
"41","presswhenyourpissed(1)","$6,195,285"
"42","ryanhojo22(1)","$6,089,808"
"43","DB730(1)","$6,078,378"
"44","mhgilber(1)","$6,045,033"
"45","teamlumpy(1)","$6,023,769"
"46","driveroffthedeck(1)","$5,898,405"
"47","ryanhojo22(2)","$5,853,905"
"48","themeats1(1)","$5,846,813"
"49","jmac903(1)","$5,827,681"
"50","redsdandyal(1)","$5,738,900"
"51","ojlimpsin(3)","$5,665,732"
"52","lucky_darts2(1)","$5,659,944"
"53","twoladsandanape(1)","$5,659,884"
"54","cookiemonsterz(1)","$5,605,333"
"55","fluffy-bunny-feet(1)","$5,555,705"
"56","Whale20c19b39(1)","$5,545,775"
"57","fishbeinb(1)","$5,454,996"
"58","ojlimpsin(5)","$5,446,767"
"59","ParFiveCollective(1)","$5,416,867"
"60","McKenzie Scotts Tots(1)","$5,388,413"
"61","justinmacmahan(1)","$5,360,225"
"62","JoBuNeedsARefill1(2)","$5,323,582"
"63","BirdieKillers-231(1)","$5,250,663"
"64","fishbeinb(4)","$5,245,675"
"65","FowlerPicks1(1)","$5,233,163"
"66","scott_c_434(1)","$5,176,174"
