USER,TOURNAMENT,PICK,EARNINGS
bignasty500 (1),The Players Championship,S. Scheffler,301389
bignasty500 (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
bignasty500 (1),Cognizant Classic,S. Lowry,726400
bignasty500 (1),The Genesis Invitational,R. McIlroy,1800000
bignasty500 (1),AT&T Pebble Beach Pro-Am,R. Henley,235000
bignasty500 (1),WM Phoenix Open,H. Matsuyama,1046400
bignasty500 (1),Masters Tournament,J. Rahm,112500
bignasty500 (1),Valero Texas Open,S. Straka,-50000
bignasty500 (1),Texas Children's Houston Open,C. Gotterup,322988
bignasty500 (1),Valspar Championship,X. Schauffele,382958
bogeybros101 (1),The Players Championship,C. Young,5000000
bogeybros101 (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
bogeybros101 (1),Cognizant Classic,R. Hojgaard,252000
bogeybros101 (1),The Genesis Invitational,P. Cantlay,92250
bogeybros101 (1),AT&T Pebble Beach Pro-Am,R. Henley,235000
bogeybros101 (1),WM Phoenix Open,S. Woo Kim,439680
bogeybros101 (1),Masters Tournament,X. Schauffele,700000
bogeybros101 (1),Valero Texas Open,S. Straka,-50000
bogeybros101 (1),Texas Children's Houston Open,K. Kitayama,21879
bogeybros101 (1),Valspar Championship,R. Hisatsune,51142
bonesesh (1),The Players Championship,S. Scheffler,301389
bonesesh (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
bonesesh (1),Cognizant Classic,N. Hojgaard,324000
bonesesh (1),The Genesis Invitational,T. Fleetwood,603200
bonesesh (1),AT&T Pebble Beach Pro-Am,R. McIlroy,342750
bonesesh (1),WM Phoenix Open,S. Woo Kim,439680
bonesesh (1),Masters Tournament,C. Young,1200000
bonesesh (1),Valero Texas Open,R. Henley,-50000
bonesesh (1),Texas Children's Houston Open,C. Gotterup,322988
bonesesh (1),Valspar Championship,M. Fitzpatrick,1638000
briancjo (1),The Players Championship,T. Fleetwood,812500
briancjo (1),Arnold Palmer Invitational presented by Mastercard,C. Morikawa,840000
briancjo (1),Cognizant Classic,R. Gerard,77600
briancjo (1),The Genesis Invitational,S. Scheffler,415000
briancjo (1),AT&T Pebble Beach Pro-Am,R. Henley,235000
briancjo (1),WM Phoenix Open,S. Woo Kim,439680
briancjo (1),Masters Tournament,R. McIlroy,5000000
briancjo (1),Valero Texas Open,R. MacIntyre,741533
briancjo (1),Texas Children's Houston Open,C. Gotterup,322988
briancjo (1),Valspar Championship,B. Koepka,108290
C-Alt24 (1),The Players Championship,L. Aberg,1027778
