rank,player,points,metric1,metric2,metric3,bucket
1,Scottie SCHEFFLER,4123,2.38,90.1,2.83,TC30
2,Matt FITZPATRICK,3329,1.58,66.1,2.02,TC30
3,Cameron YOUNG,3157,1.47,67.8,2.02,TC30
4,Wyndham CLARK,2255,1.02,52.8,1.32,TC30
5,Chris GOTTERUP,2254,1.18,46.8,1.6,TC30
6,Collin MORIKAWA,2229,1.42,40.8,1.92,TC30
7,Si Woo KIM,2201,1.32,39.8,1.73,TC30
8,Sam BURNS,2078,1.29,42.7,1.78,TC30
9,Tommy FLEETWOOD,2046,1.43,31.6,1.95,TC30
10,Ludvig ABERG,1929,1.22,31.5,1.71,TC30
11,Xander SCHAUFFELE,1780,1.22,32.3,1.71,TC30
12,Rory MCILROY,1738,1.83,47.4,2.38,TC30
13,Jacob BRIDGEMAN,1727,0.93,34.6,1.35,TC30
14,Akshay BHATIA,1723,0.8,32.3,1.28,TC30
15,Russell HENLEY,1706,1.2,30.4,1.65,TC30
16,Ryan GERARD,1496,0.93,31.4,1.31,TC30
17,Min Woo LEE,1470,0.86,29.4,1.36,TC30
18,Kristoffer REITAN,1464,0.43,27.3,0.72,TC30
19,Alex FITZPATRICK,1403,1.03,18.5,1.42,TC30
20,J.J. SPAUN,1387,0.67,22.8,1.07,TC30
21,Ryan FOX,1342,0.56,37.6,1.07,TC30
22,Viktor HOVLAND,1340,0.81,28.8,1.3,TC30
23,Justin ROSE,1333,0.8,27.5,1.31,TC30
24,Hideki MATSUYAMA,1319,0.94,25.9,1.36,TC30
25,Alex SMALLEY,1251,0.69,25.8,0.96,TC30
26,Gary WOODLAND,1238,0.39,21.6,0.69,TC30
27,Rickie FOWLER,1231,0.72,19.6,1.14,TC30
28,Adam SCOTT,1218,0.69,17.3,1.15,TC30
29,J.T. POSTON,1193,0.19,26.2,0.58,TC30
30,Robert MACINTYRE,1191,0.97,24.0,1.37,TC30
31,Nicolai HOJGAARD,1182,0.78,22.1,1.12,BMW50
32,Kurt KITAYAMA,1161,0.66,19.0,1.11,BMW50
33,Bud CAULEY,1155,0.4,20.2,0.82,BMW50
34,Tom KIM,1139,0.74,32.2,0.73,BMW50
35,Aaron RAI,1114,0.53,34.4,0.81,BMW50
36,Ben GRIFFIN,1105,0.66,19.0,1.02,BMW50
37,Sepp STRAKA,1096,-0.27,16.4,0.28,BMW50
38,Michael THORBJORNSEN,1036,0.58,23.8,0.79,BMW50
39,Jake KNAPP,995,1.08,16.7,1.42,BMW50
40,Justin THOMAS,959,0.6,16.2,1.08,BMW50
41,Patrick CANTLAY,932,1.11,15.4,1.58,BMW50
42,Ryo HISATSUNE,896,0.5,16.1,0.84,BMW50
43,Sahith THEEGALA,883,0.45,14.8,0.83,BMW50
44,Nico ECHAVARRIA,880,-0.43,12.3,-0.01,BMW50
45,Eric COLE,841,0.66,13.7,0.71,BMW50
46,Matt MCCARTY,814,0.09,13.6,0.45,BMW50
47,Keith MITCHELL,798,0.7,14.9,0.88,BMW50
48,Alex NOREN,779,0.36,10.9,0.86,BMW50
49,Harris ENGLISH,779,0.58,11.8,1.05,BMW50
50,Maverick MCNEALY,773,0.86,13.3,1.32,BMW50
51,Max HOMA,767,0.24,11.9,0.44,FSJ70
52,Sam STEVENS,741,0.05,13.8,0.42,FSJ70
53,Pierceson COODY,739,0.3,14.7,0.55,FSJ70
54,Sudarshan YELLAMARAJU,737,0.47,11.3,0.6,FSJ70
55,Jordan SPIETH,717,0.33,10.8,0.71,FSJ70
56,Corey CONNERS,715,0.18,10.9,0.62,FSJ70
57,Sungjae IM,711,0.2,11.3,0.49,FSJ70
58,Daniel BERGER,709,0.01,14.0,0.44,FSJ70
59,Michael KIM,690,0.19,12.4,0.52,FSJ70
60,Shane LOWRY,670,0.78,10.2,1.21,FSJ70
61,Nick TAYLOR,643,0.42,9.6,0.85,FSJ70
62,Harry HALL,628,0.07,8.68,0.45,FSJ70
63,Brian HARMAN,609,0.09,9.76,0.5,FSJ70
64,Patrick RODGERS,600,-0.27,9.65,0.04,FSJ70
65,Aldrich POTGIETER,591,-0.42,8.34,-0.11,FSJ70
66,Ricky CASTILLO,582,0.39,9.67,0.5,FSJ70
67,Matti SCHMID,580,-0.24,11.1,-0.21,FSJ70
68,Jordan SMITH,574,0.46,11.3,0.55,FSJ70
69,Steven FISK,573,0.0,8.19,-0.05,FSJ70
70,Jackson KOIVUN,558,1.69,11.1,1.47,FSJ70
71,Mac MEISSNER,546,0.75,10.2,0.79,OUT
72,Keegan BRADLEY,540,0.41,8.37,0.82,OUT
73,Andrew PUTNAM,533,0.34,11.2,0.52,OUT
74,Johnny KEEFER,504,0.08,11.9,0.12,OUT
75,Jason DAY,495,0.08,10.5,0.58,OUT
76,Austin SMOTHERMAN,495,-0.19,8.18,-0.06,OUT
77,Stephan JAEGER,494,0.35,9.81,0.27,OUT
78,David LIPSKY,487,0.1,8.49,0.07,OUT
79,Tom HOGE,473,-0.37,8.08,-0.16,OUT
80,Matt WALLACE,470,0.33,9.73,0.43,OUT
