position,fsj_pct,fsj_usd,bmw_usd,tc_pct,tc_usd,tc_points_0.5x
1,18.0,3600000,3600000,25.0,10000000,5000000
2,10.8,2160000,2160000,12.5,5000000,2500000
3,6.5921,1318416,1318416,9.2625,3705000,1852500
4,5.0079,1001584,1001584,8.0,3200000,1600000
5,4.0,800000,800000,6.875,2750000,1375000
6,3.6063,721256,721256,4.75,1900000,950000
7,3.3724,674482,674482,3.3405,1336212,668106
8,3.0713,614261,614261,2.7535,1101414,550707
9,2.8245,564907,564907,2.3184,927375,463688
10,2.6711,534213,534213,1.8983,759311,379656
11,2.5088,501759,501759,1.6767,670689,335344
12,2.3377,467546,467546,1.65,660000,330000
13,2.1579,431574,431574,1.5209,608353,304176
14,1.9641,392820,392820,1.4578,583129,291564
15,1.7874,357485,357485,1.3935,557388,278694
16,1.6485,329695,329695,1.3278,531131,265565
17,1.5669,313377,313377,1.238,495203,247601
18,1.5039,300775,300775,1.1745,469797,234899
19,1.4204,284086,284086,1.15,460008,230004
20,1.3166,263312,263312,1.1125,444992,222496
21,1.1923,238450,238450,1.0742,429675,214837
22,1.0833,216660,216660,1.0383,415325,207663
23,1.0093,201864,201864,1.0014,400559,200279
24,0.9443,188867,188867,0.9736,389441,194721
25,0.8883,177669,177669,0.9523,380905,190452
26,0.8414,168270,168270,0.9352,374095,187048
27,0.8034,160671,160671,0.9245,369784,184892
28,0.7539,150782,150782,0.913,365216,182608
29,0.7008,140167,140167,0.9,360000,180000
30,0.6685,133692,133692,0.8875,355000,177500
31,0.6611,132229,132229,,,
32,0.6611,132229,132229,,,
33,0.6611,132229,132229,,,
34,0.6512,130235,130235,,,
35,0.625,124998,124998,,,
36,0.5852,117049,117049,,,
37,0.5319,106388,106388,,,
38,0.4844,96885,96885,,,
39,0.454,90808,90808,,,
40,0.4271,85423,85423,,,
41,0.4037,80731,80731,,,
42,0.3837,76731,76731,,,
43,0.3671,73423,73423,,,
44,0.3485,69692,69692,,,
45,0.3274,65487,65487,,,
46,0.3095,61897,61897,,,
47,0.2946,58924,58924,,,
48,0.275,55010,55010,,,
49,0.259,51790,51790,,,
50,0.2519,50375,50375,,,
51,0.2449,48988,,,,
52,0.24,48006,,,,
53,0.2372,47431,,,,
54,0.2329,46588,,,,
55,0.2291,45812,,,,
56,0.2278,45570,,,,
57,0.2261,45218,,,,
58,0.2241,44812,,,,
59,0.2219,44383,,,,
60,0.2199,43988,,,,
61,0.2181,43629,,,,
62,0.2162,43233,,,,
63,0.2138,42767,,,,
64,0.2117,42339,,,,
65,0.2099,41987,,,,
66,0.2084,41674,,,,
67,0.206,41200,,,,
68,0.2039,40783,,,,
69,0.2021,40417,,,,
70,0.2,40000,,,,
