unknown is Rank,Username,Player,Position,Score,Earnings,Tournament
"265","Seanpins","$1,145,645","","","","Unknown"
"266","dmcconn2001","$1,043,444","","","","Unknown"
"267","wcolyer","$1,026,335","","","","Unknown"
"268","Tanks4Nuttin","$1,000,366","","","","Unknown"
"269","EDELL21","$999,583","","","","Unknown"
"270","cheekbusters","$995,344","","","","Unknown"
"271","westonstanley","$982,500","","","","Unknown"
"272","fishbeinb","$960,845","","","","Unknown"
"273","JoBuNeedsARefill1","$842,666","","","","Unknown"
"274","philsbookie","$743,366","","","","Unknown"
"275","ShootersTour47","$701,014","","","","Unknown"
"276","ScreechingPenguin","$645,053","","","","Unknown"
"277","chuckspicks","$632,027","","","","Unknown"
"278","cristalblanco","$319,902","","","","Unknown"
"279","tmt-hPz7","$0","","","","Unknown"
"1","fishbeinb","$12,676,828","","","","Unknown"
"2","krutches","$12,636,586","","","","Unknown"
"3","briancjo","$12,592,591","","","","Unknown"
"4","kapantal","$11,369,971","","","","Unknown"
"5","thehun73","$11,093,652","","","","Unknown"
"6","tsmiller3","$10,677,555","","","","Unknown"
"7","justinmacmahan","$9,945,331","","","","Unknown"
"8","soonertrojan","$9,353,464","","","","Unknown"
"9","twssquad","$8,605,700","","","","Unknown"
"10","tzentner","$8,522,450","","","","Unknown"
"11","lundynuts","$8,087,838","","","","Unknown"
"12","princetonians","$7,976,270","","","","Unknown"
"13","rogerg09","$7,743,013","","","","Unknown"
"14","Seanpins","$7,714,191","","","","Unknown"
"15","wsmithuva","$7,662,094","","","","Unknown"
"16","bogeybros101","$7,613,701","","","","Unknown"
"17","TeamHammerck","$7,399,516","","","","Unknown"
"18","JoBuNeedsARefill1","$7,327,029","","","","Unknown"
"19","cbhoskins","$7,296,013","","","","Unknown"
"20","rochman77","$7,279,664","","","","Unknown"
"21","oleboyroy14","$7,273,378","","","","Unknown"
"22","DKDKDKDK","$7,269,741","","","","Unknown"
"23","BHART4","$7,193,939","","","","Unknown"
"24","gafftop","$7,156,867","","","","Unknown"
"25","hatchattack","$7,153,283","","","","Unknown"
"26","warchild-dbkk","$7,150,299","","","","Unknown"
"27","SRUSSO11","$7,070,687","","","","Unknown"
"28","westover","$6,948,869","","","","Unknown"
"29","dixie","$6,911,645","","","","Unknown"
"30","jaeg","$6,901,700","","","","Unknown"
"31","faustino8466","$6,802,550","","","","Unknown"
"32","cristalblanco","$6,565,909","","","","Unknown"
"33","bonesesh","$6,517,007","","","","Unknown"
"34","C-Alt24","$6,508,378","","","","Unknown"
"35","ericcronin","$6,450,694","","","","Unknown"
"36","SUND","$6,429,201","","","","Unknown"
"37","Huevos_Gigantes","$6,381,651","","","","Unknown"
"38","jjmcd","$6,331,078","","","","Unknown"
"39","bignasty500","$6,272,635","","","","Unknown"
"40","nelsonmonteith","$6,232,863","","","","Unknown"
"41","presswhenyourpissed","$6,195,285","","","","Unknown"
"42","ryanhojo22","$6,089,808","","","","Unknown"
"43","DB730","$6,078,378","","","","Unknown"
"44","mhgilber","$6,045,033","","","","Unknown"
"45","teamlumpy","$6,023,769","","","","Unknown"
"46","driveroffthedeck","$5,898,405","","","","Unknown"
"47","ryanhojo22","$5,853,905","","","","Unknown"
"48","themeats1","$5,846,813","","","","Unknown"
"49","jmac903","$5,827,681","","","","Unknown"
"50","redsdandyal","$5,738,900","","","","Unknown"
"51","ojlimpsin","$5,665,732","","","","Unknown"
"52","lucky_darts2","$5,659,944","","","","Unknown"
"53","twoladsandanape","$5,659,884","","","","Unknown"
"54","cookiemonsterz","$5,605,333","","","","Unknown"
"55","fluffy-bunny-feet","$5,555,705","","","","Unknown"
"56","Whale20c19b39","$5,545,775","","","","Unknown"
"57","fishbeinb","$5,454,996","","","","Unknown"
"58","ojlimpsin","$5,446,767","","","","Unknown"
"59","ParFiveCollective","$5,416,867","","","","Unknown"
"60","McKenzie Scotts Tots","$5,388,413","","","","Unknown"
"61","justinmacmahan","$5,360,225","","","","Unknown"
"62","JoBuNeedsARefill1","$5,323,582","","","","Unknown"
"63","BirdieKillers-231","$5,250,663","","","","Unknown"
"64","fishbeinb","$5,245,675","","","","Unknown"
"65","FowlerPicks1","$5,233,163","","","","Unknown"
"66","scott_c_434","$5,176,174","","","","Unknown"
"67","pstephens2315","$5,170,488","","","","Unknown"
"68","sportsrgood55","$5,153,504","","","","Unknown"
"69","chuckspicks","$5,061,200","","","","Unknown"
"70","Squart","$5,032,541","","","","Unknown"
"71","cristalblanco","$4,989,260","","","","Unknown"
"72","jrdzik","$4,919,480","","","","Unknown"
"73","reddy4primetime","$4,889,073","","","","Unknown"
"74","southtxam","$4,873,752","","","","Unknown"
"75","justinmacmahan","$4,854,358","","","","Unknown"
"76","kojack22","$4,770,219","","","","Unknown"
"77","rickrungood","$4,763,906","","","","Unknown"
"78","MJWinter","$4,762,152","","","","Unknown"
"79","shl1996","$4,703,742","","","","Unknown"
"80","jmac903","$4,616,464","","","","Unknown"
"81","norips","$4,575,678","","","","Unknown"
"82","fishbeinb","$4,573,168","","","","Unknown"
"83","shadystrokes","$4,554,009","","","","Unknown"
"84","ryanhojo22","$4,507,678","","","","Unknown"
"85","coolhandsun","$4,497,604","","","","Unknown"
"86","Npouj23","$4,466,669","","","","Unknown"
"87","adblanke","$4,440,407","","","","Unknown"
"88","captainfch","$4,423,093","","","","Unknown"
"89","cknost7","$4,403,300","","","","Unknown"
"90","doublemax","$4,357,502","","","","Unknown"
"91","maggi","$4,322,507","","","","Unknown"
"92","4dudes1club","$4,290,733","","","","Unknown"
"93","nshall11","$4,273,876","","","","Unknown"
"94","slickcowboy","$4,258,378","","","","Unknown"
"95","ojlimpsin","$4,245,009","","","","Unknown"
"96","nathanzucker","$4,215,623","","","","Unknown"
"97","AcheeChee","$4,213,263","","","","Unknown"
"98","swingingbevos","$4,196,248","","","","Unknown"
"99","briangpark","$4,194,700","","","","Unknown"
"100","HIGH-HOLY-DAYS","$4,139,279","","","","Unknown"
"101","69handicap","$4,128,926","","","","Unknown"
"102","teamneverrory","$4,088,283","","","","Unknown"
"103","kabusa80","$4,086,804","","","","Unknown"
"104","mnehme","$4,085,494","","","","Unknown"
"105","jeffkevinma","$4,084,808","","","","Unknown"
"106","celijah","$4,081,426","","","","Unknown"
"107","paintshow","$4,057,314","","","","Unknown"
"108","kingspence","$4,044,445","","","","Unknown"
"109","horton-conrey","$4,044,118","","","","Unknown"
"110","steviejanowski","$3,992,621","","","","Unknown"
"111","mdlyons91","$3,894,944","","","","Unknown"
"112","vinnyp15","$3,880,791","","","","Unknown"
"113","kmilnerjr","$3,862,088","","","","Unknown"
"114","CrazyPicks","$3,838,296","","","","Unknown"
"115","tevez","$3,825,359","","","","Unknown"
"116","PrettySickChubbs","$3,803,809","","","","Unknown"
"117","OnePelican","$3,771,480","","","","Unknown"
"118","JoBuNeedsARefill1","$3,754,734","","","","Unknown"
"119","spitterw","$3,754,573","","","","Unknown"
"120","puttnuts","$3,733,656","","","","Unknown"
"121","ojlimpsin","$3,710,879","","","","Unknown"
"122","burntpurple2024","$3,696,873","","","","Unknown"
"123","moh888","$3,684,165","","","","Unknown"
"124","ClemBen10","$3,666,392","","","","Unknown"
"125","wedgegame","$3,639,543","","","","Unknown"
"126","twincreeks","$3,615,397","","","","Unknown"
"127","vinomar1","$3,600,582","","","","Unknown"
"128","nsolo","$3,584,521","","","","Unknown"
"129","vjgalati","$3,563,101","","","","Unknown"
"130","CLUBSWANGERS","$3,556,629","","","","Unknown"
"131","himile","$3,555,387","","","","Unknown"
"132","smokedogjr","$3,528,688","","","","Unknown"
"133","Seanpins","$3,517,474","","","","Unknown"
"134","dalefm12","$3,502,921","","","","Unknown"
"135","pdtgolf","$3,476,146","","","","Unknown"
"136","sp10k","$3,471,753","","","","Unknown"
"137","CamChamps","$3,470,315","","","","Unknown"
"138","Party-like-a-Cocksta","$3,454,246","","","","Unknown"
"139","JCGATX","$3,434,832","","","","Unknown"
"140","SRUSSO11","$3,429,150","","","","Unknown"
"141","btfd","$3,387,260","","","","Unknown"
"142","cristalblanco","$3,337,937","","","","Unknown"
"143","ryansutter","$3,314,477","","","","Unknown"
"144","meowmeow14","$3,244,314","","","","Unknown"
"145","etohacks","$3,241,553","","","","Unknown"
"146","Disgusting_Brothers","$3,198,347","","","","Unknown"
"147","hammers_2","$3,181,781","","","","Unknown"
"148","birdie2double","$3,163,788","","","","Unknown"
"149","ricktavius","$3,158,842","","","","Unknown"
"150","bmorebri","$3,132,807","","","","Unknown"
"151","inone","$3,113,932","","","","Unknown"
"152","aceinthehole59","$3,107,841","","","","Unknown"
"153","DDFs","$3,099,509","","","","Unknown"
"154","cypresspoint","$3,091,911","","","","Unknown"
"155","ogsandbaggers","$3,087,494","","","","Unknown"
"156","justinmacmahan","$3,084,880","","","","Unknown"
"157","southwestswindlers","$3,013,530","","","","Unknown"
"158","punchoutgamestrong","$2,979,758","","","","Unknown"
"159","arkadymosports","$2,963,004","","","","Unknown"
"160","ghinitals","$2,961,142","","","","Unknown"
"161","chippewa","$2,856,055","","","","Unknown"
"162","RextheWonderdog","$2,826,078","","","","Unknown"
"163","ranchdrawexpress","$2,822,227","","","","Unknown"
"164","teamneverrory","$2,809,713","","","","Unknown"
"165","aaronlabrie15","$2,792,513","","","","Unknown"
"166","zimmbroom","$2,788,847","","","","Unknown"
"167","agrumney","$2,735,737","","","","Unknown"
"168","treshermanas","$2,730,097","","","","Unknown"
"169","dechambros","$2,724,438","","","","Unknown"
"170","evanharris11","$2,721,285","","","","Unknown"
"171","jdb3","$2,712,307","","","","Unknown"
"172","dak1616","$2,687,787","","","","Unknown"
"173","trevoro5","$2,657,618","","","","Unknown"
"174","saturdaysfortheboys","$2,648,435","","","","Unknown"
"175","elliottperry","$2,639,562","","","","Unknown"
"176","mmmm","$2,629,781","","","","Unknown"
"177","pbcbdb","$2,626,702","","","","Unknown"
"178","dmicro","$2,608,223","","","","Unknown"
"179","trevoro5","$2,571,439","","","","Unknown"
"180","jordanwdavis","$2,570,058","","","","Unknown"
"181","Alexwoody","$2,555,344","","","","Unknown"
"182","ding-Rx7V","$2,503,182","","","","Unknown"
"183","gilmorehappy2","$2,500,209","","","","Unknown"
"184","saturdaysfortheboys","$2,481,094","","","","Unknown"
"185","oleboyroy14","$2,467,024","","","","Unknown"
"186","cjlemoin","$2,466,769","","","","Unknown"
"187","shope24","$2,452,308","","","","Unknown"
"188","dk38","$2,449,775","","","","Unknown"
"189","mmercer19","$2,447,230","","","","Unknown"
"190","thumbsup","$2,444,627","","","","Unknown"
"191","alcohballics","$2,438,824","","","","Unknown"
"192","bozotits","$2,436,730","","","","Unknown"
"193","amarouni","$2,436,683","","","","Unknown"
"194","whereismygapwedge","$2,426,757","","","","Unknown"
"195","810ofclubs","$2,423,259","","","","Unknown"
"196","syndicuttx","$2,409,037","","","","Unknown"
"197","jmac214","$2,405,256","","","","Unknown"
"198","JoBuNeedsARefill1","$2,388,037","","","","Unknown"
"199","jjmcd","$2,387,893","","","","Unknown"
"220","misterbanks","$2,067,812","","","","Unknown"
"221","chbj","$2,066,749","","","","Unknown"
"222","partyoffore","$2,049,865","","","","Unknown"
"223","seekers3.0","$2,033,536","","","","Unknown"
"224","mbschroeder1422","$2,026,945","","","","Unknown"
"225","sofakinglong","$2,019,647","","","","Unknown"
"226","zgreen157","$2,003,428","","","","Unknown"
"227","pickles","$1,999,530","","","","Unknown"
"228","spiresh","$1,993,802","","","","Unknown"
"229","reeseyow","$1,986,645","","","","Unknown"
"230","ojlimpsin","$1,960,184","","","","Unknown"
"231","miloscf","$1,960,077","","","","Unknown"
"232","leschaef","$1,949,727","","","","Unknown"
"233","evensteven","$1,947,483","","","","Unknown"
"234","bakecityutah","$1,920,136","","","","Unknown"
"235","elhomanator","$1,906,486","","","","Unknown"
"236","PottsLozier","$1,886,421","","","","Unknown"
"237","cavinok8","$1,869,426","","","","Unknown"
"238","jjwooly","$1,865,750","","","","Unknown"
"239","halliam1114","$1,865,701","","","","Unknown"
"240","apriest25","$1,827,597","","","","Unknown"
"241","oleboyroy14","$1,818,953","","","","Unknown"
"242","SPANKGAWD","$1,813,418","","","","Unknown"
"243","Seanpins","$1,759,719","","","","Unknown"
"244","standardclub2025","$1,745,888","","","","Unknown"
"245","pmac22","$1,683,939","","","","Unknown"
"246","cristalblanco","$1,641,436","","","","Unknown"
"247","KDEREGT","$1,628,863","","","","Unknown"
"248","shut-spar-4914","$1,576,454","","","","Unknown"
"249","dawgsattheturn","$1,541,855","","","","Unknown"
"250","coryselzer","$1,495,854","","","","Unknown"
"251","coleman8689","$1,457,358","","","","Unknown"
"252","Hookemtt","$1,456,300","","","","Unknown"
"253","creecraig","$1,442,506","","","","Unknown"
"254","txyb","$1,431,806","","","","Unknown"
"255","ogwieny","$1,416,111","","","","Unknown"
"256","parplaya","$1,401,035","","","","Unknown"
"257","Bezos","$1,319,123","","","","Unknown"
"258","paulbearers","$1,254,374","","","","Unknown"
"259","justinmacmahan","$1,214,551","","","","Unknown"
"260","dacdegens","$1,204,684","","","","Unknown"
"261","jmac214","$1,202,447","","","","Unknown"
"262","royemunson","$1,164,363","","","","Unknown"
"263","Seanpins","$1,149,751","","","","Unknown"
"264","harrzard09","$1,147,211","","","","Unknown"
