tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
liv,2023,2023,2023-02-26,Mayakoba,9,"Lahiri, Anirban",12669,T32,2,El Camaleón Golf Course at Mayakoba,1,71,,,72,,,,,,-1.0,297.0,0.786,0.444,,,,,,0.0,3.0,11.0,4.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Mickelson, Phil",1547,T27,2,El Camaleón Golf Course at Mayakoba,1,71,,,75,,,,,,-4.0,315.0,0.5,0.611,,,,,,0.0,1.0,12.0,5.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Mickelson, Phil",1547,T27,3,El Camaleón Golf Course at Mayakoba,1,71,,,67,,,,,,3.917,309.0,0.643,0.722,,,,,,1.0,5.0,10.0,1.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Pieters, Thomas",13944,T32,1,El Camaleón Golf Course at Mayakoba,1,71,,,76,,,,,,-4.333,312.0,0.5,0.5,,,,,,0.0,4.0,6.0,7.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Pieters, Thomas",13944,T32,2,El Camaleón Golf Course at Mayakoba,1,71,,,68,,,,,,3.0,269.5,0.5,0.556,,,,,,0.0,3.0,15.0,0.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Pieters, Thomas",13944,T32,3,El Camaleón Golf Course at Mayakoba,1,71,,,71,,,,,,-0.083,311.0,0.429,0.722,,,,,,0.0,3.0,12.0,3.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Lahiri, Anirban",12669,T32,1,El Camaleón Golf Course at Mayakoba,1,71,,,70,,,,,,1.667,359.0,0.571,0.611,,,,,,0.0,4.0,11.0,3.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Mickelson, Phil",1547,T27,1,El Camaleón Golf Course at Mayakoba,1,71,,,72,,,,,,-0.333,303.5,0.429,0.5,,,,,,0.0,5.0,8.0,4.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Lahiri, Anirban",12669,T32,3,El Camaleón Golf Course at Mayakoba,1,71,,,73,,,,,,-2.083,311.5,0.5,0.5,,,,,,0.0,4.0,10.0,2.0,2.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Lee, Danny",11826,34,2,El Camaleón Golf Course at Mayakoba,1,71,,,71,,,,,,0.0,249.0,0.5,0.667,,,,,,0.0,3.0,12.0,3.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Lee, Danny",11826,34,3,El Camaleón Golf Course at Mayakoba,1,71,,,74,,,,,,-3.083,318.0,0.214,0.5,,,,,,0.0,3.0,9.0,6.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Piot, James",29230,T35,1,El Camaleón Golf Course at Mayakoba,1,71,,,73,,,,,,-1.333,294.5,0.143,0.333,,,,,,0.0,4.0,9.0,4.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Piot, James",29230,T35,2,El Camaleón Golf Course at Mayakoba,1,71,,,71,,,,,,0.0,286.0,0.5,0.556,,,,,,0.0,4.0,11.0,2.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Piot, James",29230,T35,3,El Camaleón Golf Course at Mayakoba,1,71,,,73,,,,,,-2.083,303.0,0.5,0.722,,,,,,0.0,4.0,9.0,4.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Johnson, Dustin",12422,T35,1,El Camaleón Golf Course at Mayakoba,1,71,,,68,,,,,,3.667,330.5,0.643,0.611,,,,,,0.0,5.0,11.0,2.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Lee, Danny",11826,34,1,El Camaleón Golf Course at Mayakoba,1,71,,,71,,,,,,0.667,314.0,0.714,0.722,,,,,,0.0,3.0,12.0,3.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Johnson, Dustin",12422,T35,2,El Camaleón Golf Course at Mayakoba,1,71,,,71,,,,,,0.0,322.0,0.357,0.722,,,,,,0.0,5.0,9.0,3.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Varner III, Harold",16602,T27,3,El Camaleón Golf Course at Mayakoba,1,71,,,68,,,,,,2.917,314.5,0.643,0.778,,,,,,0.0,4.0,13.0,1.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Varner III, Harold",16602,T27,1,El Camaleón Golf Course at Mayakoba,1,71,,,74,,,,,,-2.333,313.5,0.5,0.611,,,,,,0.0,2.0,12.0,3.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Jones, Matt",8605,T23,2,El Camaleón Golf Course at Mayakoba,1,71,,,72,,,,,,-1.0,304.5,0.5,0.667,,,,,,0.0,6.0,7.0,3.0,2.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Jones, Matt",8605,T23,3,El Camaleón Golf Course at Mayakoba,1,71,,,68,,,,,,2.917,306.5,0.5,0.556,,,,,,0.0,5.0,11.0,2.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Garcia, Sergio",5689,T23,1,El Camaleón Golf Course at Mayakoba,1,71,,,72,,,,,,-0.333,275.5,0.357,0.556,,,,,,0.0,2.0,14.0,1.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Garcia, Sergio",5689,T23,2,El Camaleón Golf Course at Mayakoba,1,71,,,69,,,,,,2.0,308.0,0.643,0.667,,,,,,0.0,4.0,12.0,2.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Garcia, Sergio",5689,T23,3,El Camaleón Golf Course at Mayakoba,1,71,,,72,,,,,,-1.083,317.5,0.714,0.444,,,,,,0.0,2.0,14.0,1.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Koepka, Brooks",16243,T27,1,El Camaleón Golf Course at Mayakoba,1,71,,,71,,,,,,0.667,298.0,0.357,0.667,,,,,,0.0,3.0,12.0,3.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Varner III, Harold",16602,T27,2,El Camaleón Golf Course at Mayakoba,1,71,,,72,,,,,,-1.0,306.5,0.5,0.667,,,,,,0.0,3.0,11.0,4.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Koepka, Brooks",16243,T27,2,El Camaleón Golf Course at Mayakoba,1,71,,,72,,,,,,-1.0,309.5,0.357,0.556,,,,,,0.0,5.0,8.0,4.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Lopez-Chacarra, Eugenio",26745,T27,1,El Camaleón Golf Course at Mayakoba,1,71,,,75,,,,,,-3.333,313.0,0.286,0.444,,,,,,0.0,2.0,13.0,2.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Lopez-Chacarra, Eugenio",26745,T27,2,El Camaleón Golf Course at Mayakoba,1,71,,,69,,,,,,2.0,308.5,0.357,0.556,,,,,,0.0,6.0,8.0,4.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Lopez-Chacarra, Eugenio",26745,T27,3,El Camaleón Golf Course at Mayakoba,1,71,,,70,,,,,,0.917,322.5,0.571,0.556,,,,,,0.0,3.0,13.0,2.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Bland, Richard",6516,T27,1,El Camaleón Golf Course at Mayakoba,1,71,,,73,,,,,,-1.333,311.5,0.357,0.5,,,,,,0.0,2.0,13.0,2.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Bland, Richard",6516,T27,2,El Camaleón Golf Course at Mayakoba,1,71,,,70,,,,,,1.0,296.5,0.429,0.444,,,,,,0.0,4.0,11.0,3.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Bland, Richard",6516,T27,3,El Camaleón Golf Course at Mayakoba,1,71,,,71,,,,,,-0.083,297.0,0.5,0.556,,,,,,0.0,5.0,9.0,3.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Koepka, Brooks",16243,T27,3,El Camaleón Golf Course at Mayakoba,1,71,,,71,,,,,,-0.083,333.5,0.357,0.722,,,,,,0.0,2.0,14.0,2.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Jones, Matt",8605,T23,1,El Camaleón Golf Course at Mayakoba,1,71,,,73,,,,,,-1.333,306.0,0.357,0.444,,,,,,0.0,1.0,15.0,1.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Johnson, Dustin",12422,T35,3,El Camaleón Golf Course at Mayakoba,1,71,,,78,,,,,,-7.083,310.0,0.429,0.556,,,,,,0.0,2.0,8.0,7.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Schwartzel, Charl",7398,T35,2,El Camaleón Golf Course at Mayakoba,1,71,,,74,,,,,,-3.0,312.0,0.357,0.556,,,,,,0.0,3.0,9.0,6.0,0.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Morgan, Jediah",22738,43,3,El Camaleón Golf Course at Mayakoba,1,71,,,78,,,,,,-7.083,336.0,0.286,0.556,,,,,,0.0,2.0,9.0,6.0,1.0
liv,2023,2023,2023-02-26,Mayakoba,9,"Horsfield, Sam",19866,T44,1,El Camaleón Golf Course at Mayakoba,1,71,,,71,,,,,,0.667,264.0,0.214,0.5,,,,,,0.0,4.0,11.0,2.0,1.0
