tour,year,season,event_completed,event_name,event_id,player_name,dg_id,fin_text,round_num,course_name,course_num,course_par,start_hole,teetime,round_score,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total,driving_dist,driving_acc,gir,scrambling,prox_rgh,prox_fw,great_shots,poor_shots,eagles_or_better,birdies,pars,bogies,doubles_or_worse
pga,2018,2018,2018-01-07,Sentry Tournament of Champions,16,"Thomas, Justin",14139,T22,4,Plantation Course at Kapalua,656,73,1,10:20am,67,0.149,-0.179,3.552,0.065,3.438,3.588,306.6,0.6,0.833,0.5,36.374,31.32,5.0,3.0,1,6,9,2,0
pga,2018,2018,2018-01-07,Sentry Tournament of Champions,16,"Schauffele, Xander",19895,T22,4,Plantation Course at Kapalua,656,73,1,11:00am,74,-2.11,0.329,-0.707,-0.924,-1.302,-3.412,301.7,0.467,0.667,0.455,45.134,45.549,1.0,5.0,0,2,13,3,0
pga,2018,2018,2018-01-07,Sentry Tournament of Champions,16,"Schauffele, Xander",19895,T22,3,Plantation Course at Kapalua,656,73,1,8:10am,70,3.782,-0.928,-2.982,1.54,-2.37,1.412,315.9,0.533,0.722,0.7,130.515,38.007,6.0,4.0,0,5,11,2,0
pga,2018,2018,2018-01-07,Sentry Tournament of Champions,16,"Schauffele, Xander",19895,T22,2,Plantation Course at Kapalua,656,73,1,11:10am,72,-0.154,-0.69,-0.501,0.317,-0.874,-1.029,312.5,0.6,0.5,0.615,29.583,39.921,4.0,5.0,0,6,7,5,0
pga,2018,2018,2018-01-07,Sentry Tournament of Champions,16,"Schauffele, Xander",19895,T22,1,Plantation Course at Kapalua,656,73,1,12:40pm,72,0.47,0.234,-1.654,0.86,-0.559,-0.088,309.2,0.533,0.5,0.857,41.124,37.56,2.0,4.0,0,3,13,2,0
pga,2018,2018,2018-01-07,Sentry Tournament of Champions,16,"Cook, Austin",18579,T22,4,Plantation Course at Kapalua,656,73,1,10:40am,70,-0.276,0.306,0.065,0.491,0.864,0.588,300.9,0.6,0.833,0.833,53.585,30.074,0.0,1.0,0,4,13,1,0
pga,2018,2018,2018-01-07,Sentry Tournament of Champions,16,"Cook, Austin",18579,T22,3,Plantation Course at Kapalua,656,73,1,7:20am,70,1.394,0.113,-0.575,0.479,0.018,1.412,294.3,0.733,0.889,0.8,27.375,39.881,4.0,0.0,0,4,13,1,0
pga,2018,2018,2018-01-07,Sentry Tournament of Champions,16,"Cook, Austin",18579,T22,2,Plantation Course at Kapalua,656,73,1,10:50am,74,-1.936,-0.76,0.471,-0.803,-1.092,-3.029,288.8,0.667,0.722,0.6,38.074,41.177,2.0,8.0,0,5,7,6,0
pga,2018,2018,2018-01-07,Sentry Tournament of Champions,16,"Cook, Austin",18579,T22,1,Plantation Course at Kapalua,656,73,1,10:10am,74,0.514,-0.901,-0.14,-1.561,-2.603,-2.088,298.7,0.667,0.722,0.143,30.351,45.84,3.0,8.0,0,6,6,5,1
pga,2018,2018,2018-01-07,Sentry Tournament of Champions,16,"Murray, Grayson",14655,T22,4,Plantation Course at Kapalua,656,73,1,10:50am,71,1.366,0.245,-0.701,-1.323,-1.779,-0.412,317.6,0.4,0.722,0.556,49.429,38.884,4.0,4.0,1,4,10,2,1
pga,2018,2018,2018-01-07,Sentry Tournament of Champions,16,"Murray, Grayson",14655,T22,3,Plantation Course at Kapalua,656,73,1,7:10am,69,1.756,-0.375,1.669,-0.638,0.656,2.412,308.0,0.533,0.611,0.778,72.064,27.249,5.0,4.0,0,6,10,2,0
pga,2018,2018,2018-01-07,Sentry Tournament of Champions,16,"Murray, Grayson",14655,T22,2,Plantation Course at Kapalua,656,73,1,10:50am,74,-2.924,0.438,-1.765,1.222,-0.104,-3.029,322.1,0.533,0.722,0.556,52.766,53.068,4.0,8.0,0,4,10,3,1
pga,2018,2018,2018-01-07,Sentry Tournament of Champions,16,"Murray, Grayson",14655,T22,1,Plantation Course at Kapalua,656,73,1,10:40am,74,-1.594,-0.764,-1.022,1.292,-0.494,-2.088,322.2,0.6,0.778,0.3,28.388,43.56,3.0,4.0,0,1,15,2,0
pga,2018,2018,2018-01-07,Sentry Tournament of Champions,16,"Thomas, Justin",14139,T22,3,Plantation Course at Kapalua,656,73,1,7:30am,75,-2.3,-0.185,-2.408,1.306,-1.287,-3.588,311.4,0.667,0.778,0.5,47.339,48.114,2.0,7.0,0,3,12,1,2
pga,2018,2018,2018-01-07,Sentry Tournament of Champions,16,"Thomas, Justin",14139,T22,2,Plantation Course at Kapalua,656,73,1,11:40am,75,-1.315,-0.157,-2.082,-0.473,-2.713,-4.029,315.5,0.6,0.667,0.455,38.757,51.929,2.0,4.0,0,4,10,2,2
pga,2018,2018,2018-01-07,Sentry Tournament of Champions,16,"DeChambeau, Bryson",19841,26,1,Plantation Course at Kapalua,656,73,1,10:50am,73,-0.672,-0.098,-0.059,-0.258,-0.416,-1.088,299.9,0.733,0.833,0.5,42.222,35.774,4.0,3.0,0,5,10,2,1
pga,2018,2018,2018-01-07,Sentry Tournament of Champions,16,"Thomas, Justin",14139,T22,1,Plantation Course at Kapalua,656,73,1,12:50pm,71,-0.117,0.329,0.068,0.63,1.029,0.912,311.3,0.533,0.778,0.545,34.851,45.352,5.0,4.0,0,5,10,3,0
pga,2018,2018,2018-01-07,Sentry Tournament of Champions,16,"Chappell, Kevin",13305,21,3,Plantation Course at Kapalua,656,73,1,8:10am,70,1.194,-0.711,-0.073,1.002,0.218,1.412,310.6,0.667,0.722,0.636,75.205,34.869,3.0,1.0,0,4,13,1,0
