season,event_id,event_name,username,dg_id,player_name,ts,finish_num,finish_text,winnings
2024,6,01 — Sony Open in Hawaii,You,12423,"Kirk, Chris",2026-01-10T21:52:51,18.0,T18,106102.0
2024,2,02 — The American Express,You,21554,"Poston, J.T.",2026-01-10T21:53:43,11.0,T11,212100.0
2024,4,03 — Farmers Insurance Open,You,17488,"Im, Sungjae",2026-01-10T21:55:23,,CUT,0.0
2024,5,04 — AT&T Pebble Beach Pro-Am,You,15466,"Cantlay, Patrick",2026-01-10T21:58:51,11.0,T11,455000.0
2024,3,05 — WM Phoenix Open,You,14139,"Thomas, Justin",2026-01-10T22:06:42,12.0,T12,187000.0
2024,7,06 — The Genesis Invitational,You,19895,"Schauffele, Xander",2026-01-10T22:13:45,4.0,T4,866667.0
2024,540,07 — Mexico Open at Vidanta,You,11676,"Finau, Tony",2026-01-10T22:14:37,13.0,T13,145125.0
2024,10,08 — Cognizant Classic in The Palm Beaches,You,14459,"An, Byeong Hun",2026-01-10T22:19:20,21.0,T21,87750.0
2024,9,09 — Arnold Palmer Invitational presented by Mastercard,You,18417,"Scheffler, Scottie",2026-01-10T22:20:59,1.0,1,4000000.0
2024,11,10 — THE PLAYERS Championship,You,13562,"Matsuyama, Hideki",2026-01-10T22:22:17,6.0,T6,875000.0
2024,475,11 — Valspar Championship,You,19483,"Burns, Sam",2026-01-10T22:23:38,,CUT,0.0
2024,20,12 — Texas Children's Houston Open,You,23014,"Theegala, Sahith",2026-01-10T22:25:36,28.0,T28,65065.0
2024,41,13 — Valero Texas Open,You,10419,"Noren, Alex",2026-01-10T22:28:39,14.0,T14,131602.0
2024,14,14 — Masters Tournament,You,18079,"Niemann, Joaquin",2026-01-10T22:32:17,22.0,T22,175500.0
2024,12,15 — RBC Heritage,You,12294,"Fleetwood, Tommy",2026-01-10T22:35:58,49.0,T49,49450.0
2024,19,16 — THE CJ CUP Byron Nelson,You,6430,"Scott, Adam",2026-01-10T22:38:57,30.0,T30,52293.0
2024,480,17 — Wells Fargo Championship,You,10091,"McIlroy, Rory",2026-01-10T22:39:50,1.0,1,3600000.0
2024,33,18 — PGA Championship,You,19841,"DeChambeau, Bryson",2026-01-10T22:42:42,2.0,2,1998000.0
2024,21,19 — Charles Schwab Challenge,You,17538,"Homa, Max",2026-01-10T22:48:15,,CUT,0.0
2024,32,20 — RBC Canadian Open,You,15556,"Hughes, Mackenzie",2026-01-10T22:51:39,7.0,T7,295317.0
2024,23,21 — the Memorial Tournament presented by Workday,You,22085,"Morikawa, Collin",2026-01-10T22:52:37,2.0,2,2200000.0
2024,26,22 — U.S. Open,You,14796,"Hatton, Tyrrell",2026-01-10T22:56:20,26.0,T26,153281.0
2024,34,23 — Travelers Championship,You,23950,"Aberg, Ludvig",2026-01-10T22:57:18,27.0,T27,144000.0
2024,524,24 — Rocket Mortgage Classic,You,26651,"Young, Cameron",2026-01-10T22:58:44,6.0,T6,300150.0
2024,30,25 — John Deere Classic,You,18634,"McNealy, Maverick",2026-01-10T23:00:00,,CUT,0.0
2024,541,26 — Genesis Scottish Open,You,24766,"Kim, Tom",2026-01-10T23:01:00,15.0,T15,130800.0
2024,100,27 — The Open Championship,You,19195,"Rahm, Jon",2026-01-10T23:02:14,7.0,T7,451833.0
2024,525,28 — 3M Open,You,15575,"Hoge, Tom",2026-01-10T23:05:16,,CUT,0.0
2024,13,29 — Wyndham Championship,You,11276,"Horschel, Billy",2026-01-10T23:08:36,7.0,T7,249245.0
2024,27,30 — FedEx St. Jude Championship,You,17576,"Conners, Corey",2026-01-10T23:10:39,50.0,T50,47250.0
2024,28,31 — BMW Championship,You,14578,"Henley, Russell",2026-01-10T23:12:55,22.0,T22,229000.0
