year,event_name,event_id,event_completed,player_name,dg_id,close_odds,finish_text,finish_num,Winnings,Win,Top_5,Top_10,Top_25,Made_Cut,CUT,Event_Tier,Pre_Odds,sg_ott_l12,sg_app_l12,sg_arg_l12,sg_putt_l12,sg_t2g_l12,sg_total_l12,rounds_actual_l12,sg_ott_l24,sg_app_l24,sg_arg_l24,sg_putt_l24,sg_t2g_l24,sg_total_l24,rounds_actual_l24,sg_ott_l40,sg_app_l40,sg_arg_l40,sg_putt_l40,sg_t2g_l40,sg_total_l40,rounds_actual_l40
2026,WM Phoenix Open,3,2026-02-05,"Bauchou, Zach",19846,1667.0,,,,,,,,,,,,-0.283,-0.074,-0.122,0.056,-0.478,0.209,12,-0.272,-0.102,-0.821,0.094,-1.194,-0.233,24,-0.272,-0.102,-0.821,0.094,-1.194,-0.233,24
2026,WM Phoenix Open,3,2026-02-05,"Berger, Daniel",17606,103.0,,,,,,,,,,,,0.268,-0.002,0.167,0.695,0.432,0.83,12,0.234,0.229,-0.322,-0.096,0.141,0.032,24,0.335,0.408,-0.566,-0.265,0.178,-0.086,40
2026,WM Phoenix Open,3,2026-02-05,"Bezuidenhout, Christiaan",18103,142.0,,,,,,,,,,,,-0.431,0.659,0.542,0.741,0.769,0.862,12,-0.301,0.479,0.649,0.911,0.827,1.14,24,-0.17,0.424,0.43,0.607,0.685,1.055,40
2026,WM Phoenix Open,3,2026-02-05,"Bhatia, Akshay",26096,287.0,,,,,,,,,,,,-0.476,-0.146,0.061,-0.939,-0.561,-1.254,12,-0.175,0.252,-0.128,-0.346,-0.051,-0.412,24,0.038,0.594,-0.075,-0.195,0.556,0.295,40
2026,WM Phoenix Open,3,2026-02-05,"Blanchet, Chandler",24956,882.0,,,,,,,,,,,,-0.429,0.054,-0.814,-0.886,-1.19,-1.342,12,-0.429,0.054,-0.814,-0.885,-1.19,-1.21,17,-0.429,0.054,-0.814,-0.885,-1.19,-1.21,17
2026,WM Phoenix Open,3,2026-02-05,"Brennan, Michael",29197,250.0,,,,,,,,,,,,0.659,-0.347,-0.539,-1.004,-0.227,-0.139,12,1.128,0.054,-0.225,-0.559,0.957,0.604,24,1.044,-0.112,-0.281,-0.679,0.652,0.346,27
2026,WM Phoenix Open,3,2026-02-05,"Bridgeman, Jacob",29433,250.0,,,,,,,,,,,,0.17,0.624,0.039,0.608,0.832,0.888,12,-0.072,0.111,0.236,-0.118,0.275,0.15,24,0.013,-0.077,0.272,0.034,0.208,0.223,40
2026,WM Phoenix Open,3,2026-02-05,"Brown, Dan",20766,395.0,,,,,,,,,,,,0.025,0.082,-0.019,1.027,0.087,-0.011,12,0.025,0.082,-0.019,1.027,0.087,0.739,24,0.025,0.082,-0.019,1.027,0.087,1.06,40
2026,WM Phoenix Open,3,2026-02-05,"Burns, Sam",19483,48.9,,,,,,,,,,,,0.524,0.401,-0.543,0.483,0.382,0.961,12,0.129,0.313,-0.26,1.005,0.182,1.208,24,0.348,0.194,-0.22,0.513,0.322,0.866,40
2026,WM Phoenix Open,3,2026-02-05,"Campbell, Brian",18628,60000.0,,,,,,,,,,,,-1.046,-2.23,0.059,0.56,-3.217,-1.334,12,-0.796,-1.297,-0.112,0.077,-2.205,-1.598,24,-1.087,-0.58,0.083,0.337,-1.584,-1.063,40
