time_period,last_updated,fetched_at,100_150_fw_gir_rate,100_150_fw_good_shot_rate,100_150_fw_low_data_indicator,100_150_fw_poor_shot_avoid_rate,100_150_fw_proximity_per_shot,100_150_fw_sg_per_shot,100_150_fw_shot_count,150_200_fw_gir_rate,150_200_fw_good_shot_rate,150_200_fw_low_data_indicator,150_200_fw_poor_shot_avoid_rate,150_200_fw_proximity_per_shot,150_200_fw_sg_per_shot,150_200_fw_shot_count,50_100_fw_gir_rate,50_100_fw_good_shot_rate,50_100_fw_low_data_indicator,50_100_fw_poor_shot_avoid_rate,50_100_fw_proximity_per_shot,50_100_fw_sg_per_shot,50_100_fw_shot_count,dg_id,over_150_rgh_gir_rate,over_150_rgh_good_shot_rate,over_150_rgh_low_data_indicator,over_150_rgh_poor_shot_avoid_rate,over_150_rgh_proximity_per_shot,over_150_rgh_sg_per_shot,over_150_rgh_shot_count,over_200_fw_gir_rate,over_200_fw_good_shot_rate,over_200_fw_low_data_indicator,over_200_fw_poor_shot_avoid_rate,over_200_fw_proximity_per_shot,over_200_fw_sg_per_shot,over_200_fw_shot_count,player_name,under_150_rgh_gir_rate,under_150_rgh_good_shot_rate,under_150_rgh_low_data_indicator,under_150_rgh_poor_shot_avoid_rate,under_150_rgh_proximity_per_shot,under_150_rgh_sg_per_shot,under_150_rgh_shot_count
l12,2026-08-17 14:24:15 UTC,2026-08-24 16:22:51 UTC,0.826,0.098,0.0,0.967,17.618,0.059,61.0,0.741,0.095,0.0,0.979,25.065,0.088,95.0,0.879,0.056,0.0,0.944,15.532,0.002,18.0,14838,0.294,0.023,0.0,0.955,69.688,-0.028,44.0,0.469,0.065,0.0,0.957,43.945,0.05,46.0,"Reed, Patrick",0.492,0.071,0.0,0.964,35.443,0.057,28.0
l12,2026-08-17 14:24:15 UTC,2026-08-24 16:22:51 UTC,0.839,0.071,0.0,0.957,19.791,0.024,140.0,0.754,0.063,0.0,0.974,26.177,0.074,191.0,0.84,0.094,0.0,0.938,17.996,0.002,32.0,7108,0.462,0.034,0.0,1.0,47.72,0.09,58.0,0.52,0.049,0.0,0.951,41.832,0.074,102.0,"Casey, Paul",0.534,0.015,0.0,0.862,44.634,-0.113,65.0
l12,2026-08-17 14:24:15 UTC,2026-08-24 16:22:51 UTC,0.709,0.0,1.0,0.979,20.998,-0.025,47.0,0.676,0.129,1.0,0.935,29.179,0.071,62.0,0.806,0.0,1.0,0.846,26.367,-0.11,13.0,19208,,,,,,,,,,,,,,,"Endycott, Harrison",0.487,0.056,0.0,0.833,52.507,-0.076,18.0
l12,2026-08-17 14:24:15 UTC,2026-08-24 16:22:51 UTC,0.782,0.037,0.0,0.945,23.176,-0.048,219.0,0.735,0.094,0.0,0.951,28.657,0.069,244.0,0.885,0.063,0.0,0.921,18.219,0.043,63.0,18079,0.446,0.054,0.0,0.973,48.09,0.084,74.0,0.455,0.034,0.0,0.979,43.886,0.036,146.0,"Niemann, Joaquin",0.621,0.09,0.0,0.937,35.492,0.036,111.0
l12,2026-08-17 14:24:15 UTC,2026-08-24 16:22:51 UTC,0.874,0.125,0.0,0.946,18.982,0.086,56.0,0.783,0.098,0.0,0.967,28.006,0.067,92.0,,,,,,,,7655,,,,,,,,0.462,0.05,0.0,0.95,39.228,0.067,40.0,"Molinari, Francesco",0.371,0.0,1.0,0.75,45.358,-0.256,12.0
l12,2026-08-17 14:24:15 UTC,2026-08-24 16:22:51 UTC,0.772,0.096,0.0,0.93,19.173,0.037,302.0,0.751,0.07,0.0,0.971,26.295,0.064,485.0,0.901,0.092,0.0,0.929,16.326,0.057,98.0,14609,0.368,0.072,0.0,0.96,62.42,0.011,125.0,0.525,0.101,0.0,0.974,38.844,0.095,268.0,"Kim, Si Woo",0.484,0.064,0.0,0.952,38.571,-0.015,125.0
l12,2026-08-17 14:24:15 UTC,2026-08-24 16:22:51 UTC,0.842,0.072,0.0,0.94,20.218,0.028,235.0,0.739,0.074,0.0,0.958,27.755,0.058,336.0,0.923,0.141,0.0,0.953,12.092,0.159,64.0,6430,0.349,0.062,0.0,0.977,64.127,0.018,129.0,0.483,0.047,0.0,0.941,42.467,-0.005,170.0,"Scott, Adam",0.558,0.094,0.0,0.953,38.616,-0.001,85.0
l12,2026-08-17 14:24:15 UTC,2026-08-24 16:22:51 UTC,0.806,0.054,0.0,0.931,20.857,-0.006,350.0,0.712,0.084,0.0,0.952,27.172,0.057,463.0,0.847,0.082,0.0,0.969,15.717,0.052,97.0,17536,0.42,0.1,0.0,0.958,63.203,0.05,120.0,0.518,0.085,0.0,0.962,40.898,0.066,212.0,"Spaun, J.J.",0.606,0.103,0.0,0.966,33.901,0.068,116.0
l12,2026-08-17 14:24:15 UTC,2026-08-24 16:22:51 UTC,0.836,0.105,0.0,0.953,21.579,0.051,86.0,0.632,0.128,0.0,0.93,28.277,0.054,86.0,0.978,0.222,0.0,1.0,14.669,0.16,18.0,18187,0.232,0.048,1.0,0.905,70.011,-0.092,21.0,0.385,0.017,0.0,0.949,59.016,-0.071,59.0,"Duncan, Tyler",0.483,0.111,0.0,0.889,43.261,-0.048,18.0
l12,2026-08-17 14:24:15 UTC,2026-08-24 16:22:51 UTC,0.76,0.078,0.0,0.927,23.844,-0.034,192.0,0.787,0.072,0.0,0.957,29.221,0.052,235.0,0.853,0.036,0.0,0.911,17.943,-0.066,56.0,5689,0.391,0.077,0.0,0.923,50.315,0.01,65.0,0.44,0.044,0.0,0.942,47.539,-0.022,137.0,"Garcia, Sergio",0.646,0.158,0.0,0.926,29.531,0.075,95.0
