tour,event_name,course_name,event_id,date_start,date_end,last_updated,current_round,tz_offset,dg_id,player_num,player_name,am,pre_tourn_pageviews,country,dg_rank,owgr_rank,tour_rank,r1_course_code,r1_course_name,r1_course_num,r1_round_num,r1_start_hole,r1_teetime,r1_wave,r2_course_code,r2_course_name,r2_course_num,r2_round_num,r2_start_hole,r2_teetime,r2_wave,r3_course_code,r3_course_name,r3_course_num,r3_round_num,r3_start_hole,r3_teetime,r3_wave,r4_course_code,r4_course_name,r4_course_num,r4_round_num,r4_start_hole,r4_teetime,r4_wave
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,23950,52955,"Aberg, Ludvig",0,295,SWE,10,17,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,26096,56630,"Bhatia, Akshay",0,201,USA,50,33,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,29433,60004,"Bridgeman, Jacob",0,203,USA,25,28,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,19483,47504,"Burns, Sam",0,544,USA,3,9,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,15466,35450,"Cantlay, Patrick",0,673,USA,6,26,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,23604,51766,"Clark, Wyndham",0,992,USA,7,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,25362,55721,"Fitzpatrick, Alex",0,153,ENG,65,68,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,17646,40098,"Fitzpatrick, Matt",0,343,ENG,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,12294,30911,"Fleetwood, Tommy",0,416,ENG,5,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,11889,29936,"Fox, Ryan",0,146,NZL,61,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,29767,59018,"Gerard, Ryan",0,199,USA,20,27,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,27774,59095,"Gotterup, Chris",0,361,USA,13,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,14578,34098,"Henley, Russell",0,377,USA,12,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,18841,46717,"Hovland, Viktor",0,390,NOR,19,15,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,14609,37455,"Kim, Si Woo",0,283,KOR,11,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,24766,55182,"Kim, Tom",0,214,KOR,29,29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,16841,37378,"Lee, Min Woo",0,159,AUS,48,31,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,23323,52215,"MacIntyre, Robert",0,235,SCO,22,18,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,13562,32839,"Matsuyama, Hideki",0,324,JPN,14,24,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,10091,28237,"McIlroy, Rory",0,656,NIR,2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,22085,50525,"Morikawa, Collin",0,563,USA,9,10,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,21407,49855,"Reitan, Kristoffer",0,141,NOR,41,30,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,6093,22405,"Rose, Justin",0,252,ENG,27,14,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,19895,48081,"Schauffele, Xander",0,571,USA,8,11,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,18417,46046,"Scheffler, Scottie",0,767,USA,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,6430,24502,"Scott, Adam",0,291,AUS,31,51,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,18474,46340,"Smalley, Alex",0,203,USA,33,46,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,17536,39324,"Spaun, J.J.",0,210,USA,21,16,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,12577,31323,"Woodland, Gary",0,306,USA,47,42,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,TOUR Championship,East Lake Golf Club,60,2026-08-27,2026-08-30,2026-08-24 18:40:48 UTC,1,-14400,26651,57366,"Young, Cameron",0,345,USA,15,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
