player_name,dg_id,bet365,betcris,betmgm,betway,bovada,caesars,draftkings,fanduel,pinnacle,skybet,pointsbet,williamhill,unibet,datagolf_baseline,datagolf_base_history_fit,last_updated,event_name,market
"Scheffler, Scottie",18417,4.33,4.41,4.33,4.33,4.5,4.1,4.45,4.1,4.45,4.0,4.5,4.0,4.0,5.643871695983456,5.48646671543525,2026-08-26 11:00:55 UTC,TOUR Championship,win
"McIlroy, Rory",10091,8.5,9.59,9.5,9.0,10.0,9.0,8.8,10.5,9.74,8.5,11.0,9.0,9.0,13.026487190620925,11.48985063194179,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Schauffele, Xander",19895,10.0,11.61,13.0,12.0,13.0,13.0,13.25,13.0,12.35,13.0,13.0,11.0,11.0,16.973125884016962,11.869436201780417,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Aberg, Ludvig",23950,17.0,21.24,17.0,17.0,23.0,19.0,14.75,19.0,15.73,19.0,19.0,17.0,15.0,19.02346227013315,21.15655853314526,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Cantlay, Patrick",15466,15.0,19.45,17.0,15.0,21.0,13.0,17.0,19.0,18.95,17.0,19.0,17.0,15.0,24.41008950366149,22.83974114960032,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Young, Cameron",26651,21.0,23.75,21.0,19.0,26.0,21.0,16.5,21.0,23.54,19.0,21.0,21.0,19.0,21.96997436836322,24.85501242750623,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Morikawa, Collin",22085,17.0,19.45,19.0,17.0,19.0,21.0,21.5,21.0,18.81,19.0,21.0,17.0,15.0,29.28257686676428,25.104602510460275,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Burns, Sam",19483,19.0,19.97,19.0,17.0,19.0,15.0,15.75,19.0,18.68,17.0,19.0,17.0,17.0,24.721878862793574,26.38522427440633,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Fleetwood, Tommy",12294,21.0,24.98,21.0,19.0,26.0,23.0,19.5,21.0,25.02,19.0,21.0,21.0,17.0,26.1437908496732,26.455026455026456,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Clark, Wyndham",23604,17.0,17.64,17.0,15.0,19.0,16.0,17.0,19.0,19.0,17.0,19.0,15.0,15.0,23.40093603744152,27.842227378190227,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Gotterup, Chris",27774,23.0,29.58,21.0,21.0,26.0,19.0,20.5,23.0,23.18,21.0,21.0,26.0,19.0,24.49979583503469,28.248587570621467,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Hovland, Viktor",18841,26.0,29.79,26.0,26.0,29.0,30.0,26.0,31.0,26.42,26.0,29.0,26.0,23.0,32.94892915980231,28.46299810246682,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Kim, Si Woo",14609,26.0,29.83,26.0,23.0,31.0,25.0,24.5,26.0,30.5,23.0,26.0,26.0,23.0,29.14035939776588,31.18503118503115,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Fitzpatrick, Matt",17646,23.0,26.75,23.0,21.0,26.0,21.0,21.0,21.0,30.69,21.0,21.0,23.0,17.0,26.929982046678656,31.578947368421023,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Matsuyama, Hideki",13562,26.0,29.83,29.0,26.0,31.0,30.0,30.0,31.0,32.1,29.0,29.0,29.0,23.0,31.931878658861063,32.467532467532465,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Henley, Russell",14578,26.0,33.74,26.0,23.0,31.0,29.0,30.0,31.0,30.66,26.0,29.0,26.0,21.0,58.76591576885394,42.49291784702556,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Gerard, Ryan",29767,46.0,56.43,41.0,41.0,51.0,51.0,42.0,46.0,58.77,41.0,46.0,41.0,41.0,42.887776983559625,55.710306406685234,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Scott, Adam",6430,51.0,56.42,41.0,41.0,51.0,51.0,45.0,46.0,52.91,41.0,46.0,51.0,41.0,60.422960725075534,55.81395348837199,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Rose, Justin",6093,46.0,52.01,41.0,41.0,51.0,46.0,41.0,41.0,50.19,36.0,41.0,46.0,41.0,75.28230865746569,56.98005698005698,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Kim, Tom",24766,46.0,59.98,46.0,41.0,51.0,51.0,49.0,46.0,55.6,41.0,51.0,46.0,46.0,52.77044854881266,57.63688760806916,2026-08-26 11:00:55 UTC,TOUR Championship,win
"MacIntyre, Robert",23323,46.0,46.97,41.0,41.0,51.0,46.0,40.0,41.0,51.59,36.0,41.0,41.0,41.0,52.26480836236943,60.422960725075534,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Lee, Min Woo",16841,61.0,72.21,61.0,51.0,66.0,51.0,45.0,46.0,52.88,41.0,46.0,61.0,51.0,51.76876617773934,64.51612903225806,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Spaun, J.J.",17536,46.0,62.04,41.0,34.0,56.0,46.0,49.0,41.0,65.3,36.0,41.0,41.0,41.0,66.81514476614684,84.50704225352136,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Smalley, Alex",18474,67.0,72.23,61.0,51.0,76.0,66.0,60.0,66.0,76.37,51.0,67.0,67.0,67.0,71.59904534606189,90.90909090909092,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Woodland, Gary",12577,46.0,72.02,41.0,34.0,56.0,51.0,49.0,46.0,67.89,41.0,46.0,46.0,41.0,100.67114093959766,91.8836140888211,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Reitan, Kristoffer",21407,71.0,77.27,56.0,67.0,76.0,66.0,63.0,66.0,88.37,56.0,67.0,61.0,67.0,69.12442396313348,92.7357032457499,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Bridgeman, Jacob",29433,51.0,77.26,51.0,51.0,71.0,81.0,55.0,81.0,87.27,61.0,81.0,56.0,51.0,76.92307692307692,100.67114093959766,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Fitzpatrick, Alex",25362,81.0,102.51,91.0,81.0,91.0,91.0,85.0,101.0,117.86,71.0,91.0,81.0,81.0,99.83361064891814,120.48192771084337,2026-08-26 11:00:55 UTC,TOUR Championship,win
"Bhatia, Akshay",26096,81.0,107.53,71.0,67.0,91.0,76.0,81.0,101.0,70.51,71.0,91.0,81.0,67.0,118.3431952662722,171.4285714285724,2026-08-26 11:00:55 UTC,TOUR Championship,win
