tour,year,event_completed,event_name,event_id,player_name,dg_id,fin_text,finish_num,Win,Top_5,Top_10,Top_25,Made_Cut,CUT
PGA,2025,1/5/2025,The Sentry,16,"Hoge, Tom",15575,T8,8,0,0,1,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"McNealy, Maverick",18634,T8,8,0,0,1,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Young, Cameron",26651,T8,8,0,0,1,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Burns, Sam",19483,T8,8,0,0,1,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Hall, Harry",27194,T8,8,0,0,1,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Davis, Cam",17786,T13,13,0,0,0,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Pendrith, Taylor",17780,T13,13,0,0,0,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Straka, Sepp",17511,T15,15,0,0,0,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Detry, Thomas",14181,T5,5,0,1,1,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Matsuyama, Hideki",13562,1,1,1,1,1,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Morikawa, Collin",22085,2,2,0,1,1,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Im, Sungjae",17488,3,3,0,1,1,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Vegas, Jhonattan",13508,4,4,0,1,1,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Aberg, Ludvig",23950,T5,5,0,1,1,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Conners, Corey",17576,T5,5,0,1,1,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Henley, Russell",14578,T30,30,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Rai, Aaron",18554,T15,15,0,0,0,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Finau, Tony",11676,T15,15,0,0,0,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Greyserman, Max",23465,T24,24,0,0,0,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Fitzpatrick, Matt",17646,T24,24,0,0,0,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Homa, Max",17538,T26,26,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Zalatoris, Will",19428,T26,26,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Thomas, Justin",14139,T26,26,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Hadwin, Adam",13965,29,29,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Scott, Adam",6430,T15,15,0,0,0,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Clark, Wyndham",23604,T15,15,0,0,0,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Cantlay, Patrick",15466,T15,15,0,0,0,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Bradley, Keegan",13872,T15,15,0,0,0,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"MacIntyre, Robert",23323,T15,15,0,0,0,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Eckroat, Austin",26653,T15,15,0,0,0,1,1,0
PGA,2025,1/5/2025,The Sentry,16,"Cole, Eric",21756,52,52,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Horschel, Billy",11276,51,51,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Pavon, Matthieu",19960,T48,48,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Garnett, Brice",11451,T48,48,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Taylor, Nick",13126,T48,48,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"McCarthy, Denny",19870,T46,46,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Gotterup, Chris",27774,T46,46,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Yu, Kevin",17881,T44,44,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Malnati, Peter",14926,T53,53,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Riley, Davis",19872,WD,WD,0,0,0,0,0,1
PGA,2025,1/5/2025,The Sentry,16,"Harman, Brian",8825,58,58,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Campos, Rafael",12909,57,57,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Knapp, Jake",19396,56,56,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Dunlap, Nick",28270,55,55,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"McCarty, Matt",28635,T53,53,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Kirk, Chris",12423,T44,44,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Hovland, Viktor",18841,T36,36,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Jaeger, Stephan",16394,T36,36,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"An, Byeong Hun",14459,T32,32,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Bhatia, Akshay",26096,T32,32,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Kim, Si Woo",14609,T32,32,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Echavarria, Nico",22833,T32,32,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Schauffele, Xander",19895,T30,30,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Thompson, Davis",27364,T36,36,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Poston, J.T.",21554,T40,40,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Bezuidenhout, Christiaan",18103,T40,40,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Day, Jason",9771,T40,40,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Theegala, Sahith",23014,T36,36,0,0,0,0,1,0
PGA,2025,1/5/2025,The Sentry,16,"Kizzire, Patton",13470,T40,40,0,0,0,0,1,0
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Velo, Kevin",27762,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Castillo, Ricky",27819,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Hardy, Nick",19865,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Mouw, William",29770,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Goodwin, Noah",24837,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Ventura, Kris",15651,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Gotterup, Chris",27774,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Schmid, Matti",20722,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Kirk, Chris",12423,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Palmer, Ryan",7820,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Walker, Danny",25003,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Dahmen, Joel",14509,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Grillo, Emiliano",12808,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Andersen, Mason",23540,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Thornberry, Braden",23502,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Fisk, Steven",26657,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Onishi, Kaito",25263,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Tosti, Alejandro",17032,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Clanton, Luke",32330,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Davis, Cam",17786,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Thompson, Davis",27364,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Conners, Corey",17576,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Rodgers, Patrick",16283,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Kanaya, Takumi",19729,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Salinda, Isaiah",27183,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Taylor, Nick",13126,1,1,1,1,1,1,1,0
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Villegas, Camilo",9171,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Moore, Taylor",21944,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Power, Seamus",10104,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Phillips, Chandler",27164,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Lee, K.H.",13497,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Higgs, Harry",14140,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Matsuyama, Mao",32857,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Hughes, Mackenzie",15556,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Malnati, Peter",14926,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Welsh, Kelly",33133,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Campbell, Brian",18628,WD,WD,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Widing, Tim",21875,WD,WD,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Campos, Rafael",12909,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Pak, John",27820,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Polland, Ben",20344,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Hoshino, Rikuya",19190,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Cone, Trevor",21880,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"English, Harris",14577,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Cohen, Gavin",33134,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Highsmith, Joe",28469,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Sugiura, Yuta",24223,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Loree, Tyler",33135,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Potgieter, Aldrich",27900,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Cummins, Quade",27996,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Gordon, Will",26660,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Griffin, Lanto",15330,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Kim, Michael",17543,CUT,CUT,0,0,0,0,0,1
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Harman, Brian",8825,T21,21,0,0,0,1,1,0
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Hirata, Kensei",20954,T21,21,0,0,0,1,1,0
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Glover, Lucas",7399,T21,21,0,0,0,1,1,0
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Mitchell, Keith",17365,T30,30,0,0,0,0,1,0
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Straka, Sepp",17511,T30,30,0,0,0,0,1,0
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Svensson, Adam",13997,T30,30,0,0,0,0,1,0
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Hubbard, Mark",16333,T21,21,0,0,0,1,1,0
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Kuchar, Matt",6169,T21,21,0,0,0,1,1,0
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Meissner, Mac",28159,T21,21,0,0,0,1,1,0
PGA,2025,1/12/2025,Sony Open in Hawaii,6,"Johnson, Zach",6986,T21,21,0,0,0,1,1,0
